event_id,date_std,timestamp_utc,year,state,latitude,longitude,event_title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,source_name,source_catalog,source_record_id,source_dataset,source_link,verification_basis,data_quality_flag
3269,2011-03-22,2011-03-22 05:30:00,2011,Arunachal Pradesh,28.079,96.524,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh","road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh",Known within 10 km,Landslide,Downpour,Medium,Unknown,0,,articles.timesofindia,GLC,3269.0,NASA COOLR,http://articles.timesofindia.indiatimes.com/2011-03-23/guwahati/29178165_1_road-links-rainfall-source,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
3776,2011-07-15,2011-07-15 23:30:00,2011,Arunachal Pradesh,27.125,93.715,Itanagar/Naharlagur/Nirjuli,Itanagar/Naharlagur/Nirjuli,Known within 5 km,Landslide,Downpour,Small,Unknown,0,,ibnlive.in,GLC,3776.0,NASA COOLR,http://ibnlive.in.com/generalnewsfeed/news/flash-floods-landslides-in-arunachal-pradesh/757817.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
3789,2011-07-16,2011-07-16 05:30:00,2011,Arunachal Pradesh,27.274,92.906,Mebua (8 km from Seppa),Mebua (8 km from Seppa),Known within 10 km,Landslide,Downpour,Medium,Unknown,0,,english.samaylive,GLC,3789.0,NASA COOLR,http://english.samaylive.com/regional-news/others-news/676490549/flash-floods-in-arunachal-pradesh.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
3806,2011-07-19,2011-07-19 05:30:00,2011,Arunachal Pradesh,27.103,93.688,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)","Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)",Known within 10 km,Landslide,Downpour,Medium,Unknown,3,,ibnlive.in,GLC,3806.0,NASA COOLR,http://ibnlive.in.com/generalnewsfeed/news/three-killed-in-landslides/758753.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
3881,2011-08-05,2011-08-05 05:30:00,2011,Arunachal Pradesh,27.103,93.689,Itanagar,Itanagar,Known within 5 km,Landslide,Downpour,Medium,Unknown,0,,articles.timesofindia,GLC,3881.0,NASA COOLR,http://articles.timesofindia.indiatimes.com/2011-08-06/guwahati/29861700_1_water-supply-drinking-water-landslides,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
3912,2011-08-12,2011-08-12 05:30:00,2011,Arunachal Pradesh,27.44,92.283,East Kameng district in Arunachal Pradesh bordering China,East Kameng district in Arunachal Pradesh bordering China,Known within 50 km,Landslide,Rain,Medium,Unknown,0,,inewsone,GLC,3912.0,NASA COOLR,http://www.inewsone.com/2011/08/12/iaf-airdrops-food-to-marooned-in-arunachal/68478,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
3925,2011-08-15,2011-08-15 05:30:00,2011,Arunachal Pradesh,27.489,93.015,"East Kameng, Arunachal Pradesh","East Kameng, Arunachal Pradesh",Known within 50 km,Landslide,Downpour,Medium,Unknown,0,,indianexpress,GLC,3925.0,NASA COOLR,http://www.indianexpress.com/news/landslides-cut-off-arunachal-districts-iaf-to-the-rescue/833599/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4313,2012-04-08,2012-04-08 05:30:00,2012,Arunachal Pradesh,28.466,95.86,"Endulin Nallah, Mayodia, 17-camp, 83-camp","Endulin Nallah, Mayodia, 17-camp, 83-camp",Known within 50 km,Landslide,Downpour,Medium,Unknown,0,,timesofindia.indiatimes,GLC,4313.0,NASA COOLR,http://timesofindia.indiatimes.com/Landslides-snap-road-links-in-Dibang-Valley/articleshow/12601499.cms,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4378,2012-06-02,2012-06-02 05:30:00,2012,Arunachal Pradesh,28.825,96.152,"Arunachal Pradesh, Dibang,","Arunachal Pradesh, Dibang,",Known within 50 km,Landslide,Downpour,Medium,Unknown,,,isikkim.com,GLC,4378.0,NASA COOLR,http://isikkim.com/2012-06-landslides-disrupt-surface-communication-in-arunachal-pradesh-05-9/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4392,2012-06-06,2012-06-06 05:30:00,2012,Arunachal Pradesh,29.241,95.976,"Dibang, Arunachal Pradesh","Dibang, Arunachal Pradesh",Known within 10 km,Landslide,Downpour,Medium,Unknown,,,allafrica.com,GLC,4392.0,NASA COOLR,http://allafrica.com/stories/201206051178.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4435,2012-06-25,2012-06-25 05:30:00,2012,Arunachal Pradesh,27.174,95.801,"Tirap , Arunachal Pradesh","Tirap , Arunachal Pradesh",Known within 10 km,Landslide,Downpour,Large,Unknown,,,articles.timesofindia,GLC,4435.0,NASA COOLR,http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4436,2012-06-25,2012-06-25 05:30:00,2012,Arunachal Pradesh,26.999,95.499,"Khonsa, Arunachal Pradesh","Khonsa, Arunachal Pradesh",Known within 50 km,Landslide,Downpour,Medium,Unknown,,,articles.timesofindia,GLC,4436.0,NASA COOLR,http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4446,2012-07-05,2012-07-05 05:30:00,2012,Arunachal Pradesh,28.999,94.889,"Tuting, Upper Siang , Arunachal Pradesh","Tuting, Upper Siang , Arunachal Pradesh",Known within 5 km,Landslide,Downpour,Large,Unknown,,,articles.timesofindia,GLC,4446.0,NASA COOLR,http://articles.timesofindia.indiatimes.com/2012-07-07/guwahati/32577108_1_arunachal-district-landslides-arunachal-pradesh,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4570,2012-09-19,2012-09-19 05:30:00,2012,Arunachal Pradesh,27.846,95.225, Arunachal Pradesh , Arunachal Pradesh ,Known within 1 km,Landslide,Downpour,Medium,Unknown,,,articles.timesofindia,GLC,4570.0,NASA COOLR,http://articles.timesofindia.indiatimes.com/2012-09-19/guwahati/33951873_1_landslides-road-communication-water-tank,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4757,2013-02-18,2013-02-18 05:30:00,2013,Arunachal Pradesh,28.119,95.165,"East Siang, Arunachal Pradesh","East Siang, Arunachal Pradesh",Known within 5 km,Landslide,Rain,Medium,Unknown,3,2.0,articles.timesofindia.indiatimes.com,GLC,4757.0,NASA COOLR,http://articles.timesofindia.indiatimes.com/2013-02-20/guwahati/37199432_1_fire-mishap-east-siang-massive-landslide,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4798,2013-04-07,2013-04-07 05:30:00,2013,Arunachal Pradesh,28.825,96.151,"Dibang Valley, Arunachal Pradesh","Dibang Valley, Arunachal Pradesh",Location not known,Landslide,Rain,Medium,Unknown,,,www.ndtv.com,GLC,4798.0,NASA COOLR,http://www.ndtv.com/article/cities/landslide-triggered-by-heavy-rains-in-arunachal-pradesh-351219,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
4892,2013-06-01,2013-06-01 05:30:00,2013,Arunachal Pradesh,27.878,94.25,Upper Subansiri,Upper Subansiri,Known within 50 km,Landslide,Downpour,Large,Unknown,,,articles.timesofindia.indiatimes.com,GLC,4892.0,NASA COOLR,http://articles.timesofindia.indiatimes.com/2013-07-28/guwahati/40848148_1_daporijo-upper-subansiri-landslides,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
5250,2013-08-01,2013-08-01 05:30:00,2013,Arunachal Pradesh,27.884,93.052,"Polo River At Polosang, Arunachal Pradesh","Polo River At Polosang, Arunachal Pradesh",Known within 10 km,Mudslide,Rain,Medium,Unknown,,,www.thehindubusinessline.com,GLC,5250.0,NASA COOLR,http://www.thehindubusinessline.com/news/states/landslide-blocks-polo-river-in-arunachal-pradesh/article4996075.ece,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
5441,2013-09-02,2013-09-02 05:30:00,2013,Arunachal Pradesh,28.611,94.983,"Gosang Village Under Jengging Circle, Arunachal Pradesh","Gosang Village Under Jengging Circle, Arunachal Pradesh",Known within 5 km,Landslide,Downpour,Large,Unknown,,,articles.timesofindia.indiatimes.com,GLC,5441.0,NASA COOLR,http://articles.timesofindia.indiatimes.com/2013-09-08/guwahati/41872983_1_flood-situation-arunachal-pradesh-landslides,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
5442,2013-09-02,2013-09-02 05:30:00,2013,Arunachal Pradesh,27.161,93.753,Arunachal Pradesh,Arunachal Pradesh,Location not known,Landslide,Downpour,Large,Unknown,,,ibnlive.in.com,GLC,5442.0,NASA COOLR,http://ibnlive.in.com/news/massive-landslide-in-arunachal-due-to-rainfall-2-districts-remain-cut-off/420409-3-229.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
6015,2014-05-08,2014-05-08 05:30:00,2014,Arunachal Pradesh,27.903,96.174,Lohit District of Arunachal Pradesh,Lohit District of Arunachal Pradesh,Known within 1 km,Mudslide,Rain,Medium,Above road,0,0.0,Business Standard,GLC,6015.0,NASA COOLR,http://www.business-standard.com/article/pti-stories/communication-to-tezu-snapped-due-to-landslide-114051000401_1.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
6105,2014-06-27,2014-06-27 04:30:00,2014,Arunachal Pradesh,28.921,95.343,Arunachal Pradesh,Arunachal Pradesh,Location not known,Landslide,Continuous rain,Medium,Above road,0,0.0,Times of India,GLC,6105.0,NASA COOLR,http://timesofindia.indiatimes.com/india/Landslides-in-Arunachal-Pradesh-due-to-incessant-rain/articleshow/37379365.cms,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
6200,2014-08-17,2014-08-17 05:30:00,2014,Arunachal Pradesh,27.087,93.609,Arunachal Pradesh/Itanagar,Arunachal Pradesh/Itanagar,Known within 10 km,Landslide,Downpour,Large,Unknown,0,0.0,One India News,GLC,6200.0,NASA COOLR,http://news.oneindia.in/india/flood-landslides-in-arunachal-pradesh-1504142.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
6222,2014-10-01,2014-10-01 16:30:00,2014,Arunachal Pradesh,27.125,93.771,Karsingsa block point,Karsingsa block point,Known within 5 km,Landslide,Unknown,Small,Above road,5,0.0,The Assam Tribune,GLC,6222.0,NASA COOLR,http://www.assamtribune.com/scripts/detailsnew.asp?id=oct0214/oth052,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
6971,2015-06-09,2015-06-09 05:30:00,2015,Arunachal Pradesh,27.099,93.816,"Itanagar, Arunachal Pradesh","Itanagar, Arunachal Pradesh",Known within 5 km,Landslide,Continuous rain,Medium,Above road,2,2.0,First Post,GLC,6971.0,NASA COOLR,http://www.firstpost.com/india/two-dead-2-injured-landslide-arunachal-pradesh-school-remain-shut-heavy-rainfall-alert-2287954.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
7214,2015-07-15,2015-07-15 13:30:00,2015,Arunachal Pradesh,27.36,93.039,Type-IV Colony of Seppa in East Kameng,Type-IV Colony of Seppa in East Kameng,Known within 5 km,Landslide,Monsoon,Medium,Urban,3,0.0,NDTV,GLC,7214.0,NASA COOLR,http://www.ndtv.com/andhra-pradesh-news/3-killed-in-landslide-in-arunachal-pradesh-781829,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
7887,2015-08-16,2015-08-16 05:30:00,2015,Arunachal Pradesh,27.884,96.926,Hawai,Hawai,Known within 50 km,Landslide,Continuous rain,Medium,Above road,0,0.0,The Times of India,GLC,7887.0,NASA COOLR,http://timesofindia.indiatimes.com/city/guwahati/Landslide-cuts-off-Anjaw-district-food-prices-rise/articleshow/48715682.cms,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
7334,2015-08-18,2015-08-18 05:30:00,2015,Arunachal Pradesh,28.174,94.76,Arunachal Pradesh,Arunachal Pradesh,Location not known,Landslide,Unknown,Medium,Unknown,1,0.0,webindia123,GLC,7334.0,NASA COOLR,http://news.webindia123.com/news/Articles/India/20150820/2664183.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
7655,2016-04-22,2016-04-22 08:00:00,2016,Arunachal Pradesh,27.58,91.857,"Tawang, Arunachal Pradesh","Tawang, Arunachal Pradesh",Known within 5 km,Landslide,Continuous rain,Medium,Above road,17,0.0,Zee News,GLC,7655.0,NASA COOLR,http://zeenews.india.com/news/north-east/landslide-in-tawang-area-of-arunachal-pradesh-watch-video_1878690.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9428,2016-04-23,2016-04-23 03:00:00,2016,Arunachal Pradesh,27.552,91.752,"Thongleng village, Lumla, Tawang, Arunachal Pradesh, India","Thongleng village, Lumla, Tawang, Arunachal Pradesh, India",Known within 10 km,Landslide,Continuous rain,Medium,Unknown,2,4.0,Arunchal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/two-killed-in-lumla-landslide-four-injured/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9404,2016-05-01,2016-05-01 05:30:00,2016,Arunachal Pradesh,28.082,96.532,"Hayuliang, Anjaw district,Arunachal Pradesh, India","Hayuliang, Anjaw district,Arunachal Pradesh, India",Known within 1 km,Landslide,Downpour,Medium,Above road,0,0.0,Business Standard,GLC,9404.0,NASA COOLR,http://www.business-standard.com/article/pti-stories/landslides-in-arunachal-district-no-loss-of-life-116050200846_1.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9168,2016-06-13,2016-06-13 04:30:00,2016,Arunachal Pradesh,27.644,93.871,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India","NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",Known within 10 km,Landslide,Downpour,Medium,Above road,0,0.0,Arunachal Times,GLC,9168.0,NASA COOLR,http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
8237,2016-07-01,2016-07-01 05:30:00,2016,Arunachal Pradesh,27.014,92.635,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India","Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",Known within 1 km,Landslide,Downpour,Large,Unknown,5,3.0,The Hindu,GLC,8237.0,NASA COOLR,http://www.thehindu.com/news/national/many-killed-in-arunachal-landslip/article8798739.ece,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9010,2016-07-16,2016-07-16 05:30:00,2016,Arunachal Pradesh,27.303,93.804,"Hoj-Potin Highway, Arunachal Pradesh, India","Hoj-Potin Highway, Arunachal Pradesh, India",Known within 5 km,Mudslide,Downpour,Medium,Above road,1,0.0,Arunachal Times,GLC,9010.0,NASA COOLR,http://www.arunachaltimes.in/man-washed-away-by-mudslide/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9087,2016-07-19,2016-07-19 05:30:00,2016,Arunachal Pradesh,28.235,94.961,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India","5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India",Known within 50 km,Landslide,Downpour,Medium,Above road,0,0.0,NELive,GLC,9087.0,NASA COOLR,http://www.nelive.in/arunachal-pradesh/news/landslide-disrupts-road-communication-between-aalo-and-pangin,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9252,2016-07-28,2016-07-28 05:30:00,2016,Arunachal Pradesh,27.575,91.864,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India","Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India",Known within 5 km,Landslide,Monsoon,Medium,Unknown,0,0.0,Arunchal Times,GLC,9252.0,NASA COOLR,http://www.arunachaltimes.in/monsoon-fury-continues-to-pound-tawang/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9464,2016-08-05,2016-08-05 05:30:00,2016,Arunachal Pradesh,27.575,91.975,Babrang village under Jang circle in Tawang district,Babrang village under Jang circle in Tawang district,Known within 5 km,Landslide,Downpour,Medium,Unknown,0,3.0,Business Standard,GLC,9464.0,NASA COOLR,http://www.business-standard.com/article/pti-stories/three-injured-houses-collapse-in-landslide-in-arunachal-116080700399_1.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9869,2016-08-16,2016-08-16 05:30:00,2016,Arunachal Pradesh,26.882,95.4,Landslide at Longding,"Longding, India",Known within 25 km,Landslide,Other,Small,Unknown,1,0.0,The Assam Tribune,GLC,,NASA COOLR,http://www.assamtribune.com/scripts/detailsnew.asp?id=aug1716/oth054,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
11174,2017-04-22,2017-04-22 05:30:00,2017,Arunachal Pradesh,27.68,93.626,Fatal landslide near Palin,"Palin, Kurung Kumey, Arunachal Pradesh",Known within 1 km,Landslide,Continuous rain,Small,Natural slope,3,0.0,The Northeast Today,GLC,,NASA COOLR,https://thenortheasttoday.com/arunachal-pradesh-three-assam-labourers-killed-in-a-landslide/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
11173,2017-04-23,2017-04-23 04:30:00,2017,Arunachal Pradesh,27.618,93.842,Landslide at IMC Ward Number 18,"IMC ward #18 (??), Lower Subansiri, Arunachal Pradesh",Known within 10 km,Landslide,Monsoon,Small,Natural slope,0,0.0,The Dawnlit Post,GLC,,NASA COOLR,https://thedawnlitpost.com/house-damaged-in-landslide/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
11171,2017-04-26,2017-04-26 05:30:00,2017,Arunachal Pradesh,27.104,93.612,Landslide on Senki View road,"Senki View, Itanagar, Papum Pare, Arunachal Pradesh, India",Known within 1 km,Landslide,Continuous rain,Small,Above road,0,0.0,Hindustan Times,GLC,,NASA COOLR,http://www.hindustantimes.com/india-news/floods-landslides-hit-arunachal-capital-itanagar-following-heavy-rains/story-0FRcHVbMWVXWXotUXVBVuI.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
11175,2017-05-03,2017-05-03 05:30:00,2017,Arunachal Pradesh,27.827,93.624,Fatal landslide in Yangte,"Yangte, Kra Daadi District, Arunachal Pradesh, India",Known within 1 km,Landslide,Rain,Medium,Unknown,1,0.0,Echo of Arunachal,GLC,,NASA COOLR,http://echoofarunachal.in/newecho/2017/05/16/one-dies-in-landslide/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9797,2017-05-24,2017-05-24 19:30:00,2017,Arunachal Pradesh,27.77,93.51,Mudslide in on Sarli-Damin road,"Sarli-Damin road in Kurung Kumey district, near Lee village",Known within 25 km,Mudslide,Rain,Small,Above road,1,0.0,Arunachal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/mudslide-kills-one/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9743,2017-06-04,2017-06-04 05:30:00,2017,Arunachal Pradesh,27.059,93.542,Landslide near Itangar,"Poma River, west of Itangar",Known within 5 km,Landslide,Unknown,Medium,Natural slope,0,0.0,Arunachal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/pipeline-damaged-in-poma-water-crisis-lingers-on/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9829,2017-06-19,2017-06-19 09:30:00,2017,Arunachal Pradesh,27.07,93.615,Landslide in Chimpu,,Known within 1 km,Landslide,Unknown,Small,Urban,1,,Arunachal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/akddsu-mourns-students-death/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
11176,2017-06-20,2017-06-20 14:30:00,2017,Arunachal Pradesh,28.108,94.183,Fatal landslide in Gussar circle,"Gussar, Upper Subansiri, Arunachal Pradesh",Known within 5 km,Landslide,Rain,Medium,Unknown,1,0.0,The Arunachal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/man-buried-alive-in-landslide/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9834,2017-06-21,2017-06-21 12:30:00,2017,Arunachal Pradesh,27.059,93.541,Landslide in Itanagar,"Poma, 6km away from Itanagar",Known within 1 km,Landslide,Rain,Small,Natural slope,0,0.0,Arunachal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/landslide-disrupts-water-supply-again/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9933,2017-06-30,2017-06-30 16:30:00,2017,Arunachal Pradesh,27.048,93.619,Landslide threatens orphanage with collapse,"Jollang, Itanagar Sub-District, Papum Pare, Arunachal Pradesh, 791123",Known within 1 km,Landslide,Downpour,Medium,Natural slope,0,0.0,The Arunachal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9934,2017-07-01,2017-07-01 05:30:00,2017,Arunachal Pradesh,27.011,92.642,Landslide blocks road,"Bhalukpong, West Kameng, Arunachal Pradesh",Known within 1 km,Landslide,Continuous rain,Small,Above road,0,0.0,Arunachal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9932,2017-07-01,2017-07-01 10:30:00,2017,Arunachal Pradesh,27.106,93.66,Landslide near Dree Festival Ground,"Dree Festival Ground, NH-415, Arunachal Pradesh, India",Known exactly,Landslide,Downpour,Medium,Below road,0,0.0,The Arunachal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9935,2017-07-01,2017-07-01 12:30:00,2017,Arunachal Pradesh,27.082,93.608,House in Itanagar washed away by landslide,"Sanglo Potum (??), Itanagar, Papum Pare, Arunachal Pradesh",Known within 5 km,Landslide,Continuous rain,Medium,Natural slope,0,0.0,Arunachal Pradesh,GLC,,NASA COOLR,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
9993,2017-07-05,2017-07-05 03:30:00,2017,Arunachal Pradesh,27.979,94.263,Landslide along Daporijo-Dumporijo road,"Daporijo-Dumporijo road, Arunachal Pradesh, India",Known within 10 km,Landslide,Rain,Small,Above road,0,0.0,The Arunachal Times,GLC,,NASA COOLR,http://www.arunachaltimes.in/landslide-washes-away-house-in-daporijo/,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
