event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide,sample_type
APDA-NEG-01344,2010-06-01,27.15,88.7632,Sikkim,3.63,17.85,37.98,126.28,189.41,0.58,0.5333,2635.98,24.27,20.83,-0.003513,0,negative
2263,2010-08-17,26.275,94.665,Nagaland,17.35,49.71,103.86,133.22,284.05,0.93,1.0756,1145.88,28.69,233.64,-0.00117,1,positive
APDA-NEG-01773,2015-08-15,29.5,80.625,Uttarakhand,4.55,10.65,23.97,55.79,130.14,0.71,1.4,2217.17,32.44,5.59,0.001258,0,negative
2578,2010-10-09,25.318,94.046,Manipur,26.82,107.81,120.26,149.78,258.3,0.94,2.1942,997.19,17.0,271.62,0.00584,1,positive
APDA-NEG-01730,2011-07-10,31.0,79.375,Uttarakhand,7.0,11.63,41.51,80.61,129.72,0.75,1.6667,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-00586,2013-06-12,33.0,77.5,Himachal Pradesh,5.39,10.27,10.6,13.29,17.45,0.46,-0.2667,5155.49,22.24,314.26,0.012153,0,negative
APDA-NEG-00881,2015-08-01,24.5,94.375,Manipur,3.7,100.7,118.29,220.65,329.07,0.87,2.4667,319.22,17.67,30.12,-0.00491,0,negative
APDA-NEG-01165,2011-07-01,27.0,95.0,Nagaland,34.96,63.68,73.72,146.98,312.22,0.87,2.4667,117.36,3.0,28.88,0.00233,0,negative
6200,2014-08-17,27.087,93.609,Arunachal Pradesh,4.65,43.69,146.25,235.39,447.42,0.91,0.6013,315.83,3.23,285.01,0.00299,1,positive
7266,2015-07-22,25.51,93.879,Manipur,10.3,41.39,117.9,173.9,325.49,0.84,1.3821,1638.5,3.93,284.64,-0.00352,1,positive
APDA-NEG-00282,2010-06-15,26.5,94.375,Assam,40.07,75.47,135.07,260.58,370.59,0.91,2.7333,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-00021,2011-03-22,28.0,93.75,Arunachal Pradesh,0.94,20.88,59.21,66.76,73.33,0.7,1.3333,576.05,30.81,45.85,0.021021,0,negative
7224,2015-07-19,30.73,78.438,Uttarakhand,0.64,11.66,57.37,228.45,348.13,0.86,0.553,1120.9,14.2,339.56,0.007842,1,positive
APDA-NEG-01491,2010-09-03,29.0,79.375,Uttarakhand,28.6,144.07,168.08,360.81,507.38,0.94,2.9333,215.32,0.43,292.55,0.001399,0,negative
3577,2011-06-07,30.532,79.354,Uttarakhand,1.77,14.76,28.51,86.23,95.68,0.64,1.3273,2688.4,41.29,142.02,-0.00706,1,positive
142,2007-07-27,25.521,90.232,Meghalaya,34.65,104.6,170.2,385.05,452.12,0.94,0.9476,576.79,28.02,300.1,-0.00347,1,positive
APDA-NEG-01171,2011-08-18,26.5,94.375,Nagaland,9.91,53.4,132.89,201.75,353.47,0.93,2.8667,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-00816,2010-10-08,25.0,93.125,Manipur,86.18,138.2,141.73,190.96,313.55,0.99,3.2667,275.9,30.23,93.66,-0.002097,0,negative
APDA-NEG-00337,2007-08-12,32.5,78.125,Himachal Pradesh,7.75,15.84,25.88,66.16,89.93,0.54,0.2667,5364.12,23.0,184.14,0.001507,0,negative
APDA-NEG-01423,2007-07-30,30.5,77.5,Uttarakhand,53.78,73.54,103.01,186.08,415.1,0.86,2.4,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-00543,2013-07-07,30.5,76.875,Himachal Pradesh,21.22,30.16,44.26,103.86,368.09,0.65,1.0,298.08,0.59,195.1,0.000987,0,negative
APDA-NEG-01035,2007-07-30,22.5,93.125,Mizoram,0.31,3.17,25.87,143.21,228.9,0.72,1.4667,448.6,33.09,143.87,-0.000616,0,negative
7226,2015-07-18,32.224,76.323,Himachal Pradesh,32.47,106.08,170.29,279.82,362.12,0.84,1.8715,1476.51,14.47,4.81,-0.00121,1,positive
APDA-NEG-01506,2013-07-24,30.5,80.0,Uttarakhand,7.72,17.62,60.91,105.52,226.67,0.83,2.2,5403.64,16.29,342.16,0.008133,0,negative
2243,2010-08-13,25.702,94.046,Nagaland,10.61,13.72,16.8,70.99,191.18,0.84,1.0749,1010.02,13.54,116.04,0.007562,1,positive
APDA-NEG-01529,2011-02-23,31.0,79.375,Uttarakhand,0.0,0.0,0.22,13.91,19.85,0.73,1.5333,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-00495,2011-08-13,32.5,76.875,Himachal Pradesh,5.93,49.44,107.81,137.53,246.72,0.86,2.4,5101.1,32.0,358.76,0.004829,0,negative
5224,2013-07-28,29.996,80.201,Uttarakhand,14.7,19.55,77.02,204.52,357.45,0.93,1.5987,2051.63,52.64,351.04,0.014129,1,positive
APDA-NEG-00990,2015-06-13,26.0,90.625,Meghalaya,11.19,106.7,179.72,241.19,414.66,0.8,2.0,62.04,6.07,73.96,0.000375,0,negative
APDA-NEG-00228,2013-10-06,26.5,94.375,Assam,12.27,52.77,59.39,100.92,151.11,0.92,2.8,307.93,20.68,270.76,-0.012984,0,negative
5181,2013-07-24,30.273,79.233,Uttarakhand,15.7,26.23,96.52,169.02,342.6,0.92,1.7763,1050.79,43.28,194.87,-0.011462,1,positive
2137,2010-07-25,30.559,77.289,Himachal Pradesh,6.05,15.81,128.41,188.86,382.47,0.78,0.5698,887.77,10.08,298.15,-0.002344,1,positive
APDA-NEG-01702,2013-08-05,29.5,80.625,Uttarakhand,9.38,21.01,44.2,145.29,394.77,0.9,2.6667,2217.17,32.44,5.59,0.001258,0,negative
6015,2014-05-08,27.903,96.174,Arunachal Pradesh,33.77,55.08,62.54,77.05,98.57,0.73,0.4611,196.5,3.87,201.79,0.003916,1,positive
APDA-NEG-00165,2009-08-20,26.5,94.375,Assam,30.86,57.56,111.63,269.24,420.53,0.93,2.8667,307.93,20.68,270.76,-0.012984,0,negative
3759,2011-07-11,30.506,79.113,Uttarakhand,4.67,27.47,82.35,156.16,253.08,0.81,1.0862,1974.57,8.59,49.99,-8.3e-05,1,positive
APDA-NEG-01173,2013-06-07,25.5,94.375,Nagaland,5.28,14.76,17.93,42.86,159.46,0.77,1.8,1690.52,34.92,313.33,-0.003122,0,negative
APDA-NEG-01461,2010-08-09,29.5,80.625,Uttarakhand,12.1,18.02,37.31,190.96,371.99,0.81,2.0667,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-00996,2015-06-16,25.5,90.625,Meghalaya,21.68,50.21,257.7,302.63,495.27,0.95,3.0,263.81,5.53,161.64,-0.002985,0,negative
APDA-NEG-00602,2010-09-19,32.5,76.875,Himachal Pradesh,13.67,17.45,26.88,102.2,203.32,0.89,2.6,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-01822,2013-07-12,30.5,77.5,Uttarakhand,2.87,9.3,133.23,188.65,750.5,0.87,2.4667,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-00902,2013-08-15,24.0,94.375,Manipur,4.48,66.29,77.26,149.17,208.41,0.76,1.7333,308.07,14.0,233.72,-0.007124,0,negative
APDA-NEG-00294,2007-07-19,26.5,94.375,Assam,9.79,33.63,70.03,125.97,230.51,0.81,2.0667,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-01008,2010-06-28,25.0,90.625,Meghalaya,32.65,105.46,127.98,231.7,527.9,0.92,2.8,9.45,0.41,97.51,-0.000647,0,negative
APDA-NEG-01338,2007-09-10,27.15,88.1,Sikkim,8.67,19.57,138.33,203.22,341.11,0.91,2.7333,2395.93,26.81,256.33,0.013169,0,negative
4914,2013-06-13,30.739,78.531,Uttarakhand,60.54,87.48,106.93,120.78,122.19,0.82,1.6899,1301.52,3.59,180.38,-0.0022,1,positive
APDA-NEG-01674,2010-09-03,31.0,79.375,Uttarakhand,11.09,38.03,60.49,138.53,230.98,0.86,2.4,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-01700,2013-08-18,29.5,78.75,Uttarakhand,3.79,61.41,115.6,246.79,470.03,0.92,2.8,285.78,7.49,11.54,0.004111,0,negative
7676,2015-08-12,32.176,76.308,Himachal Pradesh,16.56,24.51,54.39,81.14,248.86,0.81,0.6999,960.41,16.01,279.12,-0.004855,1,positive
725,2008-08-17,31.1,77.16,Himachal Pradesh,7.29,41.42,182.94,320.47,432.56,0.91,1.8298,1959.45,14.05,22.19,-0.003983,1,positive
APDA-NEG-00993,2015-06-16,25.0,90.625,Meghalaya,17.8,47.82,288.63,325.55,514.31,0.9,2.6667,9.45,0.41,97.51,-0.000647,0,negative
APDA-NEG-00678,2015-07-26,32.5,78.125,Himachal Pradesh,8.18,11.84,24.3,85.76,203.52,0.7,1.3333,5364.12,23.0,184.14,0.001507,0,negative
868,2008-10-29,26.333,91.25,Assam,0.03,26.54,52.6,52.6,115.12,0.7,-0.3813,41.34,0.4,319.39,0.000291,1,positive
APDA-NEG-01608,2009-08-08,31.0,79.375,Uttarakhand,3.02,34.55,38.21,81.62,122.67,0.68,1.2,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-00780,2015-08-01,24.5,94.375,Manipur,3.7,100.7,118.29,220.65,329.07,0.87,2.4667,319.22,17.67,30.12,-0.00491,0,negative
APDA-NEG-01688,2010-08-16,29.5,80.625,Uttarakhand,1.98,7.26,32.14,73.45,362.74,0.79,1.9333,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-00068,2008-06-14,27.0,94.375,Arunachal Pradesh,37.41,80.01,153.37,262.84,432.09,0.87,2.4667,86.0,0.0,0.0,0.0,0,negative
285,2007-09-29,24.129,92.692,Mizoram,4.42,4.61,5.81,15.48,252.3,0.85,0.2582,833.09,17.16,115.74,0.001875,1,positive
APDA-NEG-01195,2013-08-04,27.0,95.0,Nagaland,7.48,8.99,45.14,158.95,307.96,0.9,2.6667,117.36,3.0,28.88,0.00233,0,negative
APDA-NEG-01470,2011-07-21,31.0,79.375,Uttarakhand,1.75,26.87,58.37,83.01,173.69,0.78,1.8667,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-00894,2007-10-19,24.0,93.75,Manipur,4.0,5.15,44.04,96.02,105.53,0.65,1.0,938.27,22.91,215.12,-0.015373,0,negative
APDA-NEG-00660,2011-08-07,32.5,76.875,Himachal Pradesh,12.11,24.27,36.87,91.1,194.63,0.8,2.0,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-01438,2013-08-05,29.5,80.625,Uttarakhand,9.38,21.01,44.2,145.29,394.77,0.9,2.6667,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-00496,2015-07-26,33.0,77.5,Himachal Pradesh,5.48,8.32,22.33,62.63,148.58,0.67,1.1333,5155.49,22.24,314.26,0.012153,0,negative
APDA-NEG-00215,2013-05-11,27.0,94.375,Assam,12.93,23.68,47.03,149.49,236.04,0.68,1.2,86.0,0.0,0.0,0.0,0,negative
APDA-NEG-00770,2013-05-12,24.0,93.125,Manipur,8.33,52.71,141.9,268.6,322.27,0.81,2.0667,1156.07,10.45,264.05,-0.013664,0,negative
APDA-NEG-01115,2008-08-07,25.5,94.375,Nagaland,0.58,14.37,36.41,94.74,209.37,0.77,1.8,1690.52,34.92,313.33,-0.003122,0,negative
APDA-NEG-01769,2015-08-15,29.0,79.375,Uttarakhand,18.8,25.88,58.82,121.16,171.79,0.77,1.8,215.32,0.43,292.55,0.001399,0,negative
APDA-NEG-01715,2013-10-18,30.5,77.5,Uttarakhand,0.0,0.51,0.77,15.24,67.73,0.77,1.8,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-01335,2010-08-27,27.15,88.1,Sikkim,32.92,83.7,166.4,347.84,447.01,0.95,3.0,2395.93,26.81,256.33,0.013169,0,negative
APDA-NEG-01677,2013-07-26,30.5,77.5,Uttarakhand,0.73,23.53,92.78,248.64,448.38,0.9,2.6667,425.48,0.38,300.89,0.001817,0,negative
3752,2011-07-09,31.019,78.413,Uttarakhand,7.4,13.85,64.38,136.06,223.42,0.82,1.0774,3256.31,43.8,27.88,0.000398,1,positive
APDA-NEG-00706,2013-06-15,33.0,77.5,Himachal Pradesh,6.25,21.36,31.89,33.99,38.29,0.48,-0.1333,5155.49,22.24,314.26,0.012153,0,negative
APDA-NEG-01537,2011-06-07,31.0,79.375,Uttarakhand,1.77,10.19,19.87,59.24,65.31,0.7,1.3333,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-00174,2007-07-19,25.5,90.625,Assam,35.12,78.83,176.15,215.9,316.41,0.96,3.0667,263.81,5.53,161.64,-0.002985,0,negative
APDA-NEG-01766,2015-08-01,29.5,80.625,Uttarakhand,8.45,17.26,20.16,79.69,188.75,0.74,1.6,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-01197,2013-08-04,26.0,95.0,Nagaland,20.58,23.57,59.87,134.2,325.91,0.94,2.9333,1150.77,10.47,188.47,-0.011555,0,negative
APDA-NEG-01318,2011-08-25,27.15,88.7632,Sikkim,10.7,78.34,116.28,337.97,547.54,0.94,2.9333,2635.98,24.27,20.83,-0.003513,0,negative
APDA-NEG-01495,2010-09-04,31.0,79.375,Uttarakhand,6.24,24.87,60.2,140.78,232.09,0.86,2.4,5085.99,17.29,81.7,0.00088,0,negative
2574,2010-10-09,25.475,93.148,Assam,26.53,110.95,121.17,153.27,276.74,0.95,2.1076,152.3,3.98,184.35,-0.003305,1,positive
APDA-NEG-01487,2010-09-03,30.5,77.5,Uttarakhand,20.01,76.27,133.14,332.42,591.78,0.96,3.0667,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-00073,2015-08-16,28.5,95.625,Arunachal Pradesh,26.34,61.38,99.17,209.15,326.27,0.92,2.8,2215.04,37.28,283.93,-0.000253,0,negative
7267,2015-07-22,25.391,94.093,Manipur,16.94,48.02,130.7,184.62,347.16,0.9,1.3677,1305.7,14.1,83.19,-0.001301,1,positive
APDA-NEG-01593,2012-08-06,29.5,80.625,Uttarakhand,2.18,9.45,48.24,125.19,200.01,0.65,1.0,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-00814,2013-10-14,24.0,93.75,Manipur,0.49,3.28,16.66,55.03,122.13,0.79,1.9333,938.27,22.91,215.12,-0.015373,0,negative
APDA-NEG-00638,2011-06-29,31.5,78.75,Himachal Pradesh,7.2,14.08,62.13,83.01,149.58,0.76,1.7333,4989.8,15.71,68.13,-0.003931,0,negative
APDA-NEG-01222,2013-08-16,27.0,95.0,Nagaland,36.7,45.85,83.15,219.67,404.03,0.95,3.0,117.36,3.0,28.88,0.00233,0,negative
APDA-NEG-01459,2010-08-05,29.5,78.75,Uttarakhand,17.25,30.01,196.7,270.98,452.02,0.84,2.2667,285.78,7.49,11.54,0.004111,0,negative
APDA-NEG-01727,2014-08-18,29.5,78.75,Uttarakhand,0.02,18.99,93.77,203.72,322.86,0.72,1.4667,285.78,7.49,11.54,0.004111,0,negative
141,2007-07-26,25.38,91.88,Meghalaya,34.95,113.14,176.0,317.79,462.79,0.99,1.0648,1302.74,27.69,76.45,0.000609,1,positive
4385,2012-06-03,27.717,88.558,Sikkim,0.37,5.51,34.32,36.5,71.45,0.54,-0.2934,2652.95,9.74,68.87,0.0059,1,positive
3830,2011-07-22,24.353,94.343,Manipur,5.5,39.36,128.4,198.77,348.17,0.89,1.7438,265.61,13.17,67.24,0.000187,1,positive
3525,2011-05-22,25.067,93.409,Manipur,12.35,93.39,115.49,140.3,240.83,0.84,1.3227,447.69,20.53,336.09,0.000661,1,positive
APDA-NEG-00869,2015-07-24,25.0,93.125,Manipur,26.29,65.58,149.54,286.71,456.22,0.96,3.0667,275.9,30.23,93.66,-0.002097,0,negative
APDA-NEG-01354,2013-06-08,27.15,88.7632,Sikkim,11.49,21.4,59.22,152.82,271.98,0.7,1.3333,2635.98,24.27,20.83,-0.003513,0,negative
3558,2011-05-31,30.921,78.328,Uttarakhand,9.92,26.67,58.15,63.75,75.41,0.66,1.3753,2360.62,38.51,68.46,0.002259,1,positive
APDA-NEG-01464,2013-06-18,30.5,80.0,Uttarakhand,3.21,83.26,121.88,145.39,150.84,0.78,1.8667,5403.64,16.29,342.16,0.008133,0,negative
3777,2011-07-15,32.349,77.218,Himachal Pradesh,21.89,37.6,49.46,78.36,152.46,0.73,0.9815,3303.7,9.72,26.24,0.012165,1,positive
APDA-NEG-01651,2013-07-23,30.5,80.0,Uttarakhand,1.29,26.51,66.59,105.01,238.14,0.82,2.1333,5403.64,16.29,342.16,0.008133,0,negative
6143,2014-07-14,23.733,92.746,Mizoram,4.46,14.06,35.85,99.58,446.56,0.84,0.3945,868.4,20.55,303.77,-0.004512,1,positive
APDA-NEG-00098,2013-09-02,28.5,95.625,Arunachal Pradesh,19.77,48.41,106.19,140.02,369.19,0.92,2.8,2215.04,37.28,283.93,-0.000253,0,negative
APDA-NEG-00407,2010-08-13,33.0,77.5,Himachal Pradesh,8.93,15.62,34.04,105.47,195.39,0.67,1.1333,5155.49,22.24,314.26,0.012153,0,negative
7589,2015-08-19,25.257,92.383,Meghalaya,35.06,81.02,115.26,202.37,359.49,0.96,1.0464,807.3,13.01,8.19,-0.010856,1,positive
APDA-NEG-01610,2011-07-06,29.5,80.625,Uttarakhand,4.15,12.09,137.99,321.87,378.45,0.76,1.7333,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-00106,2010-05-31,27.0,94.375,Arunachal Pradesh,8.87,27.4,53.29,121.78,260.22,0.8,2.0,86.0,0.0,0.0,0.0,0,negative
2460,2010-09-19,31.984,77.189,Himachal Pradesh,40.4,61.45,86.62,190.35,356.89,0.94,2.1581,2215.52,45.82,334.16,-0.008124,1,positive
APDA-NEG-00013,2010-09-10,28.0,93.75,Arunachal Pradesh,19.21,85.87,158.01,311.33,539.25,0.95,3.0,576.05,30.81,45.85,0.021021,0,negative
APDA-NEG-01763,2015-07-28,29.5,80.625,Uttarakhand,0.11,2.88,55.23,76.91,211.34,0.7,1.3333,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-01505,2010-09-18,29.5,80.625,Uttarakhand,58.24,117.01,156.98,252.44,461.09,0.95,3.0,2217.17,32.44,5.59,0.001258,0,negative
APDA-NEG-00358,2015-07-26,30.5,76.875,Himachal Pradesh,5.93,24.59,38.81,204.24,404.36,0.77,1.8,298.08,0.59,195.1,0.000987,0,negative
APDA-NEG-00059,2013-09-02,28.0,95.0,Arunachal Pradesh,32.14,73.51,159.52,208.01,517.77,0.95,3.0,784.15,2.6,262.83,-0.001803,0,negative
APDA-NEG-00300,2007-07-19,25.0,90.625,Assam,42.69,93.97,185.91,224.89,335.27,0.92,2.8,9.45,0.41,97.51,-0.000647,0,negative
APDA-NEG-01808,2013-07-28,29.5,78.75,Uttarakhand,21.47,27.93,82.03,257.89,431.32,0.89,2.6,285.78,7.49,11.54,0.004111,0,negative
APDA-NEG-00575,2014-02-12,32.5,76.875,Himachal Pradesh,0.01,0.29,12.44,14.1,60.92,0.75,1.6667,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-01707,2013-08-20,30.5,80.0,Uttarakhand,4.37,13.37,32.48,83.57,166.39,0.85,2.3333,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-01747,2015-07-11,29.0,79.375,Uttarakhand,91.09,158.36,230.87,358.71,510.33,0.9,2.6667,215.32,0.43,292.55,0.001399,0,negative
APDA-NEG-01812,2013-08-17,30.5,80.0,Uttarakhand,4.79,15.61,45.36,92.93,192.24,0.85,2.3333,5403.64,16.29,342.16,0.008133,0,negative
3663,2011-06-28,25.668,94.11,Nagaland,10.59,57.37,84.92,139.41,248.85,0.86,1.3446,1434.03,15.46,118.85,-0.0024,1,positive
5275,2013-08-04,26.15,94.606,Nagaland,5.78,14.93,47.43,109.0,290.88,0.89,0.7207,1741.06,27.77,338.97,-0.000725,1,positive
APDA-NEG-00817,2011-05-22,24.0,94.375,Manipur,6.26,69.03,89.51,105.01,168.9,0.68,1.2,308.07,14.0,233.72,-0.007124,0,negative
6289,2014-09-22,26.1,91.685,Assam,126.76,191.59,231.7,267.93,354.68,0.97,1.8756,72.83,22.86,148.03,0.007315,1,positive
APDA-NEG-00355,2008-09-19,31.5,78.75,Himachal Pradesh,22.81,33.65,36.11,57.99,104.94,0.85,2.3333,4989.8,15.71,68.13,-0.003931,0,negative
APDA-NEG-01488,2011-07-11,30.5,77.5,Uttarakhand,1.69,32.33,111.36,163.71,335.11,0.75,1.6667,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-00014,2014-08-17,28.0,95.0,Arunachal Pradesh,2.7,37.84,186.98,349.56,539.5,0.95,3.0,784.15,2.6,262.83,-0.001803,0,negative
