event_id,latitude,longitude,elevation,slope,aspect,curvature
8237,27.014,92.635,229.59,2.67,56.71,0.000438
9010,27.303,93.804,734.51,30.72,70.68,0.003837
9087,28.235,94.961,314.7,44.76,165.92,-0.001882
9252,27.575,91.864,2698.92,13.02,104.21,0.004858
9464,27.575,91.975,2424.03,27.94,186.95,-0.000311
9869,26.882,95.4,724.37,10.18,300.8,-0.017936
11174,27.68,93.626,1108.12,20.32,274.33,-0.005887
11173,27.618,93.842,1675.89,21.05,247.25,-0.007178
11171,27.104,93.612,308.87,28.06,327.92,0.004536
11175,27.827,93.624,984.34,11.79,16.48,0.000162
9797,27.77,93.51,863.34,45.27,252.9,-0.009548
9743,27.059,93.542,506.38,20.28,135.82,-0.007406
9829,27.07,93.615,201.97,4.62,304.79,0.004102
11176,28.108,94.183,868.88,6.16,312.85,-0.006763
9834,27.059,93.541,506.35,13.95,194.12,-0.008643
9933,27.048,93.619,263.38,11.01,130.74,-0.00506
9934,27.011,92.642,248.85,29.11,145.52,0.004688
9932,27.106,93.66,267.52,24.06,170.95,-0.001049
9935,27.082,93.608,273.24,12.74,115.18,-0.027158
9993,27.979,94.263,331.0,20.19,145.24,0.001714
9998,27.985,94.213,304.62,32.29,38.67,0.002286
11164,27.107,93.652,333.11,18.21,251.5,-0.003809
11165,27.093,93.619,361.84,9.69,236.77,-0.000647
11166,27.077,93.598,222.67,3.51,88.38,-0.001755
11167,27.116,93.796,174.11,22.21,252.95,-0.00234
11169,27.06,93.501,265.68,29.76,15.58,-0.00224
11170,27.142,93.665,995.87,11.85,119.27,-0.013658
11172,27.084,93.605,292.08,10.98,254.12,0.003303
11177,27.584,91.877,2739.16,22.45,17.5,-0.012273
11168,27.209,93.615,653.6,31.19,327.49,-0.001912
13263,27.304,92.408,2158.27,30.7,253.98,-0.003671
14520,27.104,93.645,359.58,23.86,139.25,-0.002894
130,26.17,91.799,157.15,4.53,52.19,-0.007037
213,25.295,92.834,883.28,15.3,231.34,-0.000472
264,26.183,91.8,66.86,1.47,13.99,7.5e-05
545,24.985,92.841,262.07,11.11,216.47,-0.006878
587,27.23,94.099,95.59,1.31,355.37,-0.000733
714,27.163,94.0,94.73,1.44,162.6,0.003422
868,26.333,91.25,41.34,0.4,319.39,0.000291
869,27.233,94.117,90.61,0.28,229.81,0.000994
1109,25.522,93.165,265.85,11.42,100.29,0.005843
1127,25.172,93.123,724.41,15.13,232.17,-0.006036
1611,25.155,93.028,593.92,28.88,197.51,-0.001517
1770,26.197,91.763,91.86,11.8,201.42,-0.009228
1771,26.198,91.767,71.95,12.8,132.91,0.001924
1934,24.601,92.381,79.06,17.95,266.52,-0.004817
1961,25.883,91.2,239.65,18.31,53.28,0.005628
1987,25.227,93.166,392.72,4.76,220.21,0.000932
1994,25.063,92.803,85.24,8.97,39.25,-0.006314
2140,25.048,92.801,165.34,24.33,98.11,0.006099
2573,25.18,93.008,686.95,8.35,137.6,0.003288
2574,25.475,93.148,152.3,3.98,184.35,-0.003305
2575,25.524,92.991,171.37,22.19,118.95,0.001054
3532,25.089,92.855,256.8,26.05,178.17,0.005929
3672,25.513,93.361,314.56,15.25,310.04,0.01702
3837,26.584,93.004,67.2,0.39,51.21,0.00077
3965,24.808,93.117,37.32,1.58,27.43,0.001927
3983,26.155,91.735,56.08,2.61,65.52,-0.001415
4377,26.148,91.736,50.4,0.84,349.78,0.000362
4382,25.118,92.857,153.91,14.28,325.04,0.005915
4383,25.306,93.127,320.93,7.71,200.35,-0.002582
4384,25.178,93.012,644.59,7.31,70.89,0.004215
4424,26.149,91.735,51.9,1.27,238.4,0.000284
4426,26.123,91.716,95.36,28.46,27.47,0.006071
4434,26.105,91.737,163.62,17.69,68.06,-0.007826
4859,26.177,91.76,82.57,13.86,338.76,-0.004695
4860,26.102,91.691,65.5,28.17,169.66,0.017318
4858,26.166,91.714,138.12,22.19,83.95,0.005159
5584,26.167,91.705,243.88,8.17,64.57,0.000982
5582,26.131,91.838,114.95,10.14,97.9,-0.012331
6016,24.867,92.358,19.55,1.81,294.81,-0.001608
6106,26.141,91.765,60.18,3.25,18.9,0.00049
6107,26.184,91.79,58.3,0.38,316.37,0.00093
6110,26.162,91.77,53.6,1.02,104.35,0.00343
6112,26.196,91.765,99.87,5.72,150.67,-0.010505
6282,26.11,91.775,59.48,0.37,348.26,-0.001035
6283,26.131,91.755,78.58,8.14,255.72,6.8e-05
6284,26.132,91.834,75.67,9.05,164.55,0.0033
6285,26.159,91.818,60.84,5.97,40.86,-0.001948
6286,26.104,91.708,53.39,2.83,95.73,0.002008
6287,26.13,91.706,144.65,9.79,76.97,-0.009575
6288,26.199,91.8,95.98,22.6,359.57,0.002251
6289,26.1,91.685,72.83,22.86,148.03,0.007315
6292,25.724,89.903,30.15,7.02,285.13,0.007833
6775,26.147,91.647,56.36,13.58,208.95,0.007168
6786,24.611,92.562,23.67,6.24,175.75,0.002341
7591,25.032,92.458,78.61,14.87,311.24,0.008403
7253,24.798,92.997,24.3,0.44,233.1,0.000305
7276,26.106,91.872,259.01,1.56,124.15,-0.006021
7728,26.103,91.881,112.87,12.46,16.42,0.007135
7923,26.493,91.721,55.02,1.22,24.84,0.000855
7933,26.187,91.674,48.64,0.75,245.76,0.00094
8339,26.167,91.704,231.39,9.26,326.01,-0.005507
9334,24.52,92.726,37.6,3.1,201.77,0.002354
9335,24.52,92.724,41.72,3.14,219.78,-0.000796
9336,24.531,92.512,48.87,11.91,154.53,0.019526
9338,24.464,92.494,85.19,15.45,254.53,0.004394
8222,26.196,91.783,111.61,12.53,63.55,0.007147
8684,25.961,91.368,178.23,3.84,230.89,0.002402
8995,26.196,91.807,189.19,22.67,57.6,-0.0015
8996,26.177,91.77,111.79,33.44,65.48,0.001931
9051,26.097,91.874,213.66,23.28,166.24,-0.004623
9122,26.197,91.802,99.89,22.29,173.91,0.00383
9917,24.769,92.821,21.4,2.48,32.29,0.001361
10972,26.192,91.81,98.77,6.95,312.42,0.002892
10973,26.182,91.772,54.82,1.73,257.59,0.001207
10976,25.118,92.854,148.57,8.32,59.85,0.006686
10977,25.482,93.142,161.9,4.33,321.09,1.9e-05
10978,25.132,93.047,721.98,8.56,247.15,0.007133
10979,25.195,93.173,675.03,14.31,211.98,-0.002033
10980,25.181,93.118,580.98,13.04,66.78,-0.005864
10974,26.161,91.853,94.75,6.65,281.41,0.0024
10975,25.619,92.709,601.6,16.4,86.06,-0.003362
9750,25.152,92.947,986.85,7.77,218.11,-0.004113
11178,26.964,92.783,175.6,4.84,140.17,-0.004603
9949,26.1,91.874,112.17,20.48,148.02,-0.012876
9951,26.106,91.852,187.18,31.4,137.34,0.002365
9952,26.104,91.862,171.16,16.03,283.44,0.000135
9972,26.222,91.921,114.09,21.11,327.54,-0.001931
9940,26.205,91.872,114.97,29.17,166.68,0.008864
10005,26.11,91.803,63.31,1.04,324.02,-2.7e-05
11162,26.566,93.132,82.33,12.6,204.31,0.001304
10004,26.145,91.794,88.0,4.26,137.13,-0.000553
10007,26.19,91.773,81.49,14.64,44.89,0.007821
11163,26.951,93.867,89.15,0.82,142.68,-0.000864
14086,25.196,93.134,532.9,13.13,324.62,-0.00549
177,32.733,77.591,5750.13,24.15,221.33,-0.014669
178,32.099,76.267,794.82,25.68,330.12,-0.004778
481,32.286,77.161,2371.35,36.11,11.61,0.001903
568,31.208,77.193,879.94,35.19,314.05,0.006396
592,32.371,77.247,3959.5,3.97,259.63,0.00914
697,31.13,77.09,1683.9,28.57,334.65,-0.002892
715,31.0,77.12,1442.23,17.88,115.72,0.001512
725,31.1,77.16,1959.45,14.05,22.19,-0.003983
796,30.56,77.3,899.57,8.8,159.36,-0.006194
797,31.1,77.165,1893.9,29.15,329.17,0.003031
798,31.587,78.315,2795.18,32.44,255.51,0.003555
942,30.895,77.089,1658.34,32.88,159.67,0.008642
1134,32.351,77.223,3257.94,14.48,5.13,-0.009509
1149,31.549,76.9,863.96,0.52,237.86,-0.002811
1153,31.883,78.617,3310.87,22.85,190.64,-0.002753
1154,32.404,77.58,4367.11,3.21,110.06,0.001678
1157,31.103,77.163,2021.9,28.34,8.8,-0.004233
1962,31.099,77.172,2043.4,26.52,311.48,0.003116
2046,32.373,77.25,3944.41,10.63,200.6,0.000444
2047,32.219,78.072,3594.49,1.47,349.19,0.001651
2048,32.66,76.853,3669.16,26.56,351.12,-0.000819
2049,31.504,77.952,3517.93,51.62,272.92,-0.001936
2050,31.645,78.435,2887.45,26.93,105.16,0.007812
2051,31.101,77.179,2257.21,31.57,223.18,-0.01487
2056,32.304,77.211,3094.5,23.3,337.34,-0.003463
2091,30.636,77.544,1637.06,40.51,241.06,0.003234
2135,32.207,76.364,1315.0,5.19,292.95,-0.005721
2136,30.904,77.097,1440.5,16.85,302.55,-0.00543
2137,30.559,77.289,887.77,10.08,298.15,-0.002344
2139,31.105,77.173,2202.87,11.34,163.99,-0.016993
2138,31.093,77.168,1916.38,30.73,0.09,-0.008718
2183,31.066,77.133,1859.15,43.03,209.9,0.011747
2198,32.757,77.414,4878.68,10.5,349.55,0.001657
2215,32.371,77.247,3959.5,3.97,259.63,0.00914
2234,31.958,77.11,1221.73,3.62,13.72,0.005983
2242,30.852,76.991,1244.78,26.46,36.72,-0.003037
2246,30.901,77.096,1402.13,18.41,141.66,-0.002328
2305,31.53,77.776,1251.75,22.07,206.43,-0.001103
2340,32.703,75.957,1970.93,40.73,65.37,0.001578
2397,32.099,77.15,1595.19,9.23,273.75,0.002277
2427,32.311,77.22,3392.42,30.01,226.41,-0.000374
2432,31.414,77.895,3747.12,60.4,183.82,0.006762
2457,31.563,77.98,1531.57,48.86,166.25,-0.007089
2460,31.984,77.189,2215.52,45.82,334.16,-0.008124
2461,31.458,78.211,3016.62,42.19,271.82,-0.003274
2462,30.909,77.11,1568.63,21.3,187.35,-0.002381
2463,31.119,77.509,1547.67,35.7,347.34,0.000344
2464,30.954,77.506,2598.85,20.42,102.04,-0.00735
2465,31.416,77.415,1903.61,28.39,141.79,0.001278
2466,30.874,76.958,1305.6,34.74,246.1,0.001665
2467,30.72,77.17,1132.7,17.2,356.08,-0.000139
2468,30.904,77.097,1440.5,16.85,302.55,-0.00543
2469,30.901,77.467,2442.42,40.39,214.82,-0.001532
2475,31.158,77.716,1725.11,34.04,73.28,-0.002909
2479,31.57,78.284,2287.7,32.88,220.67,-0.003105
2480,31.944,77.118,1357.28,21.23,278.23,-0.000484
2477,31.184,76.991,1374.58,24.3,337.28,-0.021431
2488,31.022,77.104,1691.3,27.96,89.77,-0.00481
2538,30.914,76.818,431.73,0.79,12.21,-0.001098
2546,30.955,77.179,1829.8,36.19,192.31,0.010672
2596,31.437,78.236,2625.01,20.07,320.56,-0.011419
3146,32.187,77.177,2255.51,46.59,72.38,0.001306
3174,32.1,77.159,1716.2,21.02,232.95,0.013009
3611,32.361,77.231,3830.87,33.4,30.82,0.002335
3618,31.564,77.98,1453.26,10.9,180.78,0.011332
3666,32.432,77.215,3585.02,54.2,295.21,0.000928
3667,32.228,77.19,1823.87,34.26,264.08,0.012876
3745,30.921,77.021,1300.66,18.48,298.79,0.007172
3747,32.324,77.194,2597.81,27.22,285.37,0.002225
3756,31.71,76.933,770.19,2.37,94.03,-0.001707
3763,31.106,77.178,2208.3,31.02,224.42,0.003392
3777,32.349,77.218,3303.7,9.72,26.24,0.012165
3839,32.19,77.187,1738.33,40.91,92.65,-0.003906
3884,31.691,77.132,893.5,0.0,0.0,0.0
3890,31.715,77.022,869.88,21.45,130.89,-0.000529
3894,31.077,77.392,1303.75,2.1,34.4,-0.000252
3895,31.077,77.391,1305.34,0.83,320.07,-0.000595
3888,31.24,77.926,1937.07,6.82,270.09,-0.005741
3889,31.708,76.932,758.46,4.33,84.11,0.003138
3917,31.708,76.931,765.99,7.58,188.53,0.006465
4202,32.566,76.12,804.07,15.84,254.85,0.00876
4447,31.107,77.209,2291.82,43.44,36.32,-0.009859
4497,32.228,78.071,3663.91,11.15,8.07,0.003026
4498,32.18,77.195,1866.38,8.67,206.61,-0.001497
4513,32.1,76.27,769.13,16.95,189.93,0.002489
4514,31.709,76.931,766.52,3.18,316.08,-0.001531
4515,30.74,77.285,1633.37,33.84,202.08,-0.009573
4516,30.904,77.097,1440.5,16.85,302.55,-0.00543
4565,31.023,77.103,1667.78,29.32,182.57,0.002963
4912,31.49,76.704,707.21,11.14,212.2,-0.002005
4913,31.488,76.67,687.05,11.63,341.07,-0.003558
4916,32.211,76.283,989.86,3.92,61.87,-0.00295
4917,32.555,76.125,921.75,5.93,297.23,0.005478
4920,31.517,78.098,1721.5,17.26,345.6,-0.003721
4925,31.455,78.2,2019.78,9.63,98.59,0.019255
4926,30.674,77.354,1514.34,23.48,30.64,-0.008659
4927,30.573,77.652,878.63,37.69,330.24,-0.010738
4932,31.348,77.461,885.37,14.17,168.96,-0.006291
4933,31.599,78.438,2309.48,55.71,127.71,0.016922
4946,31.622,78.019,2460.37,9.58,50.65,0.001577
5013,31.072,77.14,1978.85,28.19,23.56,-0.009827
5043,31.991,76.791,1221.14,18.15,272.02,-0.003442
5044,31.163,77.724,1464.94,28.56,125.89,0.011584
5049,31.56,77.168,1867.61,25.24,26.11,0.007038
5050,31.703,76.936,765.76,41.43,293.98,0.029715
5051,31.702,76.973,775.53,31.14,188.58,0.016894
5052,31.709,76.93,756.37,1.73,277.45,0.00287
5053,31.967,76.852,1477.19,26.35,283.61,0.005524
5054,31.702,76.942,770.49,8.37,125.36,-0.00139
5047,31.88,76.916,1283.39,9.87,297.48,-0.001306
5097,31.471,77.675,1048.87,46.97,53.34,-0.004415
5098,32.17,77.179,1614.32,10.24,38.99,-0.000224
5099,30.674,77.354,1514.34,23.48,30.64,-0.008659
5100,31.673,76.534,749.76,3.03,346.64,0.001201
5214,31.893,78.63,3633.51,16.93,269.76,-0.003738
5290,32.232,76.304,1633.15,10.95,79.15,-0.000613
5334,32.361,77.304,3360.48,29.06,69.93,-0.001876
5382,31.538,77.374,3080.16,37.19,168.47,-0.002164
5598,32.367,77.086,3690.23,27.37,321.15,0.001023
5864,31.825,77.47,3712.76,33.64,340.93,-0.00021
7367,32.224,76.337,1571.15,15.29,265.93,-0.004836
6538,31.522,78.135,1912.22,47.75,19.93,-0.003371
6552,31.559,77.928,1617.98,41.91,270.6,0.003583
6337,31.777,76.983,970.13,18.79,248.21,0.011405
6247,31.016,77.099,1694.3,13.07,237.95,-0.015143
6851,32.561,76.124,926.38,35.71,343.2,0.003463
7185,32.293,77.18,2138.36,7.49,299.6,0.001555
14202,31.499,78.224,1839.79,42.97,229.85,0.006752
7249,31.085,77.167,1830.25,42.76,227.44,-0.004878
7215,32.247,78.037,3654.21,1.8,158.05,-0.000328
7226,32.224,76.323,1476.51,14.47,4.81,-0.00121
7285,31.126,77.353,2278.69,3.57,259.16,0.006486
7286,31.1,77.175,2116.96,25.35,272.91,0.016045
7287,32.561,76.121,869.45,29.36,215.48,0.006731
7288,31.956,77.114,1190.86,15.7,91.74,0.001852
7289,31.709,76.93,756.37,1.73,277.45,0.00287
7366,32.224,76.337,1571.15,15.29,265.93,-0.004836
7614,31.803,76.757,719.64,11.24,107.53,-0.003896
7628,31.692,76.51,848.56,23.92,358.95,-0.007507
7649,31.324,76.762,576.18,12.89,213.63,-0.010871
7678,32.197,76.319,1119.35,9.53,322.69,0.009923
7676,32.176,76.308,960.41,16.01,279.12,-0.004855
7685,31.776,76.988,988.63,12.61,254.8,-0.004533
7329,32.028,77.345,1737.39,37.94,11.51,0.010608
7726,31.037,77.121,1792.54,18.59,294.56,0.003751
9037,31.682,77.121,1069.9,35.33,89.54,0.003144
9144,31.466,76.869,821.73,36.47,253.44,0.003575
8860,31.512,78.118,1819.91,40.9,164.49,-0.006379
8482,30.892,77.09,1554.58,37.56,5.41,-0.000284
9048,31.501,78.176,1792.41,29.04,120.47,0.013138
9216,30.694,77.427,1666.7,24.69,273.62,0.009189
9264,31.687,77.104,1105.24,51.32,6.96,-0.000584
9852,31.708,76.933,762.89,6.46,299.2,0.009232
9859,31.581,78.413,2224.63,26.54,159.82,-0.007089
9892,31.452,78.401,5894.65,39.31,16.09,-0.013285
9490,31.573,77.856,1742.7,13.0,139.24,-0.011207
9953,31.957,77.11,1221.8,7.4,97.23,-0.006018
9507,30.897,77.059,1695.15,32.79,281.35,0.011892
10860,31.056,77.137,2103.09,31.77,301.67,-0.005945
10859,30.875,77.0,1163.21,22.63,314.26,0.013493
10857,32.007,78.57,3027.41,30.74,77.49,-0.00899
10856,31.773,77.305,1299.54,24.39,357.84,0.001102
10858,31.098,77.152,1976.52,29.43,306.71,7.9e-05
10855,31.764,77.292,1716.52,42.59,235.45,0.001444
10853,32.361,77.234,3766.87,25.9,58.35,-0.001259
10862,32.307,77.602,4114.91,33.88,13.15,0.001265
10854,32.342,77.222,3433.29,33.62,265.93,-0.004088
9707,30.942,76.801,433.7,4.8,259.51,0.001526
9840,31.724,76.937,766.81,17.12,241.47,0.007392
10025,32.764,77.283,4983.12,39.97,344.95,-0.003091
9870,30.866,76.998,1115.84,28.29,9.0,0.000849
9924,32.262,78.069,4320.08,3.04,152.44,-0.000834
9925,32.246,78.066,4114.41,29.88,301.45,0.004507
9927,32.238,78.062,3712.58,23.15,305.67,0.002835
9936,32.306,77.522,4794.98,37.31,25.1,-0.0118
14235,31.914,76.893,1541.95,39.15,338.29,0.006598
12943,31.498,76.875,893.12,30.66,279.13,0.007329
13253,31.102,77.205,2269.92,38.4,121.51,-0.001344
10861,31.103,77.204,2230.87,49.64,141.59,0.012095
13224,31.411,77.603,1287.1,38.06,355.45,0.005053
14164,31.12,77.359,2292.29,13.91,133.8,-0.007886
14113,32.557,76.129,1067.11,38.07,292.03,-0.008657
14179,32.171,76.419,1287.75,21.6,277.85,0.006983
14055,31.343,76.762,562.57,14.12,231.9,-0.005673
14146,31.425,78.26,2570.12,13.44,7.35,-0.003948
14117,32.025,76.167,511.27,25.31,113.89,0.007145
14071,31.055,77.024,1316.74,25.22,221.44,-0.000901
14505,32.061,77.133,1359.78,13.92,125.1,0.012748
14483,31.496,76.234,373.86,0.55,40.01,3.8e-05
14359,32.72,76.099,961.17,37.95,127.97,-0.004656
14326,31.113,77.614,2508.42,24.45,162.51,-0.00174
14325,31.108,77.215,2249.02,25.34,315.37,-0.010357
14392,32.442,76.535,2100.5,20.74,223.93,-0.006257
14386,31.103,77.159,2094.86,25.34,349.44,0.000655
14579,32.227,76.324,1583.17,32.88,17.39,0.0039
13820,32.22,76.311,1212.51,6.93,342.12,0.000952
14549,32.557,76.123,923.06,4.86,127.38,0.000217
14605,31.41,76.433,451.38,40.18,283.63,-0.022271
14282,31.706,76.934,748.78,25.78,104.88,0.002022
14516,31.467,76.263,368.16,0.72,306.93,-0.000768
14598,32.345,76.521,2162.9,29.97,136.59,-0.003199
14569,31.117,77.575,2198.27,25.94,159.43,0.000629
14489,31.111,77.606,2465.46,50.36,276.99,-0.011243
14125,31.689,77.279,1120.92,22.75,124.46,0.004751
14116,31.517,78.269,1933.03,20.94,232.5,0.012565
14079,30.896,77.005,1367.55,27.68,77.41,0.002082
14338,31.708,77.186,968.11,37.74,26.36,-0.002462
14295,32.234,77.189,1834.41,14.31,101.21,0.016204
211,24.967,93.55,586.14,24.99,322.5,-0.005981
220,25.133,93.967,1009.06,1.89,311.76,-0.000461
247,25.06,93.988,1545.43,41.1,189.19,-0.00455
252,25.499,94.119,1942.89,10.89,231.58,0.00199
255,24.245,94.069,1303.65,34.53,64.79,-0.008334
258,24.428,94.056,894.85,18.9,160.65,-0.004059
319,25.438,94.116,1513.83,17.39,343.52,-0.000299
322,24.75,93.433,466.91,39.77,2.29,-0.000928
580,24.66,93.978,772.5,5.47,309.17,0.012337
594,24.934,93.828,1011.5,18.37,101.31,-0.001078
1108,24.993,93.5,1206.7,20.39,119.15,-0.001623
1129,24.863,94.418,924.42,30.6,350.38,-0.00088
1596,24.734,93.916,879.91,19.65,56.44,-0.009439
1954,24.754,93.504,398.06,9.16,193.25,0.009826
2163,25.42,94.105,1420.43,15.6,16.39,-0.017669
2166,24.979,93.503,1313.43,18.83,248.61,0.001626
2164,25.31,94.482,1559.48,27.56,12.23,-0.002523
2182,24.936,93.844,850.16,1.76,51.97,0.002383
2253,25.31,94.483,1524.02,22.7,54.76,0.004283
2283,24.896,93.496,1004.79,23.55,113.54,-0.000485
2304,25.572,94.121,1616.64,2.4,131.44,0.005042
2324,24.803,93.623,1289.74,22.39,122.22,0.000278
2343,25.479,94.133,1754.14,10.8,204.64,-0.005508
2344,24.751,93.422,768.66,13.84,190.33,-0.000713
2436,24.307,93.125,759.3,25.98,178.86,-0.016644
2566,25.477,94.135,1668.75,20.51,75.78,0.005168
2568,24.768,93.411,522.96,14.05,168.02,-0.011214
2569,25.275,94.021,1084.89,12.12,146.61,-0.013821
2570,24.837,93.913,799.07,14.17,16.15,0.003025
2576,25.479,94.14,1647.07,10.97,3.84,-0.00368
2577,25.527,93.867,1348.91,21.87,210.88,0.006359
2578,25.318,94.046,997.19,17.0,271.62,0.00584
3525,25.067,93.409,447.69,20.53,336.09,0.000661
3556,25.156,93.847,1431.61,32.13,10.48,-0.006137
3560,24.829,93.594,763.36,33.84,2.17,-0.001891
3662,25.036,94.014,863.33,28.71,225.57,-0.001806
3738,24.806,93.948,782.71,1.28,88.03,-0.001419
3741,25.419,94.108,1392.19,14.25,158.29,-0.000641
3830,24.353,94.343,265.61,13.17,67.24,0.000187
3831,24.799,93.948,781.63,1.81,308.02,-0.001749
3840,24.687,93.916,771.67,0.11,238.83,-4.4e-05
3860,25.419,94.108,1392.19,14.25,158.29,-0.000641
4241,25.16,93.68,1112.1,15.78,244.03,-0.00238
4403,24.814,93.544,541.65,33.23,50.78,-0.010757
4861,24.993,93.495,1135.1,6.21,295.2,0.005292
5300,25.318,94.044,994.32,16.51,91.4,0.020341
5427,25.383,94.188,1664.65,37.57,283.81,-0.002295
5343,24.763,93.434,677.72,16.88,123.78,0.005948
5430,24.904,93.487,1265.49,39.6,311.93,-0.002814
5431,24.983,93.506,1283.45,33.58,151.76,0.01107
5552,25.099,94.362,1890.85,7.27,197.35,0.00175
5603,25.426,94.602,1326.98,20.5,213.43,0.006571
6945,25.16,93.686,1014.79,40.83,19.25,0.009344
7263,25.448,94.049,1312.29,26.64,256.21,0.002941
7264,25.454,93.983,1795.96,26.3,268.53,-0.006582
7265,25.501,93.985,1452.35,33.17,38.16,-0.003043
7266,25.51,93.879,1638.5,3.93,284.64,-0.00352
7267,25.391,94.093,1305.7,14.1,83.19,-0.001301
7279,24.982,93.514,1252.25,29.47,80.53,0.007101
7364,24.819,94.355,1608.86,28.38,289.06,-0.001349
7372,25.063,94.342,1803.95,30.18,276.82,-0.008766
7369,24.199,94.102,1404.67,26.83,230.0,0.002368
7370,24.142,94.108,1187.2,34.45,319.03,-0.004991
7371,23.994,94.057,989.16,7.63,159.15,-0.012634
7373,24.911,94.476,1824.67,26.45,120.27,-0.005318
7374,25.112,94.359,1838.03,19.66,283.11,-0.001358
7375,25.194,94.448,1726.25,14.89,228.1,0.003157
7383,23.899,94.143,262.19,20.67,39.7,0.005438
7384,23.928,94.091,926.95,12.87,111.4,0.000767
7385,24.004,93.982,1422.75,29.26,66.5,0.002624
7387,24.954,94.216,951.2,20.12,248.08,-0.001835
7388,24.416,94.098,1365.8,27.24,233.91,-0.003716
7389,24.407,94.064,1184.33,27.92,194.3,0.000707
7390,24.427,94.191,1298.96,12.73,250.79,-0.004923
7910,24.348,94.115,1024.64,21.97,187.19,-0.011288
7313,24.108,94.04,1238.52,15.24,45.84,-0.001013
7664,24.746,93.425,766.03,6.29,332.37,0.002961
7665,24.702,93.529,663.32,9.46,176.07,0.000745
7666,25.102,93.373,1144.32,8.19,331.25,-0.001076
8900,25.012,94.314,1393.35,16.15,165.67,-0.003693
9186,25.48,94.138,1707.56,18.79,61.05,0.005187
11150,24.796,93.724,999.6,32.3,128.99,-0.000233
11152,25.083,94.238,1655.87,15.88,39.02,-0.002487
12716,25.144,93.972,1052.66,28.82,253.26,-7.2e-05
9704,25.12,94.364,1855.81,14.7,90.34,0.000114
9875,24.324,93.15,594.18,32.14,201.82,0.004813
9877,24.22,93.203,775.91,30.2,132.54,0.002934
9876,24.304,93.182,832.5,37.4,319.39,0.000256
9931,25.067,93.931,983.27,4.28,32.26,0.002224
9948,24.952,94.203,916.62,6.49,186.72,0.001669
9974,25.498,94.129,1749.77,38.32,54.15,0.003403
11151,25.065,94.274,1122.42,23.55,1.24,0.008276
10968,24.272,93.28,1094.6,24.06,124.58,-0.002196
11149,24.828,93.518,497.79,32.45,292.8,-0.002126
11153,24.835,93.899,934.36,32.4,87.05,0.002145
10967,24.372,93.707,803.49,5.45,143.39,0.006766
12715,25.26,94.019,1085.24,21.66,218.44,0.000642
9701,24.939,93.497,1243.51,35.06,305.31,-0.001764
12712,24.981,94.019,809.45,29.88,172.29,0.004759
12713,25.534,94.133,1734.72,23.56,18.01,-0.00635
11332,24.864,93.622,356.2,30.69,320.35,0.007701
11459,24.988,93.499,1210.93,13.29,312.06,-0.006717
141,25.38,91.88,1302.74,27.69,76.45,0.000609
142,25.521,90.232,576.79,28.02,300.1,-0.00347
