event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d
796,2008-09-19,30.56,77.3,Himachal Pradesh,66.0,94.15,100.54,150.92,238.27
797,2008-09-19,31.1,77.165,Himachal Pradesh,114.48,164.66,168.24,211.99,253.72
798,2008-09-19,31.587,78.315,Himachal Pradesh,19.21,28.32,30.56,49.6,91.86
868,2008-10-29,26.333,91.25,Assam,0.03,26.54,52.6,52.6,115.12
869,2008-10-29,27.233,94.117,Assam,0.0,19.84,31.21,31.26,94.98
870,2008-10-29,27.4,92.35,Arunachal Pradesh,0.0,24.16,33.78,33.8,64.78
942,2008-12-21,30.895,77.089,Himachal Pradesh,0.0,1.2,1.3,2.17,2.17
1061,2009-07-01,27.478,88.527,Sikkim,17.12,24.76,41.67,50.88,68.66
1072,2009-08-08,29.589,80.21,Uttarakhand,1.67,24.25,26.85,137.38,279.4
1084,2009-08-12,27.7,92.8,Arunachal Pradesh,17.32,32.27,50.39,109.21,228.18
1097,2009-08-17,29.409,80.133,Uttarakhand,82.16,187.74,243.87,274.09,408.54
1102,2009-08-20,27.264,88.137,Sikkim,38.49,88.84,112.67,157.81,297.18
1108,2009-08-20,24.993,93.5,Manipur,5.16,18.51,97.15,144.53,239.58
1109,2009-08-20,25.522,93.165,Assam,12.55,40.34,100.43,166.12,285.98
1111,2009-08-20,27.134,88.458,Sikkim,47.06,120.65,200.19,274.7,501.12
1112,2009-08-20,27.176,88.529,Sikkim,47.06,120.65,200.19,274.7,501.12
1125,2009-08-26,27.375,88.765,Sikkim,5.78,16.5,52.29,143.9,255.57
1127,2009-08-27,25.172,93.123,Assam,4.12,19.43,59.39,184.11,295.64
1129,2009-08-30,24.863,94.418,Manipur,4.61,5.06,15.64,72.66,217.61
1130,2009-09-01,29.704,78.566,Uttarakhand,5.41,29.14,51.23,106.57,290.24
1134,2009-09-03,32.351,77.223,Himachal Pradesh,8.86,14.38,48.24,57.82,113.47
1149,2009-09-10,31.549,76.9,Himachal Pradesh,29.98,68.74,76.02,183.2,265.05
1153,2009-09-10,31.883,78.617,Himachal Pradesh,13.7,42.13,46.97,72.2,94.65
1154,2009-09-10,32.404,77.58,Himachal Pradesh,13.6,49.11,54.22,103.74,142.55
1157,2009-09-13,31.103,77.163,Himachal Pradesh,0.0,48.21,124.02,222.3,285.94
1168,2009-09-17,27.195,88.612,Sikkim,4.39,10.49,13.42,72.82,225.29
1222,2009-10-05,23.735,92.721,Mizoram,16.64,63.8,74.72,112.34,226.3
1521,2010-02-23,30.381,78.47,Uttarakhand,6.76,7.0,7.0,26.41,39.01
1596,2010-03-28,24.734,93.916,Manipur,1.84,14.11,16.18,18.21,31.89
1611,2010-04-01,25.155,93.028,Assam,40.47,104.47,158.73,163.85,176.46
1613,2010-04-03,27.9,93.35,Arunachal Pradesh,4.73,15.67,41.33,81.63,85.35
1755,2010-04-17,27.334,88.608,Sikkim,0.26,1.83,3.59,4.1,7.11
1756,2010-04-17,27.322,88.609,Sikkim,0.26,1.83,3.59,4.1,7.11
1770,2010-04-20,26.197,91.763,Assam,33.21,123.36,189.67,214.75,297.34
1771,2010-04-20,26.198,91.767,Assam,33.21,123.36,189.67,214.75,297.34
1775,2010-04-21,27.897,96.178,Arunachal Pradesh,46.75,98.64,118.19,208.44,415.19
1776,2010-04-21,25.361,92.285,Meghalaya,22.82,90.58,192.15,219.08,373.26
1857,2010-05-11,25.343,92.29,Meghalaya,12.85,28.61,56.39,112.71,418.07
1929,2010-06-01,27.354,88.643,Sikkim,3.59,11.0,23.83,88.92,120.9
1930,2010-05-31,28.43,95.878,Arunachal Pradesh,10.46,13.68,31.61,98.82,341.89
1934,2010-06-03,24.601,92.381,Assam,54.42,121.7,190.57,371.99,565.7
1935,2010-06-03,23.899,91.76,Tripura,40.65,82.29,196.52,398.53,497.9
1954,2010-06-07,24.754,93.504,Manipur,7.71,43.91,88.84,172.74,281.18
1961,2010-06-09,25.883,91.2,Assam,21.72,69.05,217.88,352.09,501.14
1962,2010-06-09,31.099,77.172,Himachal Pradesh,2.39,91.58,101.28,103.01,107.44
1986,2010-06-15,26.334,94.551,Nagaland,40.07,75.47,135.07,260.58,370.59
1987,2010-06-15,25.227,93.166,Assam,23.82,45.04,129.3,266.81,444.31
1994,2010-06-16,25.063,92.803,Assam,14.74,62.96,129.34,343.77,697.4
1996,2010-06-18,26.433,94.883,Nagaland,10.25,33.6,104.02,237.79,347.47
2025,2010-06-28,25.573,91.885,Meghalaya,49.93,121.2,150.53,253.89,653.89
2026,2010-06-28,25.492,91.27,Meghalaya,47.18,124.26,152.18,260.07,655.21
2040,2010-07-06,30.638,78.33,Uttarakhand,26.59,71.1,108.08,168.0,189.52
2041,2010-07-06,30.249,78.885,Uttarakhand,22.77,87.13,125.41,183.41,206.19
2042,2010-07-06,26.009,94.524,Nagaland,9.14,35.75,73.22,148.76,362.61
2043,2010-07-06,26.723,95.028,Nagaland,13.18,37.16,73.13,147.26,373.06
2044,2010-07-06,25.888,94.786,Nagaland,9.26,32.72,75.34,140.15,355.44
2045,2010-07-06,26.236,94.813,Nagaland,9.26,32.72,75.34,140.15,355.44
2046,2010-07-07,32.373,77.25,Himachal Pradesh,1.98,37.87,56.29,77.27,101.78
2047,2010-07-07,32.219,78.072,Himachal Pradesh,0.85,26.76,42.07,58.57,74.55
2048,2010-07-07,32.66,76.853,Himachal Pradesh,2.28,33.99,52.76,77.49,100.91
2049,2010-07-07,31.504,77.952,Himachal Pradesh,1.23,33.13,57.35,81.69,99.98
2050,2010-07-07,31.645,78.435,Himachal Pradesh,1.23,33.13,57.35,81.69,99.98
2051,2010-07-07,31.101,77.179,Himachal Pradesh,4.11,107.82,183.05,228.05,300.24
2056,2010-07-11,32.304,77.211,Himachal Pradesh,11.24,15.23,54.14,76.6,97.33
2091,2010-07-17,30.636,77.544,Himachal Pradesh,8.04,21.14,56.22,192.03,307.79
2098,2010-07-19,26.722,95.028,Nagaland,13.18,50.87,108.57,186.45,342.81
2103,2010-07-20,29.986,78.612,Uttarakhand,33.57,82.86,111.06,200.15,362.24
2104,2010-07-20,29.36,80.126,Uttarakhand,58.27,159.01,186.97,244.57,405.16
2105,2010-07-20,29.358,79.552,Uttarakhand,65.62,141.84,167.69,250.01,406.79
2106,2010-07-20,26.872,94.992,Nagaland,14.6,56.11,123.67,210.83,359.69
2112,2010-07-21,27.551,88.648,Sikkim,7.3,45.36,99.3,177.1,294.82
2113,2010-07-21,27.377,88.559,Sikkim,7.3,45.36,99.3,177.1,294.82
2120,2010-07-22,29.61,79.663,Uttarakhand,10.73,81.58,167.32,226.12,418.85
2135,2010-07-25,32.207,76.364,Himachal Pradesh,1.8,2.67,189.73,256.11,330.25
2136,2010-07-25,30.904,77.097,Himachal Pradesh,3.31,8.24,111.25,171.1,367.17
2137,2010-07-25,30.559,77.289,Himachal Pradesh,6.05,15.81,128.41,188.86,382.47
2138,2010-07-25,31.093,77.168,Himachal Pradesh,3.31,8.24,111.25,171.1,367.17
2139,2010-07-25,31.105,77.173,Himachal Pradesh,3.31,8.24,111.25,171.1,367.17
2140,2010-07-25,25.048,92.801,Assam,3.43,18.78,96.12,174.7,400.27
2161,2010-07-29,30.747,78.452,Uttarakhand,17.15,33.61,58.16,198.09,375.44
2162,2010-07-29,30.405,79.343,Uttarakhand,16.81,33.27,48.44,154.32,268.75
2163,2010-07-29,25.42,94.105,Manipur,17.06,32.41,58.35,121.52,246.28
2164,2010-07-30,25.31,94.482,Manipur,25.98,57.15,76.73,127.02,270.23
2166,2010-07-29,24.979,93.503,Manipur,19.68,36.42,58.59,132.19,262.53
2182,2010-07-31,24.936,93.844,Manipur,17.28,60.98,86.61,145.14,274.76
2183,2010-07-31,31.066,77.133,Himachal Pradesh,48.47,82.52,115.52,228.41,435.92
2198,2010-08-04,32.757,77.414,Himachal Pradesh,7.51,13.18,54.41,116.39,161.41
2202,2010-08-05,30.407,79.335,Uttarakhand,8.24,29.71,183.67,253.42,370.79
2205,2010-08-06,23.737,92.715,Mizoram,0.38,16.06,42.25,106.7,234.39
2215,2010-08-06,32.371,77.247,Himachal Pradesh,12.31,33.47,83.37,165.18,269.02
2227,2010-08-09,30.646,79.531,Uttarakhand,15.79,41.11,75.5,268.99,398.93
2228,2010-08-09,30.679,78.348,Uttarakhand,24.92,62.81,104.28,356.72,524.55
2229,2010-08-09,30.515,78.368,Uttarakhand,24.92,62.81,104.28,356.72,524.55
2234,2010-08-11,31.958,77.11,Himachal Pradesh,0.48,12.84,65.81,188.0,402.88
2241,2010-08-13,30.802,78.618,Uttarakhand,21.73,26.54,84.49,269.84,412.95
2242,2010-08-13,30.852,76.991,Himachal Pradesh,22.11,24.15,62.26,176.31,333.2
2243,2010-08-13,25.702,94.046,Nagaland,10.61,13.72,16.8,70.99,191.18
2246,2010-08-14,30.901,77.096,Himachal Pradesh,5.36,28.25,61.27,154.05,334.65
2247,2010-08-14,26.148,94.842,Nagaland,11.86,53.09,65.68,107.1,280.21
2248,2010-08-14,26.222,94.915,Nagaland,11.86,53.09,65.68,107.1,280.21
2249,2010-08-14,26.081,94.803,Nagaland,11.86,53.09,65.68,107.1,280.21
2253,2010-08-16,25.31,94.483,Manipur,6.85,23.17,39.13,57.65,189.45
2257,2010-08-16,30.728,79.497,Uttarakhand,3.6,12.12,49.38,126.37,415.3
2263,2010-08-17,26.275,94.665,Nagaland,17.35,49.71,103.86,133.22,284.05
2268,2010-08-18,30.013,79.926,Uttarakhand,34.17,38.52,59.11,129.18,370.47
2281,2010-08-19,25.616,94.116,Nagaland,10.84,27.29,62.5,70.59,191.49
2282,2010-08-19,26.198,94.816,Nagaland,13.74,29.82,94.99,131.29,276.17
2283,2010-08-19,24.896,93.496,Manipur,8.39,19.28,50.65,57.64,195.66
2290,2010-08-20,30.651,79.026,Uttarakhand,9.65,93.78,116.73,238.53,592.43
2291,2010-08-20,30.966,78.415,Uttarakhand,5.92,60.66,74.91,160.05,398.07
2292,2010-08-20,30.818,78.619,Uttarakhand,6.11,63.47,78.99,169.12,418.28
2293,2010-08-20,30.722,78.644,Uttarakhand,9.65,93.78,116.73,238.53,592.43
2294,2010-08-20,30.385,78.837,Uttarakhand,9.65,93.78,116.73,238.53,592.43
2296,2010-08-20,27.167,88.365,Sikkim,5.94,55.21,177.09,215.22,330.36
2304,2010-08-21,25.572,94.121,Manipur,5.7,25.64,59.56,84.9,196.8
2305,2010-08-21,31.53,77.776,Himachal Pradesh,27.35,51.41,108.39,191.63,398.92
2309,2010-08-22,30.424,79.672,Uttarakhand,11.6,55.96,116.68,199.84,438.65
2324,2010-08-25,24.803,93.623,Manipur,2.82,11.14,33.27,78.75,185.64
2339,2010-08-26,30.365,78.064,Uttarakhand,25.84,104.23,200.19,328.48,692.02
2340,2010-08-26,32.703,75.957,Himachal Pradesh,6.34,39.66,79.73,150.68,325.99
2341,2010-08-27,27.232,88.497,Sikkim,28.79,74.96,157.43,337.84,440.41
2343,2010-08-27,25.479,94.133,Manipur,14.5,22.07,36.87,108.47,186.68
2344,2010-08-27,24.751,93.422,Manipur,8.73,15.13,35.38,107.93,221.57
2345,2010-08-27,27.339,88.619,Sikkim,11.94,39.91,93.81,199.19,282.22
2378,2010-09-03,30.135,78.39,Uttarakhand,22.13,90.44,149.93,366.19,620.13
2379,2010-09-03,30.285,78.983,Uttarakhand,20.33,86.83,149.99,362.5,608.54
2380,2010-09-03,30.401,79.028,Uttarakhand,20.33,86.83,149.99,362.5,608.54
2389,2010-09-04,30.5,79.389,Uttarakhand,16.2,53.24,116.35,268.2,428.31
2390,2010-09-04,30.796,78.623,Uttarakhand,11.7,44.92,108.09,260.76,429.88
2391,2010-09-04,30.899,78.34,Uttarakhand,12.86,43.03,103.13,249.49,409.54
2392,2010-09-04,27.37,88.733,Sikkim,2.0,17.97,46.09,144.4,283.13
2397,2010-09-06,32.099,77.15,Himachal Pradesh,2.78,12.99,45.38,118.19,278.56
2405,2010-09-10,28.304,95.411,Arunachal Pradesh,47.91,135.67,230.46,316.54,569.0
2411,2010-09-10,27.001,93.727,Arunachal Pradesh,15.17,73.01,134.58,273.57,530.59
2415,2010-09-12,25.64,94.111,Nagaland,4.38,6.8,35.08,78.13,181.17
2416,2010-09-12,30.733,78.44,Uttarakhand,13.81,44.47,118.09,303.87,642.93
2420,2010-09-13,23.73,92.715,Mizoram,9.93,17.18,36.45,70.49,218.07
2421,2010-09-13,23.754,92.741,Mizoram,11.41,19.1,46.34,102.33,235.41
2422,2010-09-13,23.742,92.714,Mizoram,9.93,17.18,36.45,70.49,218.07
2423,2010-09-13,23.735,92.711,Mizoram,9.93,17.18,36.45,70.49,218.07
2424,2010-09-13,23.591,92.93,Mizoram,5.92,10.64,23.16,48.17,130.81
2425,2010-09-13,23.344,93.075,Mizoram,5.92,10.64,23.16,48.17,130.81
2426,2010-09-13,22.718,92.842,Mizoram,5.13,13.96,29.88,51.74,201.06
2427,2010-09-14,32.311,77.22,Himachal Pradesh,3.09,34.59,48.2,99.9,218.95
2432,2010-09-15,31.414,77.895,Himachal Pradesh,0.99,11.34,37.1,117.9,256.97
2436,2010-09-16,24.307,93.125,Manipur,11.4,30.38,48.75,117.86,205.38
2437,2010-09-16,23.753,92.694,Mizoram,7.76,34.33,58.77,126.66,250.29
2440,2010-09-17,30.754,79.5,Uttarakhand,10.58,29.47,53.98,108.45,244.83
2443,2010-09-18,29.604,79.534,Uttarakhand,53.49,131.47,184.77,322.21,700.53
2444,2010-09-18,29.296,79.54,Uttarakhand,53.49,131.47,184.77,322.21,700.53
2445,2010-09-18,30.145,78.601,Uttarakhand,42.57,119.47,170.99,333.67,714.41
2453,2010-09-19,29.613,79.494,Uttarakhand,68.23,167.47,233.79,360.91,739.89
2454,2010-09-19,30.901,79.532,Uttarakhand,29.35,64.94,93.64,145.48,286.26
2455,2010-09-19,30.104,78.427,Uttarakhand,91.15,167.71,244.04,381.44,762.46
2456,2010-09-19,30.799,79.436,Uttarakhand,29.35,64.94,93.64,145.48,286.26
2457,2010-09-19,31.563,77.98,Himachal Pradesh,30.5,65.25,91.89,155.47,297.96
2458,2010-09-19,30.902,78.776,Uttarakhand,56.47,116.35,168.45,276.01,536.77
2459,2010-09-19,29.548,79.321,Uttarakhand,68.23,167.47,233.79,360.91,739.89
2460,2010-09-19,31.984,77.189,Himachal Pradesh,40.4,61.45,86.62,190.35,356.89
2461,2010-09-19,31.458,78.211,Himachal Pradesh,30.5,65.25,91.89,155.47,297.96
2462,2010-09-19,30.909,77.11,Himachal Pradesh,35.98,56.2,82.43,230.46,393.68
2463,2010-09-19,31.119,77.509,Himachal Pradesh,61.51,118.73,171.84,316.03,594.7
2464,2010-09-19,30.954,77.506,Himachal Pradesh,61.51,118.73,171.84,316.03,594.7
2465,2010-09-19,31.416,77.415,Himachal Pradesh,51.49,87.75,124.75,249.81,463.35
2466,2010-09-19,30.874,76.958,Himachal Pradesh,35.98,56.2,82.43,230.46,393.68
2467,2010-09-19,30.72,77.17,Himachal Pradesh,35.55,58.52,89.49,233.55,402.17
2468,2010-09-19,30.904,77.097,Himachal Pradesh,35.98,56.2,82.43,230.46,393.68
2469,2010-09-19,30.901,77.467,Himachal Pradesh,61.51,118.73,171.84,316.03,594.7
2470,2010-09-19,30.433,78.077,Uttarakhand,81.28,157.38,230.76,366.06,724.34
2471,2010-09-19,29.791,80.058,Uttarakhand,35.55,111.4,157.96,244.21,488.74
2475,2010-09-20,31.158,77.716,Himachal Pradesh,0.55,95.19,160.69,297.25,557.66
2476,2010-09-20,29.338,79.484,Uttarakhand,8.65,130.37,227.29,347.31,707.34
2477,2010-09-21,31.184,76.991,Himachal Pradesh,9.55,46.42,81.7,226.94,373.42
2478,2010-09-20,30.733,78.44,Uttarakhand,1.71,136.33,228.82,361.89,716.27
2479,2010-09-20,31.57,78.284,Himachal Pradesh,0.39,52.08,87.36,145.27,280.34
2480,2010-09-20,31.944,77.118,Himachal Pradesh,1.53,29.71,48.36,165.56,292.61
2488,2010-09-22,31.022,77.104,Himachal Pradesh,40.59,51.03,121.26,247.14,404.3
2538,2010-10-03,30.914,76.818,Himachal Pradesh,0.0,1.71,1.71,113.26,319.97
2539,2010-10-03,28.309,95.415,Arunachal Pradesh,2.35,13.64,31.43,119.95,426.52
2546,2010-10-04,30.955,77.179,Himachal Pradesh,0.0,1.47,1.71,77.28,307.74
2566,2010-10-08,25.477,94.135,Manipur,52.1,92.98,96.35,132.66,238.6
2567,2010-10-08,25.663,94.47,Nagaland,52.1,92.98,96.35,132.66,238.6
2568,2010-10-08,24.768,93.411,Manipur,86.18,138.2,141.73,190.96,313.55
2569,2010-10-08,25.275,94.021,Manipur,53.95,91.32,93.44,131.35,235.71
2570,2010-10-08,24.837,93.913,Manipur,76.95,132.5,135.86,168.78,272.23
2573,2010-10-09,25.18,93.008,Assam,31.14,154.03,172.87,204.95,338.59
2574,2010-10-09,25.475,93.148,Assam,26.53,110.95,121.17,153.27,276.74
2575,2010-10-09,25.524,92.991,Assam,26.53,110.95,121.17,153.27,276.74
2576,2010-10-09,25.479,94.14,Manipur,23.12,99.99,119.47,149.35,256.38
2577,2010-10-09,25.527,93.867,Manipur,26.82,107.81,120.26,149.78,258.3
2578,2010-10-09,25.318,94.046,Manipur,26.82,107.81,120.26,149.78,258.3
2579,2010-10-09,25.682,94.108,Nagaland,23.12,99.99,119.47,149.35,256.38
2587,2010-10-10,25.662,94.107,Nagaland,0.87,76.09,120.34,143.49,255.27
2596,2010-10-15,31.437,78.236,Himachal Pradesh,0.0,0.0,0.0,2.02,99.47
2743,2010-11-22,27.58,91.857,Arunachal Pradesh,0.0,1.5,2.56,2.56,3.26
3141,2011-02-23,30.475,79.229,Uttarakhand,0.0,0.06,0.72,22.51,31.47
3146,2011-02-25,32.187,77.177,Himachal Pradesh,1.73,2.07,2.33,26.96,37.92
3174,2011-03-05,32.1,77.159,Himachal Pradesh,0.0,2.65,5.7,12.55,48.09
3269,2011-03-22,28.079,96.524,Arunachal Pradesh,7.48,55.41,102.32,122.78,130.32
3525,2011-05-22,25.067,93.409,Manipur,12.35,93.39,115.49,140.3,240.83
3532,2011-05-24,25.089,92.855,Assam,15.2,50.01,141.96,173.93,276.17
3556,2011-05-31,25.156,93.847,Manipur,15.72,45.38,50.95,198.72,265.15
3558,2011-05-31,30.921,78.328,Uttarakhand,9.92,26.67,58.15,63.75,75.41
3559,2011-05-31,30.478,78.274,Uttarakhand,10.01,30.78,68.93,76.15,90.05
3560,2011-05-31,24.829,93.594,Manipur,15.72,45.38,50.95,198.72,265.15
3577,2011-06-07,30.532,79.354,Uttarakhand,1.77,14.76,28.51,86.23,95.68
3578,2011-06-07,30.241,78.908,Uttarakhand,2.17,16.47,42.51,103.91,116.64
3611,2011-06-14,32.361,77.231,Himachal Pradesh,4.71,4.72,25.89,56.02,77.07
3618,2011-06-17,31.564,77.98,Himachal Pradesh,4.78,5.08,14.58,44.32,101.78
3619,2011-06-18,27.489,88.445,Sikkim,7.43,17.5,27.47,40.74,89.27
3633,2011-06-20,26.319,94.512,Nagaland,3.79,13.89,32.67,73.33,285.78
3637,2011-06-21,25.516,94.234,Nagaland,8.32,18.31,51.05,102.18,212.23
3643,2011-06-24,27.288,88.258,Sikkim,27.62,58.98,75.32,96.82,133.36
3662,2011-06-28,25.036,94.014,Manipur,12.9,73.66,106.5,169.55,275.16
3663,2011-06-28,25.668,94.11,Nagaland,10.59,57.37,84.92,139.41,248.85
3666,2011-06-29,32.432,77.215,Himachal Pradesh,5.91,18.59,55.28,71.44,127.46
3667,2011-06-29,32.228,77.19,Himachal Pradesh,7.89,23.08,87.81,112.54,193.25
3668,2011-06-29,29.607,79.93,Uttarakhand,62.16,102.51,136.61,153.96,222.01
3669,2011-06-29,30.767,78.796,Uttarakhand,13.13,22.12,92.85,126.36,214.57
3670,2011-06-29,30.676,79.042,Uttarakhand,20.91,31.69,122.73,171.75,274.2
3671,2011-06-29,30.815,78.224,Uttarakhand,12.67,20.58,85.78,118.69,200.19
3672,2011-06-29,25.513,93.361,Assam,20.83,75.23,123.36,179.46,266.14
3673,2011-06-29,30.242,78.9,Uttarakhand,19.47,27.06,113.47,160.99,259.69
3674,2011-06-29,30.067,79.019,Uttarakhand,19.47,27.06,113.47,160.99,259.69
3678,2011-06-30,30.15,78.775,Uttarakhand,46.98,71.26,146.92,202.65,301.3
3683,2011-07-01,25.878,94.174,Nagaland,19.89,41.75,91.78,151.44,246.03
3737,2011-07-06,30.321,78.032,Uttarakhand,33.56,71.18,103.01,217.12,313.45
3738,2011-07-06,24.806,93.948,Manipur,2.82,30.15,52.12,176.84,295.2
3741,2011-07-07,25.419,94.108,Manipur,2.6,11.26,55.45,155.03,247.4
3745,2011-07-08,30.921,77.021,Himachal Pradesh,5.59,27.12,40.05,166.61,229.33
3746,2011-07-08,30.651,79.519,Uttarakhand,1.5,29.85,55.09,173.07,253.51
3747,2011-07-08,32.324,77.194,Himachal Pradesh,1.96,15.71,26.09,83.58,128.05
3749,2011-07-09,30.741,79.493,Uttarakhand,6.04,11.87,60.94,162.45,243.41
3750,2011-07-09,30.765,78.593,Uttarakhand,8.67,16.28,68.05,146.74,239.21
3751,2011-07-09,30.733,79.069,Uttarakhand,6.04,11.87,60.94,162.45,243.41
3752,2011-07-09,31.019,78.413,Uttarakhand,7.4,13.85,64.38,136.06,223.42
3756,2011-07-10,31.71,76.933,Himachal Pradesh,14.11,34.86,66.52,126.02,249.39
3757,2011-07-10,30.733,78.44,Uttarakhand,18.9,30.58,111.59,211.4,337.56
3759,2011-07-11,30.506,79.113,Uttarakhand,4.67,27.47,82.35,156.16,253.08
3760,2011-07-11,25.67,94.11,Nagaland,0.1,1.79,14.8,114.69,230.9
3763,2011-07-12,31.106,77.178,Himachal Pradesh,0.18,13.58,58.16,93.53,241.7
3776,2011-07-15,27.125,93.715,Arunachal Pradesh,22.61,108.87,132.86,269.57,416.47
3777,2011-07-15,32.349,77.218,Himachal Pradesh,21.89,37.6,49.46,78.36,152.46
3789,2011-07-16,27.274,92.906,Arunachal Pradesh,2.2,79.4,131.24,223.79,399.8
3806,2011-07-19,27.103,93.688,Arunachal Pradesh,58.61,136.8,253.15,298.1,532.64
3813,2011-07-20,27.114,88.466,Sikkim,13.06,61.35,107.98,206.34,493.9
3819,2011-07-21,30.404,79.332,Uttarakhand,3.31,49.89,109.6,161.66,339.31
3820,2011-07-21,30.167,78.112,Uttarakhand,5.37,70.18,162.89,230.74,459.71
3821,2011-07-21,29.733,79.637,Uttarakhand,8.12,46.77,147.49,248.26,553.83
3830,2011-07-22,24.353,94.343,Manipur,5.5,39.36,128.4,198.77,348.17
3831,2011-07-22,24.799,93.948,Manipur,6.93,43.74,140.61,216.52,390.13
3837,2011-07-24,26.584,93.004,Assam,2.3,44.38,122.91,203.52,386.35
3839,2011-07-25,32.19,77.187,Himachal Pradesh,2.78,24.24,47.52,143.12,260.25
3840,2011-07-25,24.687,93.916,Manipur,2.86,6.69,86.47,208.01,357.0
3859,2011-07-29,30.012,78.197,Uttarakhand,8.04,86.88,122.43,291.87,481.74
