sample_id,latitude,longitude,rain_1h,rain_6h,rain_24h,rain_3d,rain_7d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,landslide,split
APDA-ROADMAP-POS-0362,25.30159,91.71139,16.65,36.53,67.75,207.88,301.77,0.32,0.157,1330.8,37.71,156.0,1,train
APDA-ROADMAP-NEG-0474,27.76007,92.10169,0.2,1.65,15.92,35.25,53.78,0.172,-0.007,430.8,7.04,48.5,0,train
APDA-ROADMAP-POS-0679,25.6726,94.1113,11.15,45.15,168.21,253.43,412.01,0.468,0.178,1209.6,32.98,312.4,1,train
APDA-ROADMAP-NEG-0622,24.94803,91.5375,0.27,7.88,17.45,17.53,46.69,0.215,-0.017,348.9,0.35,206.1,0,train
APDA-ROADMAP-NEG-0090,25.86023,93.59639,0.05,3.19,12.39,30.23,58.79,0.19,-0.127,560.7,1.37,247.9,0,train
APDA-ROADMAP-NEG-0988,25.09795,92.6457,0.23,7.36,10.93,33.96,41.56,0.277,-0.082,554.8,1.75,134.4,0,train
APDA-ROADMAP-NEG-0848,25.00959,92.99867,0.32,5.45,19.77,24.08,36.59,0.28,0.002,433.9,3.67,182.1,0,train
APDA-ROADMAP-POS-0988,24.83195,92.79934,9.45,33.42,144.73,303.38,538.73,0.379,0.192,736.5,30.35,180.0,1,train
APDA-ROADMAP-NEG-0513,27.59561,88.20388,0.35,6.63,19.72,32.26,42.5,0.118,-0.111,778.0,4.31,211.2,0,train
APDA-ROADMAP-POS-0112,27.33131,88.61909,14.19,65.65,140.99,255.25,419.89,0.456,0.112,1398.9,40.5,150.9,1,train
APDA-ROADMAP-NEG-0488,24.49722,92.54245,1.3,4.92,8.81,16.92,24.07,0.257,-0.04,89.8,4.57,62.1,0,train
APDA-ROADMAP-NEG-0454,27.83285,92.87523,0.1,4.5,18.25,18.34,49.0,0.25,-0.085,614.6,0.84,173.9,0,train
APDA-ROADMAP-POS-0384,25.44418,92.19582,9.19,44.65,172.03,219.57,259.84,0.334,0.269,1275.8,22.63,214.3,1,train
APDA-ROADMAP-NEG-0396,26.72314,93.35068,0.36,8.19,23.1,42.94,46.57,0.104,-0.008,812.6,1.94,260.6,0,train
APDA-ROADMAP-NEG-0055,27.97894,91.57108,0.23,6.57,19.56,40.46,42.27,0.092,-0.064,727.3,3.55,191.2,0,train
APDA-ROADMAP-POS-0756,27.09762,93.61056,23.45,49.07,96.99,224.97,357.36,0.404,0.186,1571.8,31.95,3.8,1,train
APDA-ROADMAP-POS-0325,25.60376,90.58384,21.72,71.69,205.95,286.96,424.76,0.375,0.144,1266.6,52.0,192.9,1,train
APDA-ROADMAP-NEG-0624,24.95902,91.73321,0.99,1.07,8.93,25.9,52.28,0.28,-0.052,650.5,6.13,138.4,0,train
APDA-ROADMAP-POS-0788,24.83409,92.80245,16.47,44.23,148.12,314.86,457.98,0.496,0.207,595.2,34.91,174.2,1,train
APDA-ROADMAP-POS-0369,26.17129,91.75664,21.21,40.63,187.87,229.94,395.28,0.32,0.157,1075.1,35.45,197.8,1,train
APDA-ROADMAP-NEG-0820,27.37647,87.89981,0.32,4.51,17.06,29.85,50.39,0.152,-0.015,247.2,10.31,94.2,0,train
APDA-ROADMAP-POS-0070,26.01323,93.42335,14.81,73.85,163.68,272.8,516.68,0.469,0.209,964.9,38.91,172.4,1,train
APDA-ROADMAP-POS-0858,23.73226,92.72123,15.5,40.66,164.37,299.55,501.92,0.412,0.155,487.0,27.88,215.8,1,train
APDA-ROADMAP-NEG-0484,25.77173,91.92669,2.65,4.62,16.94,38.47,61.79,0.228,-0.015,357.1,2.33,124.3,0,train
APDA-ROADMAP-NEG-0556,26.86241,93.44096,0.77,1.01,9.22,16.82,36.81,0.184,-0.078,287.4,9.12,259.4,0,train
APDA-ROADMAP-NEG-0692,27.57476,88.82454,0.85,8.82,15.66,31.36,66.21,0.234,-0.028,464.2,6.08,113.6,0,train
APDA-ROADMAP-NEG-0475,27.12928,91.63238,1.06,4.35,5.02,21.56,26.08,0.128,-0.074,521.1,1.57,267.4,0,train
APDA-ROADMAP-NEG-0799,25.843,93.8239,0.46,3.59,18.44,19.57,21.46,0.08,-0.062,416.8,2.01,69.0,0,train
APDA-ROADMAP-POS-0479,25.67125,94.11198,9.44,48.63,118.85,268.74,443.05,0.397,0.241,1033.8,45.58,193.1,1,train
APDA-ROADMAP-POS-0282,25.30229,91.7127,16.62,53.12,188.06,298.07,349.7,0.435,0.224,861.4,24.77,231.7,1,train
APDA-ROADMAP-NEG-0648,25.22837,93.09568,1.54,2.45,10.97,11.43,22.82,0.176,-0.007,420.6,1.38,169.0,0,train
APDA-ROADMAP-NEG-0557,24.489,93.5064,1.19,9.14,12.76,31.31,46.44,0.211,-0.012,609.1,2.59,293.0,0,train
APDA-ROADMAP-NEG-0730,26.50464,93.22628,0.47,7.12,16.63,35.85,61.43,0.178,-0.015,824.7,0.35,310.4,0,train
APDA-ROADMAP-POS-0211,27.68724,88.58173,17.69,63.54,98.34,249.64,349.07,0.469,0.173,1343.7,39.61,202.1,1,train
APDA-ROADMAP-POS-0298,23.7287,92.71978,11.35,61.69,92.43,262.97,438.63,0.32,0.256,815.6,38.62,236.0,1,train
APDA-ROADMAP-NEG-0885,26.09606,90.98995,0.17,6.83,9.22,33.75,51.82,0.186,-0.078,116.3,4.19,229.5,0,train
APDA-ROADMAP-NEG-0834,27.73655,92.02645,0.02,4.26,12.33,18.84,46.11,0.233,-0.031,114.4,4.01,348.5,0,train
APDA-ROADMAP-POS-0652,27.3313,88.61395,5.05,62.77,130.5,226.2,471.52,0.361,0.195,1431.1,31.14,144.9,1,train
APDA-ROADMAP-NEG-0234,27.56673,92.69683,0.61,3.5,16.54,27.27,41.88,0.268,-0.064,315.2,4.04,193.4,0,train
APDA-ROADMAP-NEG-0503,25.90593,92.30147,0.2,5.41,15.61,40.05,57.31,0.267,0.012,777.2,3.88,113.1,0,train
APDA-ROADMAP-NEG-0932,27.72154,88.76993,0.24,6.22,21.2,29.86,50.97,0.272,-0.094,260.3,9.85,80.7,0,train
APDA-ROADMAP-POS-0917,24.79108,93.6857,6.05,60.48,188.39,242.94,394.59,0.415,0.166,589.0,36.21,155.8,1,train
APDA-ROADMAP-POS-0994,27.35879,92.41787,6.04,29.22,102.02,277.26,354.06,0.465,0.174,1615.2,39.08,165.9,1,train
APDA-ROADMAP-POS-0430,26.01337,93.42468,3.47,30.57,68.95,192.93,255.42,0.38,0.225,769.7,44.43,258.8,1,train
APDA-ROADMAP-NEG-0371,27.86127,88.8293,0.36,6.85,15.36,21.18,39.95,0.28,0.001,163.3,1.65,229.3,0,train
APDA-ROADMAP-POS-0240,27.03249,88.26063,12.69,61.2,105.38,211.92,375.56,0.369,0.171,1747.2,24.21,214.2,1,train
APDA-ROADMAP-POS-0880,27.03734,88.26571,14.86,64.37,145.21,256.23,336.46,0.441,0.201,1492.7,39.5,152.5,1,train
APDA-ROADMAP-POS-0621,25.53737,91.87189,5.07,58.76,106.69,194.39,379.72,0.32,0.197,1366.2,36.35,209.2,1,train
APDA-ROADMAP-POS-0257,24.78123,93.68393,2.0,20.49,155.45,327.62,377.4,0.389,0.232,439.9,37.57,168.1,1,train
APDA-ROADMAP-POS-0612,27.33069,88.61442,10.75,37.69,90.32,231.05,323.55,0.37,0.172,1932.7,35.56,12.7,1,train
APDA-ROADMAP-POS-0545,25.60041,90.58822,9.37,65.01,122.53,272.62,432.96,0.344,0.175,1189.0,35.29,169.1,1,train
APDA-ROADMAP-POS-0772,27.32829,88.61719,27.91,68.98,158.97,214.08,325.48,0.394,0.249,1861.0,31.46,186.1,1,train
APDA-ROADMAP-NEG-0420,27.19948,88.65066,0.79,7.67,10.8,10.86,15.43,0.28,0.007,446.5,0.37,247.9,0,train
APDA-ROADMAP-NEG-0042,25.77601,91.53318,0.28,7.73,16.79,35.56,48.38,0.28,-0.03,777.8,2.72,68.1,0,train
APDA-ROADMAP-NEG-0790,26.49572,93.1309,0.03,1.29,6.9,22.51,28.3,0.248,-0.04,134.0,0.83,201.0,0,train
APDA-ROADMAP-POS-0760,27.03663,88.25591,18.35,72.14,156.44,312.81,446.55,0.32,0.197,1588.0,46.6,205.2,1,train
APDA-ROADMAP-POS-0383,25.75364,91.90828,11.0,28.45,59.07,107.16,174.03,0.429,0.297,986.2,40.56,167.4,1,train
APDA-ROADMAP-NEG-0104,25.2784,92.5624,0.76,8.72,16.53,18.83,23.52,0.28,-0.08,555.7,1.24,227.3,0,train
APDA-ROADMAP-POS-0974,27.34651,92.41673,4.62,45.86,108.8,225.84,456.53,0.348,0.186,1608.7,35.76,233.3,1,train
APDA-ROADMAP-POS-0353,27.18439,88.35912,16.3,57.17,146.56,314.09,530.06,0.42,0.242,1295.7,38.99,199.9,1,train
APDA-ROADMAP-NEG-0606,25.38648,93.47975,1.03,8.22,8.79,18.17,50.92,0.144,-0.02,574.6,2.13,92.4,0,train
APDA-ROADMAP-NEG-0826,24.74205,92.80613,2.26,6.88,19.23,20.99,54.71,0.192,-0.0,178.3,5.81,66.0,0,train
APDA-ROADMAP-NEG-0037,24.45385,93.51346,0.28,1.27,5.79,16.9,47.13,0.114,0.019,486.9,0.9,150.9,0,train
APDA-ROADMAP-NEG-0108,24.53062,93.1385,1.01,7.51,15.43,36.6,60.08,0.203,0.042,119.3,4.75,73.6,0,train
APDA-ROADMAP-POS-0495,27.58275,91.86421,14.53,53.11,174.42,330.2,375.07,0.32,0.175,1652.6,38.66,357.4,1,train
APDA-ROADMAP-POS-0394,27.35341,92.41362,3.24,36.37,97.64,183.13,257.35,0.387,0.254,1466.4,30.83,165.9,1,train
APDA-ROADMAP-NEG-0547,25.33235,92.77842,0.76,6.35,15.48,39.8,47.81,0.08,-0.062,774.5,0.5,6.0,0,train
APDA-ROADMAP-POS-0465,25.59846,90.58297,19.89,71.37,103.68,168.07,381.73,0.453,0.216,1200.0,38.63,83.4,1,train
APDA-ROADMAP-POS-0887,25.07094,93.15632,5.02,21.3,67.87,191.28,398.88,0.434,0.087,1249.3,32.67,332.2,1,train
APDA-ROADMAP-NEG-0194,27.56752,92.13703,1.43,2.8,7.45,26.66,32.39,0.159,-0.062,276.4,7.14,259.5,0,train
APDA-ROADMAP-POS-0367,25.07626,93.15822,21.31,68.79,165.59,238.37,409.2,0.444,0.168,1191.3,36.86,221.8,1,train
APDA-ROADMAP-NEG-0894,26.97957,92.2198,0.03,6.72,8.98,22.32,49.5,0.133,-0.053,730.9,4.98,245.1,0,train
APDA-ROADMAP-NEG-0874,27.00807,92.89542,0.01,6.45,6.78,13.88,26.33,0.122,-0.028,357.0,1.15,298.4,0,train
APDA-ROADMAP-POS-0745,25.59885,90.58625,7.48,45.99,191.89,298.01,502.59,0.408,0.189,966.4,43.97,168.1,1,train
APDA-ROADMAP-POS-0530,26.00932,93.41982,4.31,64.12,204.97,366.88,465.44,0.341,0.284,1248.9,36.9,166.4,1,train
APDA-ROADMAP-POS-0803,25.75579,91.90116,3.09,47.39,149.19,204.45,336.06,0.412,0.225,1160.3,43.36,154.5,1,train
APDA-ROADMAP-NEG-0224,25.6391,92.63897,0.64,8.12,13.4,33.15,39.96,0.167,-0.0,661.2,2.04,179.5,0,train
APDA-ROADMAP-NEG-0979,25.50386,93.82278,0.19,4.27,9.16,25.44,57.24,0.232,-0.091,535.0,2.49,298.3,0,train
APDA-ROADMAP-NEG-0906,25.60199,93.44547,0.94,4.22,12.08,15.59,29.46,0.145,-0.065,757.3,6.37,114.7,0,train
APDA-ROADMAP-NEG-0700,26.74184,88.62282,1.26,5.74,20.23,41.9,62.71,0.276,-0.08,800.3,2.76,33.1,0,train
APDA-ROADMAP-NEG-0545,25.95686,90.15596,0.07,0.27,0.77,20.71,44.33,0.121,-0.041,243.3,3.93,127.8,0,train
APDA-ROADMAP-NEG-0314,27.612,92.06656,0.02,0.34,9.11,19.14,32.82,0.082,-0.04,177.8,5.58,181.5,0,train
APDA-ROADMAP-POS-0307,25.07188,93.15019,26.76,67.35,132.7,241.24,410.12,0.402,0.127,1094.9,43.92,178.5,1,train
APDA-ROADMAP-NEG-0667,25.25401,93.4568,0.93,3.83,9.9,29.24,45.17,0.168,-0.087,765.4,9.22,137.2,0,train
APDA-ROADMAP-POS-0863,25.75334,91.89861,6.35,45.3,158.65,270.63,385.29,0.32,0.156,925.1,41.53,193.7,1,train
APDA-ROADMAP-NEG-0567,24.60566,92.89991,1.61,8.65,15.71,25.34,30.16,0.176,-0.007,251.8,1.76,137.6,0,train
APDA-ROADMAP-POS-0531,27.69575,88.58793,13.53,28.78,161.61,322.45,382.47,0.458,0.213,1700.7,32.75,10.0,1,train
APDA-ROADMAP-POS-0655,27.58513,91.86561,6.57,32.37,91.88,157.77,330.38,0.425,0.221,1627.0,35.03,129.3,1,train
APDA-ROADMAP-NEG-0260,27.48716,88.07034,0.0,3.83,5.76,27.25,30.67,0.28,-0.031,617.7,2.07,127.1,0,train
APDA-ROADMAP-POS-0234,27.35081,92.42236,22.01,38.38,124.2,298.07,396.66,0.323,0.129,1656.4,30.05,155.0,1,train
APDA-ROADMAP-POS-0121,25.54101,91.86687,12.89,39.74,181.3,237.42,395.83,0.454,0.162,1148.6,30.31,154.2,1,train
APDA-ROADMAP-NEG-0698,24.21411,92.35451,0.26,7.56,11.08,28.91,31.11,0.28,-0.09,752.9,0.1,166.8,0,train
APDA-ROADMAP-POS-0950,26.0118,93.42722,9.22,47.01,84.17,141.97,260.92,0.494,0.171,1070.4,26.44,237.9,1,train
APDA-ROADMAP-POS-0618,23.73302,92.71725,7.92,31.27,99.56,184.32,425.59,0.32,0.182,455.2,37.26,146.2,1,train
APDA-ROADMAP-NEG-0179,25.38181,94.54201,0.86,0.93,8.66,33.05,63.1,0.08,-0.009,149.1,0.97,128.1,0,train
APDA-ROADMAP-POS-0308,24.83258,92.79807,8.84,48.5,145.29,193.35,358.92,0.32,0.214,622.9,40.74,187.5,1,train
APDA-ROADMAP-POS-0136,27.09591,93.6124,5.8,30.78,148.86,304.7,469.32,0.333,0.087,1352.9,37.39,192.7,1,train
APDA-ROADMAP-POS-0555,27.59117,91.8657,23.05,42.12,87.33,150.22,253.65,0.32,0.178,1504.2,34.06,194.3,1,train
APDA-ROADMAP-NEG-0674,27.04657,91.92749,1.12,6.25,12.43,13.33,26.16,0.276,-0.02,740.1,7.15,109.4,0,train
APDA-ROADMAP-POS-0584,25.43948,92.19638,9.0,56.62,139.95,294.27,364.44,0.478,0.216,1156.8,35.95,179.3,1,train
APDA-ROADMAP-NEG-0641,25.86531,92.2712,1.63,4.6,9.2,32.79,63.03,0.269,-0.079,456.7,4.06,27.9,0,train
APDA-ROADMAP-POS-0671,27.69171,88.58419,6.17,61.8,173.76,248.19,491.84,0.32,0.15,1598.3,45.53,190.0,1,train
APDA-ROADMAP-POS-0835,27.58428,91.86801,10.3,66.37,177.41,304.62,498.48,0.386,0.131,1648.4,34.47,205.5,1,train
APDA-ROADMAP-POS-0110,26.0119,93.41751,2.0,20.98,131.88,219.44,274.41,0.461,0.147,998.4,30.29,232.7,1,train
APDA-ROADMAP-NEG-0165,25.89625,90.22528,0.22,7.47,14.09,27.95,44.15,0.242,-0.026,83.9,2.99,136.3,0,train
APDA-ROADMAP-NEG-0960,27.40239,88.49973,1.17,6.56,18.64,38.61,44.25,0.08,0.04,781.3,0.24,297.8,0,train
APDA-ROADMAP-NEG-0465,25.43116,91.06251,0.47,6.85,10.24,30.89,41.82,0.09,0.037,112.7,1.01,141.7,0,train
APDA-ROADMAP-NEG-0729,26.62573,91.28948,0.04,8.03,8.27,20.65,33.5,0.206,-0.066,635.9,2.73,177.5,0,train
APDA-ROADMAP-NEG-0243,26.22226,92.06475,0.04,1.46,10.24,34.17,54.02,0.08,-0.029,105.5,0.52,289.6,0,train
APDA-ROADMAP-POS-0212,27.32718,88.61519,10.25,35.14,161.66,262.91,451.22,0.365,0.235,1332.0,32.61,182.4,1,train
APDA-ROADMAP-NEG-0768,25.2756,92.99726,0.24,7.69,16.96,26.98,52.58,0.28,-0.033,423.0,0.09,227.8,0,train
APDA-ROADMAP-NEG-0121,25.33474,91.39886,2.24,6.8,10.46,26.43,58.44,0.256,-0.011,745.1,3.92,283.2,0,train
APDA-ROADMAP-POS-0680,27.03407,88.26351,30.8,76.03,201.05,332.13,455.37,0.408,0.194,1604.7,39.11,147.2,1,train
APDA-ROADMAP-NEG-0951,27.44163,89.01348,1.97,2.11,13.19,21.86,45.26,0.28,-0.015,485.6,3.34,203.8,0,train
APDA-ROADMAP-NEG-0839,26.07101,93.76294,0.76,4.65,4.96,28.61,56.67,0.279,-0.034,325.8,4.58,312.2,0,train
APDA-ROADMAP-POS-0412,27.32332,88.61062,7.97,55.21,146.71,308.56,489.77,0.403,0.129,1819.6,40.9,198.4,1,train
APDA-ROADMAP-NEG-0325,26.09565,90.39798,0.06,5.54,11.02,25.01,25.21,0.146,-0.026,126.0,1.03,114.9,0,train
APDA-ROADMAP-POS-0783,25.75728,91.90797,23.23,62.19,110.99,228.95,289.98,0.371,0.108,1200.0,34.67,182.8,1,train
APDA-ROADMAP-NEG-0346,25.35055,92.6839,1.81,1.82,13.25,25.32,43.41,0.14,-0.001,437.4,3.34,282.3,0,train
APDA-ROADMAP-POS-0875,27.5845,91.86745,25.53,65.69,123.92,171.32,340.69,0.465,0.141,1533.5,32.86,152.5,1,train
APDA-ROADMAP-NEG-0653,27.49333,87.86827,0.63,0.75,14.36,15.9,42.24,0.137,-0.091,353.8,1.45,46.3,0,train
APDA-ROADMAP-NEG-0279,25.90291,93.76501,1.53,7.53,21.1,41.54,58.86,0.08,0.008,355.9,14.89,190.2,0,train
APDA-ROADMAP-POS-0786,25.1921,93.02124,21.51,63.52,129.78,230.34,351.46,0.419,0.234,1063.6,28.76,154.5,1,train
APDA-ROADMAP-NEG-0819,26.1388,94.49527,0.86,8.17,19.86,29.04,41.05,0.139,0.021,640.4,0.66,351.1,0,train
APDA-ROADMAP-NEG-0199,25.2005,93.92061,1.01,1.8,7.53,23.69,55.85,0.08,-0.039,233.1,12.15,305.1,0,train
APDA-ROADMAP-POS-0808,24.83078,92.80185,9.78,49.3,191.92,346.45,461.67,0.354,0.189,239.3,34.91,174.9,1,train
APDA-ROADMAP-POS-0713,27.18889,88.35325,10.01,62.8,158.13,252.12,439.97,0.428,0.215,1710.4,34.21,159.0,1,train
APDA-ROADMAP-NEG-0991,28.135,88.22837,2.76,4.04,14.51,28.25,51.92,0.159,-0.071,771.7,15.0,213.7,0,train
APDA-ROADMAP-NEG-0660,27.28606,88.06849,0.23,6.82,15.12,16.75,29.87,0.28,0.043,145.6,1.09,13.8,0,train
APDA-ROADMAP-NEG-0191,27.2325,88.91287,1.48,3.09,16.27,29.8,59.31,0.201,-0.102,463.4,2.75,102.0,0,train
APDA-ROADMAP-NEG-0226,24.71171,92.54763,1.01,8.32,11.54,23.06,28.48,0.08,-0.046,696.4,1.03,67.1,0,train
APDA-ROADMAP-POS-0603,25.75161,91.8987,11.68,63.93,135.9,282.84,436.87,0.446,0.125,632.1,34.64,200.9,1,train
