date,latitude,longitude,state,rain_1d,rain_3d,rain_7d,rain_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,temporal_split,landslide
2022-06-25,31.4376,76.257,Himachal Pradesh,33.1,51.0,92.1,206.5,0.271,0.115,397,4.3,179.0,-0.008,validation,0
2023-08-14,31.1092,77.1354,Himachal Pradesh,144.4,246.2,328.6,855.2,0.539,0.323,2145,35.0,46.0,-0.0058,validation,1
2024-03-15,25.9017,93.7271,Nagaland,0.4,2.3,8.8,33.8,0.175,-0.206,170,5.1,272.5,-0.0178,test,0
2024-01-22,30.3459,78.0398,Uttarakhand,1.4,4.7,5.9,50.1,0.142,-0.254,645,4.3,59.9,0.0095,test,0
2012-03-15,31.458,76.3061,Himachal Pradesh,2.0,4.7,5.7,8.8,0.106,-0.133,379,5.6,7.4,0.0188,train,0
2022-06-25,29.971,78.1518,Uttarakhand,24.4,52.0,78.0,213.4,0.332,0.062,336,5.1,255.0,0.0135,validation,0
2023-04-05,24.2235,92.547,Mizoram,2.4,6.2,11.6,12.6,0.145,-0.181,133,8.6,339.0,-0.0133,validation,0
2017-07-12,31.4717,76.2448,Himachal Pradesh,34.0,70.0,136.4,273.8,0.304,0.107,353,4.1,16.3,-0.007,train,0
2023-04-05,23.8122,91.2941,Tripura,0.5,4.3,12.8,14.7,0.151,-0.223,43,4.3,297.9,0.0079,validation,0
2024-03-15,24.7854,93.9138,Manipur,1.1,3.9,5.6,6.7,0.139,-0.291,770,5.1,221.9,0.0023,test,0
2016-01-25,31.4524,76.2378,Himachal Pradesh,1.7,3.4,4.2,16.5,0.103,-0.123,361,5.5,112.2,0.0008,train,0
2024-01-22,28.0528,95.3177,Arunachal Pradesh,0.0,1.1,7.3,73.1,0.185,-0.344,179,7.1,280.9,-0.0017,test,0
2024-03-15,26.3318,92.6461,Assam,0.0,5.3,7.2,20.3,0.13,-0.115,54,2.4,314.2,0.0137,test,0
2021-07-25,31.4331,78.2754,Himachal Pradesh,87.3,148.0,216.5,402.4,0.472,0.209,2213,30.0,345.3,0.0073,train,1
2022-01-18,24.7985,93.9255,Manipur,3.4,6.7,16.0,26.9,0.163,-0.288,795,3.5,159.3,0.006,validation,0
2023-02-10,28.0544,95.2926,Arunachal Pradesh,0.2,2.4,4.3,36.8,0.101,-0.255,151,4.9,44.8,-0.0035,validation,0
2021-08-18,25.8214,93.7541,Nagaland,152.3,333.1,333.1,914.4,0.544,0.309,1378,24.2,35.0,-0.0337,train,1
2019-02-14,29.9679,78.1312,Uttarakhand,0.8,7.1,24.5,35.8,0.161,-0.308,343,3.2,339.4,0.006,train,0
2021-07-19,30.7291,78.4354,Uttarakhand,188.7,315.4,322.7,686.8,0.555,0.263,1813,30.5,356.4,0.0182,train,1
2024-09-10,25.8808,93.7144,Nagaland,16.2,54.4,71.6,189.8,0.294,-0.001,149,3.5,214.6,-0.0026,test,0
2021-04-12,31.4463,76.2362,Himachal Pradesh,0.5,1.0,16.9,46.6,0.163,-0.132,389,4.1,321.3,0.0016,train,0
2016-01-25,30.3165,78.0409,Uttarakhand,0.0,6.2,22.3,37.3,0.17,-0.119,655,4.7,207.5,0.0043,train,0
2018-05-10,30.3233,78.0239,Uttarakhand,0.1,1.3,11.0,11.1,0.133,-0.25,646,7.0,124.7,-0.0061,train,0
2024-01-22,29.9657,78.126,Uttarakhand,0.0,1.2,5.2,31.7,0.168,-0.239,307,5.5,153.4,-0.0019,test,0
2024-03-15,31.4765,76.2307,Himachal Pradesh,0.2,3.5,3.5,6.7,0.155,-0.177,381,4.2,256.4,-0.0105,test,0
2022-06-25,32.1016,76.2484,Himachal Pradesh,10.9,31.0,42.2,110.8,0.25,0.006,718,8.5,213.7,0.0072,validation,0
2020-07-22,27.5251,93.8214,Arunachal Pradesh,103.8,201.8,206.4,537.0,0.474,0.256,1544,43.6,313.8,0.0165,train,1
2022-06-25,24.8519,93.9011,Manipur,29.2,45.9,82.5,115.1,0.262,0.035,762,3.7,333.8,-0.0158,validation,0
2024-03-15,25.9083,90.1573,Meghalaya,0.2,1.0,1.1,12.5,0.13,-0.2,89,5.9,267.5,-0.0181,test,0
2024-06-20,28.1043,95.3316,Arunachal Pradesh,33.8,41.8,73.7,130.7,0.247,-0.026,166,7.1,208.2,-0.0141,test,0
2021-04-12,26.1822,91.6968,Assam,1.2,10.7,11.9,33.0,0.12,-0.216,39,3.2,272.2,-0.0061,train,0
2015-11-20,29.1961,78.9614,Uttarakhand,0.1,1.4,1.6,3.1,0.14,-0.317,226,3.3,288.2,-0.012,train,0
2014-04-18,24.2171,92.5113,Mizoram,0.1,6.4,9.4,23.4,0.197,-0.333,132,7.7,135.2,0.0122,train,0
2022-06-25,26.3251,94.5214,Nagaland,104.8,198.4,237.2,542.1,0.487,0.271,1396,36.3,338.7,-0.0264,validation,1
2021-10-19,29.3921,79.4542,Uttarakhand,147.9,273.8,273.8,563.8,0.519,0.254,1976,28.2,312.5,-0.0121,train,1
2022-07-10,27.3315,88.6142,Sikkim,123.2,252.3,281.3,668.5,0.512,0.263,1900,30.8,166.0,-0.0003,validation,1
2024-09-10,31.3424,76.7737,Himachal Pradesh,17.0,47.1,92.2,230.3,0.226,-0.002,637,8.9,164.0,0.0048,test,0
2024-06-20,27.122,88.3505,Sikkim,18.0,57.5,102.8,177.8,0.26,-0.015,368,12.2,184.1,-0.0003,test,0
2012-03-15,31.3601,76.7434,Himachal Pradesh,0.3,2.7,19.2,40.6,0.157,-0.326,620,9.2,50.4,0.0007,train,0
2024-08-21,23.2985,91.5621,Tripura,97.2,157.7,222.6,573.9,0.478,0.302,690,28.0,343.5,-0.0324,test,1
2023-10-04,27.6921,88.5842,Sikkim,105.6,216.0,290.2,694.1,0.508,0.378,2651,43.8,213.6,0.0314,validation,1
2017-07-12,26.1733,91.7109,Assam,27.8,43.8,103.2,184.0,0.313,-0.034,66,3.2,211.2,-0.0133,train,0
2020-03-22,29.9846,78.1379,Uttarakhand,0.8,5.1,12.2,15.2,0.182,-0.294,305,4.1,213.5,0.0032,train,0
2021-04-12,25.9307,90.1674,Meghalaya,1.5,2.0,14.8,24.8,0.116,-0.347,102,6.6,259.0,0.0156,train,0
2023-02-10,23.8513,91.2775,Tripura,1.3,4.5,5.0,19.2,0.171,-0.308,64,3.3,342.8,-0.0183,validation,0
2016-01-25,27.1595,88.3038,Sikkim,0.1,3.0,3.7,11.3,0.151,-0.131,354,13.1,357.4,-0.0147,train,0
2022-01-18,23.8527,91.2984,Tripura,0.2,6.5,11.1,17.1,0.143,-0.341,31,3.8,0.0,-0.0033,validation,0
2023-08-24,31.4251,77.4285,Himachal Pradesh,133.8,274.8,394.8,889.7,0.561,0.214,1814,43.4,224.1,-0.0071,validation,1
2023-08-04,26.1721,91.7582,Assam,151.4,256.0,375.3,844.9,0.561,0.373,581,21.7,333.5,0.0332,validation,1
2024-06-20,23.8485,91.315,Tripura,7.9,44.9,88.1,165.7,0.238,0.097,32,2.4,104.4,0.0149,test,0
2014-04-18,25.8828,93.7517,Nagaland,0.2,1.5,13.5,16.5,0.108,-0.229,140,4.3,289.4,-0.0145,train,0
2024-09-10,30.3343,78.0316,Uttarakhand,24.7,47.1,71.9,200.2,0.332,0.068,633,6.0,130.0,-0.0163,test,0
2022-06-25,24.1643,92.4982,Mizoram,15.6,25.8,37.1,110.4,0.33,0.046,115,9.5,83.5,-0.0194,validation,0
2018-05-10,31.4591,76.2517,Himachal Pradesh,2.6,3.9,5.9,20.0,0.114,-0.149,352,6.5,278.0,-0.0121,train,0
2024-01-22,31.357,76.7938,Himachal Pradesh,6.4,10.6,13.4,15.0,0.178,-0.21,611,8.9,40.0,-0.0003,test,0
2023-07-10,31.6704,77.0502,Himachal Pradesh,157.0,279.5,283.9,743.9,0.526,0.182,2061,34.1,349.2,0.002,validation,1
2021-02-07,30.3854,79.7281,Uttarakhand,107.1,234.7,237.5,574.4,0.488,0.201,1817,28.2,117.2,-0.0079,train,1
2025-01-15,31.5032,76.3063,Himachal Pradesh,3.7,5.1,5.2,52.6,0.143,-0.108,397,6.1,106.0,-0.0046,test,0
2023-04-05,31.3553,76.7812,Himachal Pradesh,0.1,2.1,2.5,16.9,0.144,-0.128,607,6.6,51.5,0.0105,validation,0
2023-04-05,25.9043,90.1891,Meghalaya,3.1,7.5,16.8,36.5,0.126,-0.123,108,6.7,40.0,-0.0021,validation,0
2024-05-29,25.1524,93.9782,Manipur,122.3,267.0,267.0,591.3,0.506,0.209,1087,32.7,344.9,0.0096,test,1
2024-06-20,26.3199,92.7082,Assam,17.1,41.4,59.4,99.1,0.322,0.034,63,3.3,275.6,-0.0136,test,0
2024-03-15,32.0794,76.2835,Himachal Pradesh,2.1,4.8,8.6,18.2,0.135,-0.118,754,8.7,44.7,0.0092,test,0
2019-08-05,31.3604,76.7743,Himachal Pradesh,17.6,26.5,66.0,152.8,0.244,0.024,609,8.0,228.6,-0.0182,train,0
2018-05-10,24.2177,92.5557,Mizoram,1.4,4.6,17.8,33.4,0.163,-0.311,123,9.6,97.5,-0.0119,train,0
2019-08-05,26.376,92.6957,Assam,11.4,49.0,110.7,242.3,0.349,-0.007,79,2.5,303.1,0.0091,train,0
2016-01-25,32.1353,76.2775,Himachal Pradesh,0.4,3.7,9.5,17.5,0.111,-0.182,739,8.1,187.3,0.0141,train,0
2015-11-20,26.3103,92.6855,Assam,0.2,4.2,8.5,29.0,0.104,-0.329,77,1.3,25.7,-0.0195,train,0
2022-11-15,26.1893,91.7164,Assam,0.8,2.6,8.1,21.2,0.192,-0.226,84,4.4,75.1,0.0172,validation,0
2021-04-12,32.1092,76.2355,Himachal Pradesh,3.1,10.7,11.1,16.9,0.181,-0.163,722,6.4,133.4,-0.0006,train,0
2023-04-05,26.3499,92.6923,Assam,1.7,6.6,8.5,39.9,0.15,-0.331,44,2.1,282.6,0.0083,validation,0
2023-08-10,24.185,92.5503,Mizoram,25.0,55.9,82.4,131.1,0.309,0.052,108,9.6,163.9,0.0067,validation,0
2019-02-14,25.9178,90.1444,Meghalaya,2.2,12.2,13.6,26.9,0.129,-0.152,103,6.9,287.2,-0.0042,train,0
2024-09-10,23.8448,91.3097,Tripura,10.3,40.3,84.6,214.5,0.347,-0.048,58,1.7,197.6,-0.0085,test,0
2015-11-20,31.4645,76.2928,Himachal Pradesh,0.3,2.5,7.9,8.8,0.161,-0.307,352,6.3,347.6,0.0123,train,0
2023-08-10,29.2476,78.9275,Uttarakhand,24.2,47.0,109.1,160.4,0.317,0.092,245,3.2,179.0,0.0047,validation,0
2019-02-14,23.8372,91.2746,Tripura,2.3,3.2,8.2,16.2,0.166,-0.29,34,4.3,36.6,0.0002,train,0
2013-06-16,30.7342,79.0665,Uttarakhand,190.1,349.5,446.7,1109.9,0.605,0.371,1987,37.7,96.3,0.0156,train,1
2021-07-28,23.4751,93.3284,Mizoram,146.2,241.7,277.1,690.1,0.519,0.184,1069,35.5,259.2,-0.0353,train,1
2021-04-12,30.3081,78.0368,Uttarakhand,0.3,0.9,12.8,65.4,0.137,-0.282,652,5.4,9.1,-0.0138,train,0
2023-07-09,32.2685,77.1894,Himachal Pradesh,161.6,342.9,342.9,630.6,0.552,0.343,1599,28.1,329.5,0.0117,validation,1
2023-01-05,30.5582,79.5651,Uttarakhand,115.8,220.0,293.9,796.7,0.514,0.19,2095,36.7,359.6,-0.0034,validation,1
2012-03-15,27.104,88.313,Sikkim,0.2,1.7,5.7,24.7,0.195,-0.2,367,12.5,228.3,-0.0172,train,0
2012-03-15,25.9434,93.7222,Nagaland,0.5,5.3,7.7,14.1,0.123,-0.318,137,3.7,242.6,-0.0175,train,0
2022-11-15,24.8382,93.9288,Manipur,1.6,2.5,3.5,6.6,0.107,-0.304,793,4.8,293.1,0.0074,validation,0
2012-03-15,24.7815,93.9259,Manipur,4.3,7.4,14.1,32.1,0.12,-0.245,797,2.5,100.0,-0.0089,train,0
2024-06-20,29.9386,78.1751,Uttarakhand,15.1,31.1,100.1,179.2,0.345,-0.011,304,2.6,234.6,-0.0053,test,0
2012-03-15,28.0804,95.2988,Arunachal Pradesh,0.5,1.8,11.6,17.5,0.121,-0.111,135,7.8,243.7,0.0131,train,0
2019-08-05,25.896,93.7508,Nagaland,14.1,22.6,66.0,197.4,0.331,-0.02,158,3.3,78.6,0.015,train,0
2020-03-22,28.0538,95.3096,Arunachal Pradesh,2.8,3.9,13.2,53.2,0.143,-0.123,153,7.7,32.1,0.0075,train,0
2021-08-05,25.2651,94.0214,Manipur,87.7,141.5,241.0,571.5,0.481,0.299,1456,37.0,62.4,-0.0035,train,1
2019-02-14,31.4284,76.2952,Himachal Pradesh,1.8,5.7,14.6,16.0,0.136,-0.321,392,5.4,119.1,-0.0175,train,0
2024-06-20,24.2155,92.5656,Mizoram,23.7,37.1,98.9,235.2,0.248,0.075,114,9.9,359.0,-0.0188,test,0
2024-01-22,32.0821,76.2755,Himachal Pradesh,0.3,2.3,6.9,7.9,0.134,-0.316,716,8.8,116.0,0.0124,test,0
2017-07-12,25.8562,90.1769,Meghalaya,8.6,23.9,43.8,113.4,0.326,0.038,85,7.6,316.6,0.0148,train,0
2022-01-18,26.1982,91.7556,Assam,3.9,4.7,7.8,10.8,0.199,-0.118,61,4.3,187.5,0.0049,validation,0
2023-08-10,31.3415,76.7261,Himachal Pradesh,4.8,37.8,52.2,180.8,0.319,-0.036,594,9.2,134.7,-0.0052,validation,0
2013-06-16,30.6551,79.0284,Uttarakhand,122.5,215.1,281.3,662.6,0.512,0.289,1763,29.8,338.1,0.0178,train,1
2021-04-12,28.0645,95.319,Arunachal Pradesh,1.5,5.2,5.2,8.5,0.171,-0.183,183,7.1,342.3,0.0081,train,0
2019-08-15,30.1254,78.5421,Uttarakhand,114.2,183.9,214.1,436.6,0.481,0.335,2002,34.2,169.4,-0.0251,train,1
2022-11-15,25.924,93.6959,Nagaland,1.4,2.4,3.5,12.1,0.18,-0.252,162,3.0,278.2,-0.0105,validation,0
2023-04-05,24.8532,93.9221,Manipur,0.7,2.8,19.8,57.4,0.11,-0.252,787,3.7,69.8,0.0144,validation,0
2022-01-18,27.1414,88.3271,Sikkim,0.7,1.2,4.6,7.4,0.189,-0.264,337,11.1,232.5,0.0055,validation,0
2016-01-25,28.0668,95.312,Arunachal Pradesh,0.1,2.2,11.7,33.8,0.105,-0.332,155,5.7,83.7,-0.0088,train,0
2019-02-14,25.8773,93.7327,Nagaland,0.3,1.3,2.8,6.4,0.183,-0.279,171,5.5,205.7,-0.0143,train,0
2023-04-05,30.31,77.9938,Uttarakhand,0.5,2.8,8.8,14.2,0.114,-0.141,669,5.8,61.8,-0.0091,validation,0
2023-08-10,29.9291,78.1807,Uttarakhand,4.2,32.5,63.3,167.8,0.226,0.098,342,5.4,269.9,-0.0148,validation,0
2022-11-15,25.9041,90.1637,Meghalaya,0.7,6.2,10.0,79.6,0.163,-0.318,108,6.0,247.1,-0.0172,validation,0
2024-01-22,25.8935,93.7538,Nagaland,4.1,4.7,7.5,55.0,0.106,-0.327,133,4.4,54.2,0.0187,test,0
2017-07-12,30.3099,78.0509,Uttarakhand,32.8,74.8,111.9,155.5,0.358,0.093,626,7.0,313.2,0.0008,train,0
2022-11-15,26.3312,92.6559,Assam,0.5,6.8,40.5,48.8,0.145,-0.169,86,2.9,140.9,-0.0035,validation,0
2016-01-25,25.8653,90.1897,Meghalaya,2.8,6.1,9.8,19.4,0.165,-0.214,78,6.5,290.3,-0.0016,train,0
2017-07-12,32.1032,76.2739,Himachal Pradesh,30.9,52.0,70.0,103.5,0.326,0.055,748,6.4,49.1,-0.0194,train,0
2015-11-20,28.0321,95.327,Arunachal Pradesh,0.1,1.7,4.8,6.0,0.135,-0.322,175,7.6,26.0,0.0182,train,0
2024-03-15,29.25,78.9239,Uttarakhand,5.7,7.3,19.6,47.1,0.157,-0.165,241,2.4,117.7,0.0067,test,0
2014-04-18,30.3034,78.0577,Uttarakhand,0.2,5.8,6.6,15.7,0.18,-0.313,631,6.4,259.2,0.0056,train,0
2012-03-15,29.925,78.1632,Uttarakhand,0.4,13.6,30.9,31.6,0.171,-0.119,303,4.2,329.6,-0.0186,train,0
2023-08-10,28.0667,95.3661,Arunachal Pradesh,6.1,11.8,68.0,194.9,0.237,-0.005,135,5.7,278.3,0.0007,validation,0
2023-06-25,27.3521,92.4182,Arunachal Pradesh,142.4,258.7,352.5,981.4,0.548,0.309,1458,39.6,70.0,0.007,validation,1
2025-01-15,27.1528,88.3434,Sikkim,0.1,6.5,10.1,23.0,0.163,-0.118,330,12.4,247.6,0.0089,test,0
2016-01-25,25.9027,93.745,Nagaland,1.3,4.6,13.6,49.3,0.131,-0.215,167,5.6,320.2,-0.0051,train,0
2022-11-15,23.8504,91.3139,Tripura,0.8,1.9,4.3,26.7,0.182,-0.305,43,4.2,290.4,0.0194,validation,0
2023-08-10,25.8885,93.7641,Nagaland,2.3,35.9,88.3,193.0,0.359,0.003,141,2.8,159.4,-0.0096,validation,0
2022-06-30,24.7852,93.6821,Manipur,153.3,253.1,382.5,1064.6,0.564,0.349,1732,36.6,111.1,-0.0077,validation,1
2024-03-15,31.2929,76.7555,Himachal Pradesh,0.1,0.5,1.3,20.2,0.175,-0.204,638,7.3,102.9,0.0147,test,0
2014-04-18,29.9608,78.1478,Uttarakhand,3.9,14.5,31.8,43.4,0.186,-0.139,309,5.0,13.3,0.0039,train,0
2024-01-22,24.7902,93.8962,Manipur,1.9,5.9,10.2,13.4,0.108,-0.345,768,4.9,87.0,-0.0058,test,0
2023-08-13,30.9854,77.0982,Himachal Pradesh,184.1,297.1,419.7,1056.8,0.592,0.294,2350,44.0,272.5,0.0247,validation,1
2025-01-15,24.8404,93.9015,Manipur,1.0,3.5,9.4,30.4,0.125,-0.348,796,3.8,301.0,0.0129,test,0
2017-07-12,27.107,88.3036,Sikkim,15.9,37.3,101.8,217.5,0.305,0.003,371,13.9,295.6,-0.0199,train,0
2021-07-12,32.2472,76.3531,Himachal Pradesh,169.5,300.0,394.2,730.3,0.575,0.24,2226,43.5,342.6,-0.0308,train,1
2024-09-10,24.2168,92.5448,Mizoram,34.1,57.7,118.5,156.0,0.267,-0.039,148,10.0,306.9,0.0175,test,0
2021-04-12,31.3231,76.7695,Himachal Pradesh,0.9,3.3,20.3,29.1,0.196,-0.124,599,6.4,36.3,-0.0193,train,0
2020-03-22,31.4698,76.2642,Himachal Pradesh,0.0,0.3,0.5,18.7,0.131,-0.223,394,4.2,147.7,0.0102,train,0
2023-02-10,24.7858,93.9191,Manipur,0.6,1.5,5.8,19.6,0.136,-0.262,801,4.6,110.8,0.0166,validation,0
2022-06-25,26.3543,92.659,Assam,13.7,50.1,93.4,124.0,0.327,-0.044,79,1.7,344.9,-0.0053,validation,0
2021-04-12,26.3455,92.7113,Assam,2.0,4.3,9.7,22.5,0.13,-0.209,76,3.7,229.1,0.0104,train,0
2012-03-15,26.317,92.67,Assam,2.0,3.9,6.7,15.7,0.146,-0.154,86,4.0,283.3,-0.0074,train,0
2024-03-15,24.1573,92.5408,Mizoram,0.5,8.1,13.4,29.6,0.135,-0.337,101,8.8,30.4,0.0043,test,0
2024-09-10,29.9741,78.1619,Uttarakhand,34.0,46.4,108.5,231.7,0.328,0.094,332,4.4,47.2,-0.0187,test,0
2024-01-22,31.5,76.2806,Himachal Pradesh,0.6,1.9,9.7,50.6,0.189,-0.155,381,3.8,58.2,0.0159,test,0
2017-07-12,29.1972,78.9852,Uttarakhand,4.6,45.4,88.3,216.4,0.283,0.059,224,3.4,29.4,-0.0176,train,0
2022-06-25,30.284,78.0115,Uttarakhand,25.8,65.0,124.8,202.5,0.314,-0.015,634,6.9,4.7,-0.0166,validation,0
2025-01-15,26.146,91.7113,Assam,5.6,10.5,29.8,41.8,0.111,-0.213,57,4.3,35.3,-0.0005,test,0
2024-09-10,31.4994,76.2805,Himachal Pradesh,28.2,53.3,97.9,187.0,0.247,0.073,363,3.6,232.4,-0.0129,test,0
2023-06-20,23.9541,92.2854,Tripura,90.1,157.2,225.4,549.8,0.476,0.338,327,17.7,332.7,0.0009,validation,1
2020-03-22,32.0725,76.2513,Himachal Pradesh,0.3,0.6,1.4,12.5,0.121,-0.259,738,7.9,14.2,0.012,train,0
2015-11-20,31.3559,76.77,Himachal Pradesh,1.8,6.6,19.8,27.2,0.138,-0.327,618,6.3,167.6,0.0017,train,0
2019-08-05,30.277,78.0451,Uttarakhand,7.9,51.3,70.2,150.0,0.232,0.119,645,6.0,24.1,0.01,train,0
2022-06-25,28.0546,95.2922,Arunachal Pradesh,27.3,49.0,108.3,240.3,0.25,0.062,158,7.4,77.7,0.0071,validation,0
2016-01-25,31.3149,76.7653,Himachal Pradesh,0.0,0.1,10.5,18.5,0.113,-0.219,628,6.8,224.2,-0.0166,train,0
2025-01-15,23.8155,91.2742,Tripura,1.5,2.7,10.6,19.9,0.107,-0.154,39,2.8,246.8,-0.0067,test,0
2020-08-22,24.2254,92.6851,Mizoram,146.4,280.8,340.6,648.1,0.545,0.278,1475,23.3,298.7,0.0255,train,1
2020-07-20,29.8514,80.5352,Uttarakhand,87.1,183.4,280.6,698.7,0.497,0.228,1778,43.8,338.3,-0.003,train,1
2021-05-18,27.5854,91.8652,Arunachal Pradesh,109.4,217.5,268.5,724.8,0.501,0.259,1460,42.9,324.1,0.0324,train,1
2020-03-22,30.2928,78.0638,Uttarakhand,0.3,0.9,1.1,12.6,0.156,-0.334,658,5.6,188.8,-0.0024,train,0
2019-08-05,32.0692,76.2412,Himachal Pradesh,6.6,37.2,58.1,129.6,0.346,0.031,746,6.3,69.2,-0.0184,train,0
2023-08-08,23.3412,92.8521,Mizoram,118.7,221.9,221.9,510.2,0.486,0.367,1524,26.9,119.9,-0.0358,validation,1
2025-01-15,29.9787,78.1733,Uttarakhand,2.4,4.4,5.1,7.5,0.169,-0.242,304,4.0,23.1,0.0033,test,0
2022-01-18,25.9138,93.767,Nagaland,2.2,3.7,14.2,17.6,0.103,-0.299,142,4.1,221.4,0.0164,validation,0
2022-06-25,26.1521,91.7524,Assam,6.2,44.2,101.1,216.1,0.225,0.002,48,2.9,31.6,0.0175,validation,0
2016-01-25,23.8292,91.3035,Tripura,0.4,3.5,10.1,13.3,0.157,-0.157,49,1.5,3.3,-0.0057,train,0
2016-01-25,26.3815,92.703,Assam,0.7,1.8,4.4,31.2,0.166,-0.304,50,1.4,237.7,0.0106,train,0
2022-01-18,32.1085,76.2585,Himachal Pradesh,0.9,5.0,5.2,10.4,0.171,-0.126,738,7.4,38.6,-0.0021,validation,0
2022-01-18,30.3333,78.0447,Uttarakhand,0.0,0.8,2.4,22.5,0.102,-0.324,659,4.7,235.0,-0.0105,validation,0
2023-02-10,27.1081,88.344,Sikkim,0.2,9.6,11.9,51.4,0.16,-0.143,379,11.9,346.0,-0.0044,validation,0
2023-02-10,31.4818,76.2909,Himachal Pradesh,0.4,4.3,7.1,25.1,0.163,-0.216,353,6.0,115.5,-0.0125,validation,0
2014-04-18,24.8116,93.9744,Manipur,0.1,2.3,3.5,67.0,0.111,-0.249,796,4.3,152.2,-0.0061,train,0
2024-06-20,29.2346,78.981,Uttarakhand,28.3,50.7,109.8,154.2,0.296,-0.049,214,2.3,142.6,0.0078,test,0
2015-11-20,24.8088,93.9171,Manipur,0.3,2.3,4.2,10.3,0.166,-0.108,790,2.4,27.2,0.0181,train,0
2023-04-05,29.2211,78.9894,Uttarakhand,0.9,3.1,7.1,26.9,0.114,-0.343,213,3.3,72.7,0.0069,validation,0
2020-03-22,25.8667,90.1855,Meghalaya,1.6,2.1,5.6,22.8,0.108,-0.129,115,6.5,348.2,-0.0033,train,0
2025-01-15,24.1518,92.5258,Mizoram,0.1,0.8,2.4,13.8,0.127,-0.325,108,7.9,350.3,0.0104,test,0
2018-05-10,29.1898,78.9328,Uttarakhand,3.1,3.8,26.1,33.5,0.118,-0.153,230,2.7,199.9,0.0088,train,0
2024-01-22,29.2395,78.9656,Uttarakhand,0.0,8.0,15.0,35.3,0.122,-0.185,217,3.2,38.4,0.0063,test,0
2022-11-15,27.1238,88.2742,Sikkim,1.1,11.1,14.0,14.7,0.103,-0.253,338,11.1,272.2,-0.0017,validation,0
2016-01-25,26.1485,91.7427,Assam,4.5,7.3,17.6,56.4,0.123,-0.297,65,3.0,302.4,0.016,train,0
2023-08-10,24.8312,93.963,Manipur,30.3,65.2,101.6,204.9,0.242,0.065,768,4.3,82.7,-0.0153,validation,0
2023-04-05,32.0654,76.271,Himachal Pradesh,0.8,12.9,13.6,22.7,0.197,-0.134,753,6.6,61.5,0.0067,validation,0
2022-06-29,27.0982,93.6154,Arunachal Pradesh,111.5,189.8,278.5,652.6,0.506,0.372,1910,42.4,234.6,0.0398,validation,1
2022-08-20,32.4412,76.5415,Himachal Pradesh,119.5,228.4,228.4,543.7,0.489,0.204,1565,28.6,205.5,-0.0256,validation,1
2025-01-15,25.8934,90.1484,Meghalaya,0.6,2.3,11.2,27.8,0.189,-0.239,105,6.9,213.0,0.0081,test,0
2019-08-05,29.2294,78.954,Uttarakhand,13.4,33.2,102.5,137.3,0.341,0.048,219,3.4,175.2,0.0149,train,0
