sample_id,source_inventory,latitude,longitude,landslide,copernicus_elevation_m,copernicus_slope_deg,copernicus_aspect_deg,copernicus_plan_curvature,copernicus_profile_curvature,copernicus_twi,gpm_imerg_rainfall_1d_mm,gpm_imerg_rainfall_3d_mm,gpm_imerg_rainfall_7d_mm,gpm_imerg_peak_intensity_mm_h,smap_surface_moisture_m3m3,smap_rootzone_moisture_m3m3,smap_soil_saturation_ratio,sentinel1_sar_vv_db,sentinel1_sar_vh_db,sentinel1_polarimetric_ratio_vh_vv,sentinel1_interferometric_coherence,sentinel2_ndvi,sentinel2_ndwi,sentinel2_bsi,nasa_lhasa_nowcast_score,nasa_lhasa_antecedent_rainfall_index,nasa_lhasa_susceptibility_category,split
APDA-V2-NEG-0114,Spatial Negative Buffer Control,24.42451,92.58673,0,1193.5,3.54,195.9,0.00064,-0.00431,7.79,14.97,17.09,23.19,2.5,0.011,0.01,0.026,-15.14,-17.12,-1.98,0.722,0.851,-0.132,-0.131,0.21,11.65,1.0,train
APDA-V2-NEG-0494,Spatial Negative Buffer Control,26.24376,93.60568,0,1023.0,1.12,324.0,0.00491,0.01127,8.45,4.79,27.68,54.65,0.8,0.19,0.174,0.436,-17.47,-18.37,-0.9,0.829,0.855,-0.166,-0.031,0.081,28.65,1.0,train
APDA-V2-NEG-0527,Spatial Negative Buffer Control,25.05845,91.45415,0,780.7,0.07,280.9,0.01465,-0.0077,9.73,17.84,25.99,61.2,2.97,0.273,0.251,0.618,-11.2,-19.05,-7.84,0.845,0.693,-0.009,-0.103,0.094,28.98,2.0,train
APDA-V2-POS-0631,NASA COOLR (Verified Event),25.53547,91.85774,1,1193.8,34.68,144.1,-0.00212,0.03599,6.11,78.61,286.92,420.37,17.49,0.423,0.381,0.828,-8.82,-13.01,-4.19,0.154,0.48,0.65,0.536,0.62,381.61,5.0,train
APDA-V2-NEG-0668,Spatial Negative Buffer Control,27.46406,93.9423,0,1541.6,3.44,169.1,-0.00706,0.00634,6.73,8.32,17.62,33.62,1.39,0.15,0.138,0.329,-11.49,-22.54,-11.05,0.593,0.793,-0.106,-0.111,0.18,16.61,2.0,train
APDA-V2-POS-0538,NASA COOLR (Verified Event),27.32937,88.61071,1,3107.4,28.51,184.9,-0.02146,0.03036,6.2,35.35,234.27,366.95,9.84,0.363,0.317,0.68,-5.23,-18.1,-12.87,0.407,0.42,0.65,0.58,0.906,298.65,5.0,train
APDA-V2-NEG-0870,Spatial Negative Buffer Control,24.46026,93.05727,0,680.4,12.51,299.3,0.00342,0.00163,5.29,5.12,24.25,28.16,0.85,0.041,0.037,0.094,-15.11,-14.96,0.15,0.758,0.736,-0.058,0.12,0.033,12.15,1.0,train
APDA-V2-NEG-0614,Spatial Negative Buffer Control,25.90769,90.30049,0,1845.9,3.69,99.1,0.01487,0.00777,6.54,6.35,18.62,30.42,1.06,0.159,0.146,0.348,-13.74,-15.22,-1.48,0.708,0.632,-0.092,-0.2,0.304,19.56,1.0,train
APDA-V2-NEG-0720,Spatial Negative Buffer Control,25.85114,92.1027,0,1892.4,2.18,152.8,0.00069,0.01137,6.61,3.06,18.27,23.3,0.51,0.301,0.277,0.616,-11.75,-20.59,-8.83,0.714,0.81,-0.058,-0.029,0.24,12.05,1.0,train
APDA-V2-NEG-0844,Spatial Negative Buffer Control,25.1996,91.99174,0,871.0,16.0,204.6,-0.0007,0.0005,4.38,3.98,12.45,37.63,0.66,0.234,0.215,0.48,-13.85,-21.22,-7.38,0.815,0.833,-0.062,0.04,0.383,21.07,2.0,train
APDA-V2-NEG-0693,Spatial Negative Buffer Control,27.25099,87.91692,0,1959.9,3.21,111.4,-0.01067,-0.02513,6.47,14.6,37.24,48.59,2.43,0.239,0.22,0.506,-15.74,-23.2,-7.46,0.52,0.88,-0.225,-0.096,0.02,23.68,1.0,train
APDA-V2-NEG-0783,Spatial Negative Buffer Control,25.8607,92.27679,0,1403.4,11.57,74.7,0.00595,0.0027,6.56,4.43,6.63,28.37,0.74,0.115,0.106,0.244,-13.2,-21.2,-8.01,0.856,0.88,0.007,-0.002,0.105,17.37,1.0,train
APDA-V2-NEG-0190,Spatial Negative Buffer Control,25.80001,92.08514,0,1368.2,7.97,52.7,-0.02146,0.01064,6.64,5.83,18.43,49.69,0.97,0.203,0.186,0.445,-10.86,-21.83,-10.97,0.669,0.721,-0.055,-0.095,0.48,23.44,2.0,train
APDA-V2-POS-0072,NASA COOLR (Verified Event),24.82904,92.80018,1,689.2,23.39,202.6,-0.05697,0.0402,6.69,152.11,289.71,565.86,32.66,0.437,0.404,0.887,-5.72,-13.15,-7.43,0.174,0.48,0.588,0.58,0.627,481.04,4.0,train
APDA-V2-POS-0514,NASA COOLR (Verified Event),26.17014,91.75486,1,1222.7,39.33,137.6,-0.01656,0.01744,5.47,64.64,249.8,394.51,14.94,0.483,0.442,0.945,-8.13,-17.04,-8.92,0.08,0.48,0.482,0.58,0.919,307.06,5.0,train
APDA-V2-POS-0742,NASA COOLR (Verified Event),25.18663,93.02904,1,1765.7,43.7,201.8,-0.03757,0.02248,5.37,53.02,100.02,260.06,15.63,0.465,0.418,0.818,-9.85,-17.93,-8.08,0.257,0.48,0.598,0.58,0.763,217.55,5.0,train
APDA-V2-NEG-0509,Spatial Negative Buffer Control,25.87901,90.73053,0,1187.1,1.0,287.7,-0.00786,-0.01073,8.4,8.0,16.98,52.16,1.33,0.173,0.159,0.355,-12.95,-21.11,-8.16,0.756,0.571,-0.106,-0.077,0.451,32.24,1.0,train
APDA-V2-POS-0113,NASA COOLR (Verified Event),25.07357,93.15955,1,1553.6,48.38,168.7,-0.0071,0.0279,5.99,42.2,215.34,298.53,9.0,0.343,0.312,0.68,-9.61,-15.53,-5.92,0.129,0.369,0.65,0.196,0.756,276.95,4.0,train
APDA-V2-POS-0158,NASA COOLR (Verified Event),26.00744,93.41245,1,916.2,35.16,208.5,-0.06675,0.08203,6.35,78.24,258.44,358.38,15.19,0.357,0.321,0.68,-10.47,-14.08,-3.61,0.339,0.12,0.463,0.58,0.903,294.58,4.0,train
APDA-V2-NEG-0499,Spatial Negative Buffer Control,27.94802,91.71846,0,3565.8,10.95,317.8,0.00053,-0.00059,6.59,1.77,18.41,48.42,0.29,0.071,0.065,0.154,-15.24,-24.8,-9.56,0.757,0.88,-0.003,-0.2,0.306,22.35,1.0,train
APDA-V2-NEG-0490,Spatial Negative Buffer Control,24.78923,93.16948,0,608.9,2.0,123.8,0.0034,-0.00862,8.15,8.15,10.74,27.43,1.36,0.068,0.062,0.137,-14.74,-16.29,-1.55,0.524,0.866,-0.035,-0.07,0.204,12.28,1.0,train
APDA-V2-POS-0672,NASA COOLR (Verified Event),27.03322,88.26194,1,3336.1,45.18,195.2,-0.02663,0.07878,5.24,35.0,112.72,295.47,11.23,0.347,0.314,0.696,-5.32,-10.44,-5.12,0.393,0.369,0.65,0.554,0.648,269.99,4.0,train
APDA-V2-POS-0487,NASA COOLR (Verified Event),25.44078,92.19517,1,668.0,26.0,227.5,-0.02491,0.04404,6.19,59.82,204.43,303.21,12.12,0.438,0.404,0.879,-8.11,-11.59,-3.48,0.216,0.48,0.65,0.495,0.792,236.09,5.0,train
APDA-V2-NEG-0574,Spatial Negative Buffer Control,25.60395,92.7879,0,892.9,12.55,311.4,0.00562,0.00553,5.56,18.45,20.16,46.52,3.08,0.132,0.122,0.277,-10.85,-17.15,-6.3,0.579,0.813,-0.006,-0.087,0.414,25.85,1.0,train
APDA-V2-NEG-0109,Spatial Negative Buffer Control,25.64973,91.76872,0,1463.4,0.95,163.6,0.00903,0.00534,8.14,4.06,14.18,46.58,0.68,0.199,0.183,0.424,-12.81,-22.93,-10.12,0.808,0.88,-0.031,-0.062,0.358,25.53,1.0,train
APDA-V2-POS-0570,NASA COOLR (Verified Event),25.75343,91.90431,1,964.9,34.57,229.6,-0.06077,0.03072,6.21,87.16,179.61,242.71,12.71,0.36,0.324,0.68,-11.35,-17.68,-6.33,0.212,0.2,0.574,0.58,0.809,182.55,4.0,train
APDA-V2-POS-0835,NASA COOLR (Verified Event),27.57961,91.87189,1,1954.2,25.83,185.6,-0.05705,0.0535,6.42,102.64,170.28,276.28,18.66,0.37,0.336,0.68,-8.21,-15.0,-6.79,0.194,0.234,0.335,0.467,0.702,235.71,4.0,train
APDA-V2-NEG-0289,Spatial Negative Buffer Control,27.15469,92.28371,0,3578.1,2.59,143.0,0.00518,-0.01817,6.87,12.02,24.19,36.49,2.0,0.095,0.087,0.199,-12.03,-23.28,-11.25,0.92,0.55,0.027,-0.0,0.293,20.02,1.0,train
APDA-V2-NEG-0115,Spatial Negative Buffer Control,26.43894,91.42658,0,677.9,0.03,79.7,-0.01978,0.00203,9.73,4.61,26.38,40.34,0.77,0.288,0.265,0.683,-14.09,-20.85,-6.76,0.514,0.808,-0.25,0.055,0.36,25.3,2.0,train
APDA-V2-NEG-0214,Spatial Negative Buffer Control,25.79925,92.38946,0,1772.6,6.85,329.5,0.00571,-0.01178,5.67,8.91,21.14,34.32,1.49,0.349,0.321,0.731,-17.68,-19.57,-1.89,0.654,0.803,0.076,-0.117,0.415,20.3,2.0,train
APDA-V2-NEG-0712,Spatial Negative Buffer Control,23.53185,92.40065,0,1105.1,3.24,123.2,-0.001,-0.00449,7.87,10.38,31.89,59.92,1.73,0.349,0.321,0.701,-12.36,-22.23,-9.87,0.729,0.88,-0.075,-0.176,0.244,24.54,2.0,train
APDA-V2-POS-0832,NASA COOLR (Verified Event),27.32954,88.61469,1,2253.8,43.5,175.5,-0.01768,0.02304,5.33,110.88,217.84,497.21,17.71,0.404,0.372,0.842,-10.58,-13.83,-3.25,0.42,0.12,0.65,0.58,0.62,454.19,5.0,train
APDA-V2-NEG-0492,Spatial Negative Buffer Control,24.65009,92.97255,0,384.3,1.26,308.8,0.01204,0.00744,7.49,15.73,18.38,40.55,2.62,0.059,0.054,0.129,-13.24,-20.52,-7.28,0.796,0.88,0.02,-0.004,0.28,24.82,1.0,train
APDA-V2-NEG-0130,Spatial Negative Buffer Control,25.2675,91.95783,0,1384.2,0.43,171.6,-0.01767,0.01342,8.6,3.08,15.71,19.94,0.51,0.164,0.151,0.383,-20.94,-15.5,5.45,0.878,0.848,-0.149,-0.098,0.168,8.79,1.0,train
APDA-V2-NEG-0281,Spatial Negative Buffer Control,25.25779,93.52101,0,785.4,1.32,319.3,0.00092,-0.02193,7.97,6.07,20.91,50.37,1.01,0.223,0.205,0.484,-14.56,-17.77,-3.21,0.598,0.744,-0.164,0.05,0.48,28.07,2.0,train
APDA-V2-NEG-0133,Spatial Negative Buffer Control,25.478,93.1924,0,1409.1,11.22,107.8,0.00302,0.00021,6.43,15.33,16.08,44.14,2.55,0.186,0.171,0.419,-18.14,-17.33,0.8,0.657,0.699,-0.055,0.062,0.129,25.1,1.0,train
APDA-V2-POS-0768,NASA COOLR (Verified Event),27.68889,88.57397,1,2100.4,35.77,243.9,-0.02791,0.03267,4.86,103.71,240.04,503.36,17.04,0.346,0.305,0.68,-7.12,-15.84,-8.72,0.358,0.128,0.65,0.539,0.855,378.64,5.0,train
APDA-V2-POS-0572,NASA COOLR (Verified Event),25.59694,90.58708,1,1747.8,42.06,232.2,-0.05318,0.02053,6.13,125.01,268.32,449.05,19.43,0.416,0.381,0.866,-8.01,-14.09,-6.07,0.42,0.265,0.633,0.419,0.62,346.64,5.0,train
APDA-V2-POS-0669,NASA COOLR (Verified Event),24.78649,93.68642,1,587.5,30.24,270.8,-0.01194,0.05476,6.39,65.53,138.83,382.88,9.83,0.334,0.304,0.68,-10.7,-15.08,-4.39,0.232,0.451,0.65,0.58,0.843,306.97,5.0,train
APDA-V2-NEG-0852,Spatial Negative Buffer Control,28.10524,88.75982,0,2112.9,2.35,76.6,-0.00333,0.00107,7.35,9.09,28.65,59.41,1.52,0.243,0.224,0.495,-12.4,-20.5,-8.1,0.734,0.863,0.092,-0.2,0.302,27.11,1.0,train
APDA-V2-POS-0503,NASA COOLR (Verified Event),25.67246,94.11142,1,1827.4,47.98,199.1,0.01483,0.05347,5.59,70.19,223.8,287.46,17.15,0.332,0.301,0.68,-8.38,-18.06,-9.68,0.42,0.48,0.65,0.332,0.687,260.73,4.0,train
APDA-V2-NEG-0093,Spatial Negative Buffer Control,24.96374,93.08029,0,446.9,10.72,213.0,0.00902,0.01239,6.06,21.24,34.16,43.26,3.54,0.35,0.322,0.728,-16.1,-19.84,-3.74,0.772,0.88,-0.05,0.12,0.093,17.95,2.0,train
APDA-V2-POS-0026,NASA COOLR (Verified Event),25.60217,90.58116,1,1149.2,36.89,134.2,-0.03859,0.03072,5.2,107.48,268.6,338.94,26.64,0.484,0.463,0.988,-12.87,-16.84,-3.97,0.3,0.48,0.637,0.542,0.79,288.26,5.0,train
APDA-V2-NEG-0811,Spatial Negative Buffer Control,26.99058,88.91916,0,1858.6,4.56,126.0,0.01257,0.00873,6.88,8.39,30.44,35.45,1.4,0.025,0.023,0.051,-12.65,-20.13,-7.47,0.807,0.88,-0.13,-0.078,0.449,18.9,2.0,train
APDA-V2-NEG-0792,Spatial Negative Buffer Control,27.18396,92.28788,0,2182.2,3.51,136.7,-0.00844,-0.00742,7.56,3.65,10.75,23.41,0.61,0.198,0.182,0.423,-7.72,-22.03,-14.31,0.907,0.88,-0.235,-0.088,0.35,12.36,2.0,train
APDA-V2-NEG-0565,Spatial Negative Buffer Control,23.93903,92.83893,0,1423.3,3.93,279.5,-0.01236,-0.01278,6.33,16.08,36.83,55.18,2.68,0.111,0.102,0.225,-13.28,-23.78,-10.5,0.839,0.696,-0.039,-0.103,0.36,35.25,2.0,train
APDA-V2-NEG-0116,Spatial Negative Buffer Control,25.71828,93.12767,0,1482.3,3.14,255.4,-0.00606,0.01027,7.67,1.89,18.17,22.02,0.32,0.046,0.042,0.093,-11.57,-27.09,-15.53,0.92,0.744,-0.058,-0.085,0.48,12.87,1.0,train
APDA-V2-POS-0617,NASA COOLR (Verified Event),25.08202,93.15155,1,1615.0,31.72,187.1,-0.08524,0.04679,6.27,50.47,201.53,347.23,12.8,0.479,0.437,0.852,-8.36,-17.02,-8.65,0.35,0.301,0.561,0.324,0.851,260.52,5.0,train
APDA-V2-NEG-0529,Spatial Negative Buffer Control,25.28648,92.0108,0,994.0,8.87,27.8,0.02222,0.01524,5.83,3.04,9.22,37.72,0.51,0.179,0.165,0.399,-15.37,-19.13,-3.76,0.742,0.88,-0.022,-0.2,0.096,20.69,3.0,train
APDA-V2-NEG-0593,Spatial Negative Buffer Control,25.92993,90.75421,0,973.7,8.26,209.3,-0.00558,0.00282,5.73,3.09,21.66,26.32,0.51,0.08,0.074,0.182,-13.24,-17.57,-4.33,0.874,0.817,-0.098,-0.071,0.108,14.56,1.0,train
APDA-V2-POS-0554,NASA COOLR (Verified Event),25.08363,93.1575,1,962.9,25.49,201.7,-0.03099,0.04644,5.58,60.84,221.66,484.19,18.92,0.446,0.406,0.84,-11.45,-14.33,-2.89,0.215,0.48,0.65,0.58,0.694,409.23,4.0,train
APDA-V2-NEG-0302,Spatial Negative Buffer Control,25.20822,93.47738,0,1763.6,4.01,264.0,0.01209,-0.01128,6.61,6.01,14.05,24.37,1.0,0.11,0.101,0.233,-12.1,-24.97,-12.88,0.45,0.55,-0.081,-0.095,0.112,10.87,1.0,train
APDA-V2-NEG-0549,Spatial Negative Buffer Control,26.06504,92.2292,0,1015.3,6.84,2.7,-0.00163,-0.01003,7.08,28.0,50.34,61.09,4.67,0.028,0.026,0.058,-15.94,-17.45,-1.51,0.527,0.826,0.073,0.089,0.24,35.88,2.0,train
APDA-V2-NEG-0072,Spatial Negative Buffer Control,25.1268,92.98859,0,631.7,2.12,304.7,0.00043,0.00437,8.19,2.57,3.92,9.68,0.43,0.242,0.223,0.521,-14.88,-16.86,-1.98,0.756,0.88,-0.089,-0.2,0.368,5.36,1.0,train
APDA-V2-POS-0146,NASA COOLR (Verified Event),25.67319,94.11639,1,1735.5,40.08,138.3,-0.0731,0.08512,5.85,121.4,197.31,351.49,29.7,0.355,0.314,0.68,-5.9,-20.7,-14.8,0.226,0.213,0.318,0.339,0.735,328.09,4.0,train
APDA-V2-POS-0276,NASA COOLR (Verified Event),25.74927,91.89916,1,1606.0,21.76,45.5,-0.05362,0.04819,6.43,101.89,164.24,362.9,15.05,0.392,0.351,0.743,-8.25,-14.89,-6.63,0.346,0.48,0.597,0.58,0.9,299.03,5.0,train
APDA-V2-POS-0612,NASA COOLR (Verified Event),25.75753,91.91068,1,1882.8,36.69,216.8,-0.04861,0.02512,5.48,87.29,205.44,441.18,17.9,0.38,0.345,0.68,-5.89,-15.03,-9.14,0.389,0.265,0.483,0.58,0.827,384.54,5.0,train
APDA-V2-POS-0691,NASA COOLR (Verified Event),23.71919,92.71506,1,732.9,26.74,351.2,-0.04499,0.04853,6.19,35.0,197.2,413.0,10.8,0.446,0.413,0.929,-10.35,-13.59,-3.24,0.14,0.48,0.435,0.436,0.751,345.12,4.0,train
APDA-V2-NEG-0012,Spatial Negative Buffer Control,28.00952,88.45262,0,1568.9,3.68,277.2,0.00275,0.01151,7.42,18.68,42.82,45.15,3.11,0.076,0.07,0.155,-15.05,-21.1,-6.05,0.769,0.795,-0.182,-0.068,0.322,23.78,1.0,train
APDA-V2-POS-0212,NASA COOLR (Verified Event),25.30274,91.71704,1,1177.2,29.95,160.4,-0.02733,0.06095,5.58,143.49,316.39,505.23,20.54,0.388,0.347,0.686,-10.47,-17.78,-7.31,0.367,0.48,0.65,0.58,0.682,458.89,5.0,train
APDA-V2-NEG-0673,Spatial Negative Buffer Control,25.72612,91.47233,0,1683.2,16.0,93.2,-0.00987,-0.00651,6.25,17.43,41.11,76.69,2.91,0.125,0.115,0.275,-13.44,-16.79,-3.36,0.762,0.88,-0.068,0.053,0.311,38.47,3.0,train
APDA-V2-NEG-0330,Spatial Negative Buffer Control,27.53858,92.12924,0,1560.9,16.0,91.5,-0.00195,0.00099,5.25,19.33,42.53,67.17,3.22,0.09,0.083,0.21,-17.8,-20.11,-2.31,0.804,0.55,-0.176,-0.102,0.195,42.47,2.0,train
APDA-V2-POS-0247,NASA COOLR (Verified Event),27.58558,91.86761,1,2358.6,35.8,201.2,-0.02912,0.03837,5.76,54.87,107.33,201.37,13.71,0.45,0.405,0.895,-9.42,-18.97,-9.55,0.196,0.38,0.65,0.433,0.794,151.46,5.0,train
APDA-V2-NEG-0292,Spatial Negative Buffer Control,23.2865,92.94272,0,628.6,9.85,170.5,0.01933,0.00161,5.8,16.54,35.13,61.01,2.76,0.144,0.133,0.331,-12.57,-24.34,-11.78,0.837,0.661,0.019,0.036,0.117,30.51,3.0,train
APDA-V2-NEG-0742,Spatial Negative Buffer Control,25.63494,93.33972,0,1283.1,0.57,122.4,0.00023,0.01584,9.41,1.05,24.2,59.37,0.18,0.208,0.191,0.491,-17.18,-23.47,-6.3,0.92,0.814,-0.04,-0.141,0.275,24.25,1.0,train
APDA-V2-POS-0349,NASA COOLR (Verified Event),27.33486,88.62035,1,1592.1,24.41,159.2,-0.04151,0.01575,6.84,73.46,227.88,450.0,13.29,0.379,0.334,0.68,-11.18,-19.79,-8.61,0.111,0.448,0.65,0.385,0.643,357.82,5.0,train
APDA-V2-POS-0305,NASA COOLR (Verified Event),26.0069,93.41689,1,1865.7,40.24,30.8,-0.06969,0.06101,6.13,113.14,269.56,429.63,28.39,0.468,0.423,0.912,-6.45,-16.92,-10.47,0.284,0.48,0.184,0.55,0.847,384.65,4.0,train
APDA-V2-POS-0523,NASA COOLR (Verified Event),23.73281,92.72152,1,872.1,32.32,202.5,-0.04435,0.02683,6.48,92.07,160.14,400.22,24.05,0.391,0.355,0.809,-10.33,-16.57,-6.25,0.395,0.16,0.457,0.305,0.953,326.4,4.0,train
APDA-V2-NEG-0276,Spatial Negative Buffer Control,25.39689,91.61425,0,1662.2,0.3,78.7,-0.0012,-0.00814,8.64,6.38,22.97,30.17,1.06,0.103,0.095,0.231,-13.66,-20.19,-6.53,0.848,0.88,-0.098,-0.104,0.393,15.34,2.0,train
APDA-V2-POS-0430,NASA COOLR (Verified Event),26.16951,91.76529,1,788.5,37.39,40.2,-0.05787,0.02911,6.36,135.22,343.02,422.62,28.61,0.447,0.4,0.826,-9.5,-13.34,-3.84,0.08,0.289,0.65,0.58,0.973,393.35,4.0,train
APDA-V2-POS-0807,NASA COOLR (Verified Event),24.83227,92.80466,1,1251.7,32.09,235.9,-0.0677,0.01744,5.38,88.02,294.16,359.57,15.95,0.426,0.39,0.81,-8.23,-15.91,-7.68,0.42,0.12,0.65,0.446,0.98,316.93,5.0,train
APDA-V2-POS-0057,NASA COOLR (Verified Event),27.34733,92.41994,1,2361.4,33.61,167.6,-0.05471,0.01852,6.05,88.31,191.25,278.78,17.95,0.489,0.454,0.956,-12.15,-14.12,-1.97,0.116,0.48,0.587,0.58,0.624,213.34,5.0,train
APDA-V2-POS-0887,NASA COOLR (Verified Event),25.60496,90.58189,1,849.0,32.2,184.5,-0.06424,-0.00642,6.12,95.84,287.18,389.79,24.03,0.457,0.421,0.833,-11.35,-19.26,-7.91,0.132,0.48,0.55,0.477,0.808,301.51,4.0,train
APDA-V2-POS-0469,NASA COOLR (Verified Event),25.18248,93.03402,1,1462.0,27.76,231.7,-0.055,-0.00671,6.48,182.23,334.18,395.07,28.7,0.378,0.342,0.709,-5.51,-15.21,-9.71,0.096,0.377,0.65,0.58,0.953,322.18,4.0,train
APDA-V2-POS-0254,NASA COOLR (Verified Event),25.30979,91.71144,1,871.3,36.1,93.4,-0.00804,0.06496,5.55,103.29,197.23,298.27,19.85,0.448,0.399,0.875,-10.44,-18.14,-7.7,0.177,0.349,0.191,0.58,0.865,230.85,5.0,train
APDA-V2-NEG-0084,Spatial Negative Buffer Control,27.35828,88.44607,0,1518.4,0.67,62.8,0.0118,0.00144,8.3,1.7,15.03,34.82,0.28,0.094,0.086,0.2,-10.55,-22.75,-12.21,0.885,0.88,0.033,0.014,0.39,16.87,3.0,train
APDA-V2-POS-0466,NASA COOLR (Verified Event),25.4384,92.20003,1,1624.4,41.57,229.0,-0.0079,0.07353,4.6,59.29,138.37,256.08,11.46,0.424,0.381,0.809,-8.53,-18.7,-10.17,0.08,0.375,0.65,0.58,0.92,211.65,5.0,train
APDA-V2-NEG-0768,Spatial Negative Buffer Control,27.56499,88.87584,0,2029.1,0.78,253.0,0.00077,-0.01769,9.25,11.28,24.78,45.46,1.88,0.034,0.031,0.073,-12.84,-20.26,-7.43,0.883,0.88,0.026,0.02,0.183,19.96,3.0,train
APDA-V2-NEG-0846,Spatial Negative Buffer Control,25.16441,92.03636,0,1579.0,8.68,315.0,0.00123,0.01028,6.47,16.1,24.6,63.88,2.68,0.117,0.108,0.259,-14.11,-22.29,-8.18,0.76,0.861,-0.03,-0.127,0.137,41.48,1.0,train
APDA-V2-POS-0779,NASA COOLR (Verified Event),25.30954,91.71494,1,1477.8,39.83,228.0,-0.03331,0.03597,5.77,35.0,171.87,259.48,7.08,0.468,0.448,0.987,-9.09,-16.42,-7.33,0.375,0.392,0.423,0.224,0.889,239.12,5.0,train
APDA-V2-NEG-0803,Spatial Negative Buffer Control,25.72497,90.82191,0,621.6,2.89,179.0,0.01504,-0.0198,6.55,22.96,35.33,70.85,3.83,0.192,0.177,0.406,-14.28,-18.84,-4.56,0.675,0.88,0.013,-0.057,0.48,37.81,1.0,train
APDA-V2-POS-0135,NASA COOLR (Verified Event),24.83752,92.80223,1,812.3,52.53,42.2,-0.03814,0.04443,4.16,78.88,200.58,331.46,12.34,0.465,0.418,0.909,-10.46,-16.67,-6.21,0.08,0.48,0.65,0.58,0.866,265.1,5.0,train
APDA-V2-NEG-0805,Spatial Negative Buffer Control,25.32774,92.78943,0,1698.7,2.36,24.7,0.01915,-0.01392,7.53,8.5,29.29,49.08,1.42,0.12,0.11,0.252,-12.55,-16.99,-4.44,0.816,0.797,0.08,-0.111,0.161,31.65,1.0,train
APDA-V2-NEG-0790,Spatial Negative Buffer Control,27.56795,88.3102,0,2016.0,1.65,328.7,-0.00189,0.00221,7.47,0.37,2.52,9.65,0.06,0.198,0.182,0.461,-14.65,-21.55,-6.91,0.741,0.55,-0.099,0.074,0.48,4.52,2.0,train
