date,latitude,longitude,rain_24h,rain_7d,soil_moisture,elevation,slope,landslide
2023-07-22,29.907,78.1326,13.1,82.6,0.291,339,4.3,0
2021-08-30,30.065,80.235,145.0,340.0,0.52,2290,41.0,1
2023-07-22,29.2308,79.4944,46.4,123.1,0.322,424,6.6,0
2023-08-04,30.651,79.028,165.0,395.0,0.54,1980,41.0,1
2021-10-19,29.392,79.454,210.0,390.0,0.56,2084,35.0,1
2023-07-02,30.4073,77.6613,33.8,74.8,0.337,395,5.9,0
2021-02-07,30.385,79.728,12.0,45.0,0.35,3800,48.0,1
2013-06-17,30.525,79.082,185.0,430.0,0.54,1380,35.0,1
2023-03-20,30.588,77.331,0.2,12.0,0.159,934,10.8,0
2023-08-05,29.8737,77.9,42.6,113.6,0.324,266,1.4,0
2023-07-02,29.8859,77.8965,12.3,44.4,0.336,256,1.1,0
2023-03-20,29.2216,78.9342,3.4,17.2,0.201,193,2.5,0
2020-09-02,30.38,78.48,130.0,305.0,0.49,1550,36.0,1
2023-04-12,32.1059,76.3042,1.0,3.2,0.174,740,7.9,0
2023-06-15,29.2381,78.9454,18.1,82.1,0.372,226,3.5,0
2023-07-22,31.4645,76.2796,22.0,60.2,0.31,378,4.6,0
2023-04-12,30.4572,78.0615,0.5,1.8,0.145,2024,36.3,0
2023-01-10,30.7209,79.5145,0.7,2.0,0.137,3122,47.2,0
2022-08-14,29.355,80.105,122.0,290.0,0.48,1610,34.0,1
2023-06-15,29.2416,79.4937,27.8,58.3,0.253,445,7.7,0
2023-07-02,30.5569,77.3084,18.2,56.7,0.255,925,10.5,0
2023-01-10,29.8275,80.3753,1.6,3.4,0.147,2314,38.5,0
2023-04-12,29.9109,78.1527,0.1,9.0,0.172,292,3.8,0
2023-08-05,30.0966,78.2777,31.3,62.6,0.359,361,6.2,0
2022-08-20,30.458,78.072,160.0,320.0,0.51,2005,37.0,1
2023-04-12,30.4345,77.6182,0.4,0.7,0.196,432,6.4,0
2023-04-12,30.5974,77.2944,0.5,5.0,0.134,914,10.2,0
2023-02-15,30.9068,77.1085,0.6,3.4,0.185,1492,11.6,0
2023-06-15,29.9299,78.15,38.3,107.9,0.365,299,4.2,0
2023-03-20,31.0712,77.1562,1.3,1.8,0.152,2417,33.7,0
2023-07-22,31.2987,76.7741,14.6,97.1,0.342,594,8.4,0
2023-02-15,31.4674,76.2309,0.8,1.1,0.122,382,3.9,0
2023-08-05,32.1233,76.2516,18.4,95.9,0.355,733,9.5,0
2023-04-12,30.2872,78.0154,0.5,3.2,0.189,645,5.1,0
2023-08-24,31.425,77.428,112.0,295.0,0.48,1240,34.0,1
2023-03-20,30.7266,79.1008,0.1,1.4,0.164,3578,40.2,0
2023-07-10,31.67,77.05,168.0,412.0,0.55,920,42.0,1
2023-04-12,30.7542,79.5161,2.1,3.6,0.109,3177,47.4,0
2023-08-11,29.645,79.425,118.0,285.0,0.48,1820,32.0,1
2023-07-16,30.228,78.892,115.0,285.0,0.48,720,37.5,1
2023-07-22,29.8579,77.9034,35.5,76.2,0.343,264,1.8,0
2023-04-12,29.8333,77.8554,2.7,13.1,0.173,263,2.1,0
2019-08-15,30.125,78.542,85.0,240.0,0.46,640,46.0,1
2023-07-22,29.835,79.772,108.0,275.0,0.47,1004,31.0,1
2023-07-09,32.268,77.189,195.0,430.0,0.56,2100,29.5,1
2023-03-20,30.476,77.597,1.1,3.3,0.207,423,6.5,0
2020-07-20,29.851,80.535,130.0,310.0,0.5,1200,39.0,1
2023-06-15,30.123,78.2471,29.9,76.0,0.287,382,5.3,0
2023-07-22,30.5332,77.2621,16.3,73.6,0.277,937,11.1,0
2023-06-15,31.3553,76.7812,15.3,74.9,0.257,612,9.8,0
2023-02-15,29.2214,79.4949,1.1,1.2,0.114,420,7.3,0
2023-02-15,29.2102,78.9662,0.8,1.8,0.182,194,2.2,0
2023-03-20,32.2349,78.0202,0.2,5.9,0.131,3712,46.2,0
2023-04-12,30.7633,79.0932,0.8,3.8,0.143,3587,40.8,0
2023-08-05,29.2431,78.9609,30.1,111.0,0.334,237,3.5,0
2023-07-10,31.958,77.112,172.0,410.0,0.54,1280,32.0,1
2021-07-12,32.247,76.353,180.0,410.0,0.55,1780,35.0,1
2023-02-15,29.9335,78.1465,0.9,1.6,0.19,348,3.0,0
2023-03-20,32.3709,77.2758,1.4,9.8,0.11,4015,45.2,0
2023-02-15,30.554,77.3273,0.5,3.7,0.188,944,11.2,0
2020-08-18,31.624,77.285,88.0,220.0,0.44,1620,36.0,1
2023-07-22,30.1249,78.2464,36.2,114.5,0.281,370,7.4,0
2023-02-15,32.2426,78.0135,1.4,2.8,0.13,3664,45.8,0
2023-06-15,30.5292,77.2672,17.0,86.9,0.274,956,11.0,0
2023-03-20,31.5843,78.0868,1.2,1.7,0.126,2550,48.6,0
2023-02-15,30.7452,79.4904,0.8,0.8,0.17,3155,47.2,0
2023-07-02,29.9621,78.1849,32.2,111.2,0.314,315,4.4,0
2023-06-15,30.3234,77.9957,33.9,70.8,0.258,668,7.3,0
2023-02-15,31.3524,76.7262,2.8,6.0,0.193,638,9.2,0
2023-01-10,30.306,78.0681,1.6,5.7,0.126,618,5.0,0
2023-02-15,31.0794,77.193,0.9,1.0,0.118,2463,33.7,0
2023-01-10,29.9121,78.1397,0.1,1.9,0.149,338,3.6,0
2021-10-18,29.598,79.66,145.0,310.0,0.5,1600,28.0,1
2023-07-22,29.2258,78.9762,24.9,70.5,0.355,241,3.8,0
2013-06-16,30.655,79.028,215.0,475.0,0.57,1980,41.0,1
2023-08-05,30.2908,78.0696,39.9,130.7,0.366,666,6.3,0
2023-03-20,30.4423,78.0414,0.0,1.6,0.145,2072,35.8,0
2023-08-05,30.4419,77.6551,26.5,60.9,0.254,409,6.3,0
2023-06-25,30.825,78.385,105.0,260.0,0.47,1620,34.0,1
2023-04-12,32.2275,77.997,2.2,4.7,0.127,3703,44.2,0
2023-03-20,29.8408,80.3408,1.1,2.6,0.118,2321,38.8,0
2023-08-14,31.096,77.165,140.0,365.0,0.5,1980,36.0,1
2023-03-20,30.2905,78.0067,0.4,3.7,0.153,651,5.4,0
2023-04-12,31.5645,78.0769,0.8,1.7,0.146,2548,47.3,0
2023-01-10,30.5753,77.272,0.2,0.3,0.145,930,11.8,0
2023-02-15,32.3986,77.2353,0.9,4.5,0.148,3972,43.9,0
2023-07-02,32.0605,76.2366,36.6,66.6,0.291,714,9.0,0
2023-02-15,32.0937,76.2609,1.1,5.6,0.115,745,7.6,0
2023-03-20,31.4877,76.2767,3.9,6.0,0.139,357,6.1,0
2023-07-02,29.1778,78.9692,47.6,82.4,0.317,235,4.0,0
2023-01-10,29.8173,77.8953,1.4,1.5,0.161,281,1.8,0
2023-08-05,31.4342,76.308,47.5,121.4,0.32,389,4.4,0
2023-04-12,31.0846,77.1933,1.5,5.9,0.132,2426,35.8,0
2013-06-16,30.734,79.066,220.0,490.0,0.58,3584,33.0,1
2023-07-02,30.0862,78.2311,22.0,110.6,0.281,376,5.6,0
2023-01-10,31.3218,76.7801,0.5,12.5,0.196,630,9.5,0
2022-08-20,32.441,76.541,92.0,245.0,0.45,2150,37.0,1
2023-03-20,29.1882,79.5138,1.8,2.9,0.172,402,5.1,0
2023-06-15,32.1343,76.2599,46.6,135.0,0.275,718,6.7,0
