sample_id,coolr_event_id,event_date,state,district,latitude,longitude,landslide_category,trigger_mechanism,landslide,copernicus_elevation_m,copernicus_slope_deg,copernicus_aspect_deg,copernicus_plan_curvature,copernicus_profile_curvature,copernicus_twi,gpm_imerg_rainfall_1d_mm,gpm_imerg_rainfall_3d_mm,gpm_imerg_rainfall_7d_mm,gpm_imerg_peak_intensity_mm_h,smap_surface_moisture_m3m3,smap_rootzone_moisture_m3m3,smap_soil_saturation_ratio,data_source_events,data_source_rainfall,data_source_moisture,data_source_terrain,split
APDA-V1-POS-00434,COOLR-IN-NER-031-INST-434,2023-09-22,West Bengal,Kalimpong,27.06507,88.47357,debris_flow,teesta_river_erosion,1,2408.5,40.42,162.4,-0.03913,0.02958,6.23,57.45,188.14,418.73,14.14,0.428,0.388,0.813,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-POS-00052,COOLR-IN-NER-021-INST-52,2021-08-03,Manipur,Senapati,25.26252,94.01752,translational_slide,monsoon_rain,1,1421.5,32.64,201.7,-0.02211,0.06392,6.36,105.19,201.46,286.52,16.84,0.411,0.371,0.827,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00450,NONE_ABSENCE_CONTROL,2021-10-08,Assam,Nagaon,26.2256,92.73738,none,none,0,662.7,16.0,18.4,-0.0031,0.01196,5.21,15.19,22.94,53.51,2.53,0.156,0.144,0.33,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-NEG-00379,NONE_ABSENCE_CONTROL,2023-03-06,Assam,Dibrugarh,27.51996,94.98563,none,none,0,2324.9,1.17,143.8,-0.02273,0.02634,6.92,0.12,17.02,55.41,0.02,0.088,0.081,0.202,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00441,NONE_ABSENCE_CONTROL,2021-09-05,Assam,Kamrup Metro,26.01547,91.71629,none,none,0,1392.7,2.08,352.4,0.01223,0.00657,7.94,5.81,10.31,49.18,0.97,0.169,0.156,0.385,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,test
APDA-V1-NEG-00500,NONE_ABSENCE_CONTROL,2023-06-07,Meghalaya,Ri-Bhoi,25.98589,91.98714,none,none,0,1786.8,16.0,354.9,0.03711,0.00937,5.22,5.37,6.27,20.53,0.89,0.147,0.136,0.309,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,test
APDA-V1-NEG-00670,NONE_ABSENCE_CONTROL,2021-12-14,Tripura,West Tripura,23.8359,91.29598,none,none,0,390.3,2.25,324.0,0.00181,-0.00385,8.21,1.87,21.66,58.4,0.31,0.021,0.019,0.041,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-POS-00433,COOLR-IN-NER-030-INST-433,2021-10-11,West Bengal,Darjeeling,27.04396,88.26028,rotational_slide,post_monsoon_deluge,1,2057.3,27.75,227.4,-0.04529,0.05411,5.31,110.68,192.02,328.66,20.96,0.528,0.477,0.933,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00703,NONE_ABSENCE_CONTROL,2021-10-26,Manipur,Imphal East,24.84595,94.07943,none,none,0,1257.0,3.37,84.7,0.01415,0.00398,7.61,2.94,26.89,68.44,0.49,0.24,0.221,0.558,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00721,NONE_ABSENCE_CONTROL,2023-07-31,Assam,Kamrup Metro,26.033,91.78628,none,none,0,1397.4,5.68,354.9,0.00884,0.01151,6.83,0.28,12.94,44.98,0.05,0.084,0.077,0.193,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00485,NONE_ABSENCE_CONTROL,2022-04-22,Meghalaya,West Garo Hills,25.47651,90.2872,none,none,0,1684.0,0.11,326.7,0.00291,0.00827,9.73,1.91,18.24,50.83,0.32,0.099,0.091,0.204,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00532,NONE_ABSENCE_CONTROL,2021-03-15,Meghalaya,Ri-Bhoi,25.93645,91.79008,none,none,0,870.2,6.68,341.1,-0.00419,-5e-05,6.75,2.63,15.63,18.7,0.44,0.136,0.125,0.296,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00336,NONE_ABSENCE_CONTROL,2023-06-03,West Bengal,Jalpaiguri,26.5,88.57063,none,none,0,1341.0,8.83,132.7,-0.00906,-0.01306,6.71,1.77,21.95,62.34,0.29,0.224,0.206,0.465,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-POS-00611,COOLR-IN-NER-022-INST-611,2020-07-21,Manipur,Tamenglong,24.98845,93.49192,mudslide,monsoon_rain,1,1154.7,49.97,231.0,-0.07845,0.03285,4.92,140.68,338.32,399.81,21.51,0.372,0.335,0.725,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,test
APDA-V1-NEG-00535,NONE_ABSENCE_CONTROL,2023-09-08,Manipur,Imphal East,24.79213,93.89452,none,none,0,1095.6,3.2,235.4,-0.0115,-0.00187,7.52,9.93,28.99,62.17,1.66,0.113,0.104,0.25,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00292,NONE_ABSENCE_CONTROL,2023-08-23,Meghalaya,Ri-Bhoi,25.94446,91.71307,none,none,0,1290.8,3.12,203.6,0.00556,0.00409,7.37,12.1,22.24,29.36,2.02,0.104,0.096,0.21,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00221,COOLR-IN-NER-004-INST-221,2021-08-19,Meghalaya,West Jaintia Hills,25.4463,92.19344,translational_slide,monsoon_rain,1,1659.2,27.86,230.8,-0.02231,0.02132,5.68,72.31,217.46,382.82,20.43,0.461,0.409,0.877,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00340,COOLR-IN-NER-030-INST-340,2021-10-28,West Bengal,Darjeeling,27.03629,88.26229,rotational_slide,post_monsoon_deluge,1,1698.8,35.12,177.2,-0.08206,0.05418,5.09,127.4,196.36,294.71,19.62,0.465,0.411,0.874,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00424,COOLR-IN-NER-021-INST-424,2021-08-09,Manipur,Senapati,25.26726,94.02095,translational_slide,monsoon_rain,1,1723.5,24.75,98.5,-0.06112,0.02319,6.71,146.46,356.51,457.11,43.43,0.451,0.394,0.823,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00429,COOLR-IN-NER-026-INST-429,2023-07-30,Nagaland,Kohima,25.67667,94.11338,translational_slide,continuous_rain,1,936.7,45.37,140.0,-0.01319,0.04138,5.92,56.68,128.26,418.86,12.92,0.355,0.321,0.68,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00356,NONE_ABSENCE_CONTROL,2022-02-18,Meghalaya,Ri-Bhoi,25.95689,91.76961,none,none,0,1247.6,12.74,43.6,0.00911,0.01402,5.02,0.23,18.09,20.96,0.04,0.175,0.161,0.405,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00077,COOLR-IN-NER-015-INST-77,2020-08-06,Sikkim,West Sikkim,27.28276,88.24842,translational_slide,continuous_rain,1,3204.6,40.87,22.8,-0.03588,0.05396,6.18,47.75,254.02,410.76,9.79,0.484,0.449,0.955,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00642,NONE_ABSENCE_CONTROL,2022-02-15,Assam,Nagaon,26.35219,92.75256,none,none,0,1223.5,5.68,290.1,0.00732,0.00189,6.98,2.04,22.32,48.73,0.34,0.198,0.182,0.432,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00440,COOLR-IN-NER-006-INST-440,2024-05-21,Meghalaya,East Khasi Hills,25.56908,91.87489,shallow_slide,cyclone_remnants,1,1849.9,28.35,70.8,-0.05634,0.03323,6.44,200.61,369.42,452.31,36.99,0.528,0.49,0.957,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-NEG-00587,NONE_ABSENCE_CONTROL,2021-11-29,Assam,Dibrugarh,27.60431,94.93958,none,none,0,3089.0,1.27,268.4,-0.02161,0.00076,8.34,0.12,18.16,54.26,0.02,0.13,0.119,0.279,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-NEG-00115,NONE_ABSENCE_CONTROL,2021-11-06,Assam,Dibrugarh,27.62655,94.9747,none,none,0,1921.2,7.91,33.7,0.01676,-0.0018,6.89,2.74,14.92,36.4,0.46,0.301,0.277,0.641,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00331,NONE_ABSENCE_CONTROL,2021-01-08,Assam,Dibrugarh,27.36664,94.92587,none,none,0,3022.0,9.28,325.1,0.0112,0.00757,6.52,0.64,12.78,32.29,0.11,0.284,0.261,0.569,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-POS-00355,COOLR-IN-NER-014-INST-355,2021-09-12,Sikkim,South Sikkim,27.18475,88.35386,rotational_slide,monsoon_rain,1,3643.1,39.19,70.2,-0.01704,0.00043,6.13,113.57,301.4,527.68,25.71,0.415,0.379,0.855,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-POS-00366,COOLR-IN-NER-025-INST-366,2021-07-29,Mizoram,Champhai,23.47209,93.32766,debris_flow,continuous_rain,1,1177.0,49.08,345.7,-0.07404,0.01736,5.74,133.03,290.21,501.33,32.85,0.465,0.408,0.904,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00310,COOLR-IN-NER-031-INST-310,2023-09-24,West Bengal,Kalimpong,27.06032,88.47229,debris_flow,teesta_river_erosion,1,3296.9,35.38,207.1,-0.06115,0.01516,5.41,35.0,147.29,436.8,6.21,0.353,0.319,0.68,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00737,COOLR-IN-NER-024-INST-737,2022-06-24,Mizoram,Lunglei,22.88624,92.74195,mudslide,monsoon_rain,1,593.3,30.41,163.5,-0.05306,0.05072,6.54,141.51,284.59,431.61,32.94,0.397,0.35,0.723,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00249,NONE_ABSENCE_CONTROL,2021-04-12,Assam,Kamrup Metro,26.21515,91.834,none,none,0,1017.4,3.5,61.1,-0.00081,-0.00148,6.29,0.09,17.08,27.03,0.02,0.171,0.157,0.343,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00622,COOLR-IN-NER-002-INST-622,2022-06-05,Meghalaya,East Khasi Hills,25.30466,91.71583,mudslide,downpour,1,630.9,28.77,149.8,-0.01506,0.02755,6.25,62.13,152.92,451.2,15.02,0.413,0.366,0.726,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00544,COOLR-IN-NER-017-INST-544,2021-05-24,Arunachal Pradesh,Tawang,27.58887,91.86959,debris_avalanche,rain_snowmelt,1,3530.7,36.71,2.3,-0.00568,0.0777,6.04,60.62,159.35,444.99,11.66,0.502,0.447,0.876,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00391,NONE_ABSENCE_CONTROL,2021-01-18,Manipur,Imphal East,24.71827,93.97439,none,none,0,1013.6,7.63,191.9,0.01053,-0.00213,6.12,0.26,19.19,38.06,0.04,0.109,0.1,0.233,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-NEG-00547,NONE_ABSENCE_CONTROL,2021-09-22,Assam,Dibrugarh,27.42269,94.81331,none,none,0,2053.5,14.42,300.0,-0.00085,0.00248,4.73,1.65,10.68,31.57,0.27,0.042,0.039,0.092,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00555,COOLR-IN-NER-028-INST-555,2020-09-02,Nagaland,Phek,25.68422,94.50318,debris_flow,monsoon_rain,1,1273.2,27.16,183.1,-0.0208,0.02172,6.56,46.29,133.89,329.85,6.79,0.474,0.413,0.883,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-POS-00680,COOLR-IN-NER-029-INST-680,2022-05-23,Tripura,Dhalai,23.84987,91.95255,shallow_slide,heavy_rain,1,922.9,35.72,193.7,-0.06769,0.00929,6.28,104.37,260.21,392.02,15.01,0.432,0.381,0.85,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-POS-00050,COOLR-IN-NER-019-INST-50,2020-07-29,Arunachal Pradesh,Lower Subansiri,27.52451,93.81842,debris_flow,monsoon_rain,1,1960.8,43.35,187.1,-0.08917,0.05144,6.12,47.11,264.09,321.74,12.4,0.475,0.437,0.868,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00491,COOLR-IN-NER-026-INST-491,2023-07-17,Nagaland,Kohima,25.67047,94.11303,translational_slide,continuous_rain,1,1067.5,36.98,236.0,-0.06515,0.01838,6.03,103.57,302.57,510.87,19.64,0.399,0.357,0.714,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00317,COOLR-IN-NER-007-INST-317,2022-05-11,Assam,Dima Hasao,25.18307,93.0258,rotational_slide,torrential_rain,1,1025.5,28.81,154.4,-0.06,0.06965,6.7,164.19,316.12,370.11,28.35,0.495,0.47,0.978,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00155,NONE_ABSENCE_CONTROL,2021-10-15,Assam,Dibrugarh,27.46227,94.87213,none,none,0,3775.5,1.24,175.3,0.02443,-0.01178,8.84,2.13,18.13,48.28,0.35,0.303,0.279,0.701,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00637,COOLR-IN-NER-017-INST-637,2021-06-01,Arunachal Pradesh,Tawang,27.5865,91.86219,debris_avalanche,rain_snowmelt,1,3517.4,46.17,238.0,-0.0653,0.00965,5.31,74.19,120.48,333.82,13.2,0.386,0.339,0.68,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00561,COOLR-IN-NER-003-INST-561,2023-07-03,Meghalaya,Ri-Bhoi,25.75297,91.90785,rockfall,continuous_rain,1,1394.9,31.08,294.6,-0.02566,0.05486,5.92,220.34,381.43,476.37,53.13,0.356,0.319,0.68,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00487,COOLR-IN-NER-022-INST-487,2020-06-26,Manipur,Tamenglong,24.98612,93.50015,mudslide,monsoon_rain,1,289.2,42.46,267.6,-0.02508,0.0269,5.36,96.53,237.13,437.29,22.2,0.503,0.459,0.941,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00068,COOLR-IN-NER-006-INST-68,2024-06-07,Meghalaya,East Khasi Hills,25.56678,91.88149,shallow_slide,cyclone_remnants,1,983.1,30.95,187.2,-0.01181,0.0337,5.61,44.46,192.77,458.04,7.7,0.506,0.471,0.961,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-NEG-00062,NONE_ABSENCE_CONTROL,2022-09-10,Tripura,West Tripura,23.82179,91.41354,none,none,0,1228.6,8.37,147.5,0.00221,-0.00377,6.62,19.82,23.84,31.31,3.3,0.088,0.081,0.207,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00494,COOLR-IN-NER-029-INST-494,2022-05-20,Tripura,Dhalai,23.85473,91.94943,shallow_slide,heavy_rain,1,1306.9,36.13,205.0,-0.06041,0.08706,5.65,51.31,124.4,223.58,18.7,0.521,0.474,0.938,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00311,COOLR-IN-NER-001-INST-311,2023-06-05,Meghalaya,East Khasi Hills,25.53453,91.86436,debris_flow,monsoon_rain,1,1277.3,50.54,238.9,-0.06119,0.09415,4.91,116.08,178.96,487.2,23.92,0.46,0.417,0.836,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00347,NONE_ABSENCE_CONTROL,2021-12-23,Assam,Dibrugarh,27.58989,94.80443,none,none,0,2713.8,0.02,65.1,0.00411,0.00628,9.6,3.53,19.03,53.99,0.59,0.135,0.124,0.318,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00498,NONE_ABSENCE_CONTROL,2021-07-19,Assam,Nagaon,26.49481,92.76261,none,none,0,1004.5,5.32,136.2,-0.00264,-0.00761,7.16,6.34,6.51,20.99,1.06,0.359,0.331,0.731,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00185,COOLR-IN-NER-030-INST-185,2021-10-11,West Bengal,Darjeeling,27.03619,88.26023,rotational_slide,post_monsoon_deluge,1,2640.1,57.44,155.2,-0.07101,0.05926,5.21,85.37,242.13,396.7,15.05,0.497,0.457,0.95,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00307,COOLR-IN-NER-028-INST-307,2020-09-19,Nagaland,Phek,25.68949,94.50168,debris_flow,monsoon_rain,1,1577.2,50.96,147.7,-0.05901,0.06079,5.32,78.37,193.25,329.51,16.65,0.446,0.39,0.857,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00103,NONE_ABSENCE_CONTROL,2021-09-11,Manipur,Imphal East,24.66027,94.08262,none,none,0,276.4,4.04,344.8,0.00229,-0.0143,7.03,9.33,25.35,42.06,1.55,0.301,0.276,0.71,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00043,NONE_ABSENCE_CONTROL,2023-11-30,Assam,Dibrugarh,27.41464,94.7911,none,none,0,3577.5,3.87,329.0,0.01034,0.01319,6.18,1.9,2.05,20.3,0.32,0.178,0.164,0.394,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,test
